kind	number	slug	figure	format	width_in	height_in	source	deposited_as	bytes	sha256	caption_stub
main	2	by_source	Fig2_by_source	png	6.503	2.443	results/annotation_audit/figures/s18_fig1_by_source.png	figures/Fig2_by_source.png	130819	ad419f495456e61e59780598bcc7d79f131c10fc1e5895de3e6d445d62755351	Annotation state by annotation source
main	2	by_source	Fig2_by_source	pdf			results/annotation_audit/figures/s18_fig1_by_source.pdf	figures/Fig2_by_source.pdf	13731	77c42ce123e0bc50724d0a63d8953e2266626f168b35d394e1b6cc1ba4ef250a	Annotation state by annotation source
main	3	family_control	Fig3_family_control	png	6.520	1.633	results/annotation_audit/figures/s18_fig3_family_vs_control.png	figures/Fig3_family_control.png	127930	c596a79e6b8d8924eaf9c9519c4f3ef2b2cab6983de9acf80cbdef4d5a95c454	The family against its sister family
main	3	family_control	Fig3_family_control	pdf			results/annotation_audit/figures/s18_fig3_family_vs_control.pdf	figures/Fig3_family_control.pdf	13923	33bd32122d992b1cd478f89335a18cc52141e914cee1083883cd4ebfe2be1be2	The family against its sister family
main	5	exon_tracks	Fig5_exon_tracks	png	6.215	4.108	results/annotation_bugs/figures/exon_tracks.png	figures/Fig5_exon_tracks.png	203947	658c7f5fc712403f6d9a90f53ee84ff4d3c7ca7d65ca42a5ee822ac9b0982154	Two annotation failures at the exon
main	5	exon_tracks	Fig5_exon_tracks	pdf			results/annotation_bugs/figures/exon_tracks.pdf	figures/Fig5_exon_tracks.pdf	24352	ca81fc1aeb1e63d7156e2c5c553cd092577bfe7da0a18b66092f0bd7078ede6d	Two annotation failures at the exon
main	6	junctions	Fig6_junctions	png	6.518	5.055	results/expression/figures/s12_junctions.png	figures/Fig6_junctions.png	170540	a0d4a9ce38d8d3c9d12f75de05db7464eb06e1055f166633aeef84ff3c6d1d52	The lost genes are spliced
main	6	junctions	Fig6_junctions	pdf			results/expression/figures/s12_junctions.pdf	figures/Fig6_junctions.pdf	20055	344ba7d1f7ca12d3d6eb6b26ad15802eeac1212784f5bd427c084d017170dc8a	The lost genes are spliced
main	1	contribution	Fig1_contribution	png	6.515	2.510	results/methods/figures/fig_s19_contribution.png	figures/Fig1_contribution.png	162900	7e75ef31efebd6d233f2c77ea04eda0976660cedba0a2e38164e757e03d44e5b	What a database-only search would have missed
main	1	contribution	Fig1_contribution	pdf			results/methods/figures/fig_s19_contribution.pdf	figures/Fig1_contribution.pdf	17312	d0b39cfc4569ab862f6ddd8264fceea76d3f180b4128aa80f89b49b69debcef2	What a database-only search would have missed
main	4	protein_side	Fig4_protein_side	png	8.188	2.175	results/annotation_audit/figures/s18_fig4_protein_side.png	figures/Fig4_protein_side.png	192819	ae5bfce354f4d216c76bad631ed76fb9e18cd9e7de552ca6702d71e6737b1341	The protein records
main	4	protein_side	Fig4_protein_side	pdf			results/annotation_audit/figures/s18_fig4_protein_side.pdf	figures/Fig4_protein_side.pdf	16139	6058a51ca8a89638ae22a9a19414426dd24d413e5f6e7283b6cf4d33bb029e27	The protein records
ed	1	calibration	ExtDataFig1_calibration	png	6.515	2.165	results/annotation_audit/figures/s18_fig2_calibration.png	figures/ExtDataFig1_calibration.png	133338	006a5aab2ce8b8090cecc739a16b1631df04f47d33fb0ac5bb048c0c17de53a0	The completeness bar
ed	1	calibration	ExtDataFig1_calibration	pdf			results/annotation_audit/figures/s18_fig2_calibration.pdf	figures/ExtDataFig1_calibration.pdf	14383	5680eae938670ab5d9d5beceef314f9148aed23d98cdc91c1e9b93fa32f5df37	The completeness bar
ed	2	cases	ExtDataFig2a_cases	png	6.515	2.315	results/annotation_bugs/figures/annotation_loss.png	figures/ExtDataFig2a_cases.png	217046	cd2c7f79618c9257be29e929422e44d7c18d46fb7e09682d64b1be080ea89ac4	How the cases were chosen, and what the annotation delivers at them
