kind	number	slug	figure	format	width_in	height_in	source	deposited_as	bytes	sha256	caption_stub
main	1	omega	Fig1_omega	png	4.360	2.518	results/selection/figures/s9_omega_by_paralog.png	figures/Fig1_omega.png	72537	6efe22c7f1b3429ef9353ff28f5c4a3f97d65728a0b8be063c80d4da1d8f55d1	Purifying selection in all three paralogues
main	1	omega	Fig1_omega	pdf			results/selection/figures/s9_omega_by_paralog.pdf	figures/Fig1_omega.pdf	11852	9a2132f3cf7423006f846f5d72292654fac894341b12146d15639378b2743a95	Purifying selection in all three paralogues
main	2	branches	Fig2_branches	png	6.518	2.418	results/selection/figures/s9_branch_contrast.png	figures/Fig2_branches.png	92937	0c61f63560e3b705c654570adb0b373d273db4e430edeb54cb5334853fdb09ef	No branch escapes it
main	2	branches	Fig2_branches	pdf			results/selection/figures/s9_branch_contrast.pdf	figures/Fig2_branches.pdf	15516	3c21dbd3a4ad4c28fdd195ed3507491933d82e79e6f39d68ec4916564277a792	No branch escapes it
main	3	elements	Fig3_elements	png	6.655	3.318	results/constraint/figures/s17_elements.png	figures/Fig3_elements.png	150921	b1c84558ae96f80686a2ef1828b3929f36aeb525c8b7839913895d6286098734	Constraint by element
main	3	elements	Fig3_elements	pdf			results/constraint/figures/s17_elements.pdf	figures/Fig3_elements.pdf	19501	b438b9478d793a887689156b171fb61b5315742d0394ddc35a042dd032633eca	Constraint by element
main	4	profile	Fig4_profile	png	6.520	4.420	results/constraint/figures/s17_channel_profile.png	figures/Fig4_profile.png	165171	13a06f12769e47d4720a677a7de39909468e60b6bfb19abf077d1ff0996a94d8	Constraint along the channel
main	4	profile	Fig4_profile	pdf			results/constraint/figures/s17_channel_profile.pdf	figures/Fig4_profile.pdf	18981	d4fc4250c27cef9b8f6af0e9a03df015fca8b5fcbc24c95fdd754414879cd5c0	Constraint along the channel
main	5	sites	Fig5_sites	png	7.350	3.618	results/constraint/figures/s17_functional_sites.png	figures/Fig5_sites.png	202529	29576b721a182800dc851ddb6f36b05f80ef62bc26697b9d29a80d2a74238226	The measured functional sites
main	5	sites	Fig5_sites	pdf			results/constraint/figures/s17_functional_sites.pdf	figures/Fig5_sites.pdf	19293	604e7ef041ef2fe0a54be63618ad40e377d96174a705ff49b109574f1df446c2	The measured functional sites
main	6	classifier	Fig6_classifier	png	6.518	2.918	results/constraint/figures/s17_variant_classifier.png	figures/Fig6_classifier.png	204657	dc6f869145e7377f3d2c27ea8e0ef702a7b1733219e78c6e48603f85dedebbee	Constraint as a variant classifier
main	6	classifier	Fig6_classifier	pdf			results/constraint/figures/s17_variant_classifier.pdf	figures/Fig6_classifier.pdf	18110	eed81e803ef8c14c0bdfa498d16f144707f2a25aa41c39537b30d854cf091329	Constraint as a variant classifier
ed	1	codon_checks	ExtDataFig1a_codon_checks	png	6.513	2.418	results/selection/figures/s9_dnds_saturation.png	figures/ExtDataFig1a_codon_checks.png	219962	9638f119f500f9306120128eefd901051838eceb9ca39248c0dd28b29ef04338	Saturation and the branch-site restarts
ed	1	codon_checks	ExtDataFig1a_codon_checks	pdf			results/selection/figures/s9_dnds_saturation.pdf	figures/ExtDataFig1a_codon_checks.pdf	19387	f267c7ea88e9487efc375eeebeb5426173f1b661ce0410dc5fbba5389a7259b8	Saturation and the branch-site restarts
ed	1	codon_checks	ExtDataFig1b_codon_checks	png	4.693	2.515	results/selection/figures/s9_bs_restarts.png	figures/ExtDataFig1b_codon_checks.png	108869	97f6234b2d8164b699455f30a7bd875f638f7fc868c59dea8c223bc62ec85300	Saturation and the branch-site restarts
ed	1	codon_checks	ExtDataFig1b_codon_checks	pdf			results/selection/figures/s9_bs_restarts.pdf	figures/ExtDataFig1b_codon_checks.pdf	12150	4c7eb9b048c7904fc42466bb831238a028e53f40816bc0e1f1792f2fe5b13030	Saturation and the branch-site restarts
supp	2	paralog_alignments	SuppFig2_paralog_alignments	png	6.518	6.018	results/supplementary/figures/SuppFig3_paralog_alignments.png	figures/SuppFig2_paralog_alignments.png	368577	458e6c0238e40112b04d07ec66858bf8eeb88745db71580804efe5ee0c0bd730	The within-paralogue alignments
supp	2	paralog_alignments	SuppFig2_paralog_alignments	pdf			results/supplementary/figures/SuppFig3_paralog_alignments.pdf	figures/SuppFig2_paralog_alignments.pdf	25338	7340572e480fc3455b837aede3869539c4ec523f5f1e553280b339c2b112326b	The within-paralogue alignments
supp	1	codon_alignment	SuppFig1_codon_alignment	png	6.515	5.818	results/supplementary/figures/SuppFig4_codon_alignment.png	figures/SuppFig1_codon_alignment.png	402457	a9ef3892793c2cf238a0b362867a63a8448ceb797876eeaccc7c9ff16306935d	The trimmed codon alignment
supp	1	codon_alignment	SuppFig1_codon_alignment	pdf			results/supplementary/figures/SuppFig4_codon_alignment.pdf	figures/SuppFig1_codon_alignment.pdf	24141	57defe427452e15a14dd1f6a78b2594f82625cd1cc181cdc7c1ce3807a3945b6	The trimmed codon alignment
supp	3	constraint_on_channel	SuppFig3_constraint_on_channel	png	6.393	7.448	results/supplementary/figures/SuppFig5_constraint_on_channel.png	figures/SuppFig3_constraint_on_channel.png	1861343	896eedce8ef0fc771f9a52e3a92aa2d345f2cecca059317beedda957c9396928	The constraint map on the channel
supp	3	constraint_on_channel	SuppFig3_constraint_on_channel	pdf			results/supplementary/figures/SuppFig5_constraint_on_channel.pdf	figures/SuppFig3_constraint_on_channel.pdf	312188	b7a8141c2adf604152ed6861797762e2e209dd3f74ee5034891b0760e49ed556	The constraint map on the channel
supp	4	variants_on_structure	SuppFig4_variants_on_structure	png	6.605	7.020	results/supplementary/figures/SuppFig6_variants_on_structure.png	figures/SuppFig4_variants_on_structure.png	542222	3d5782d05b9083b3bac763ffc528291dc6808081b4021875cc86574591beb9d0	Every labelled variant on the structure
supp	4	variants_on_structure	SuppFig4_variants_on_structure	pdf			results/supplementary/figures/SuppFig6_variants_on_structure.pdf	figures/SuppFig4_variants_on_structure.pdf	134729	334feb47a24cad54c109bb25ddb0936b4022c5abcd872fc8dc2ff47c1e4b6454	Every labelled variant on the structure
