kind	number	slug	figure	format	width_in	height_in	source	deposited_as	bytes	sha256	caption_stub
main	1	modules	Fig1_modules	png	6.518	4.213	results/ligand_site/figures/s22_fig1_modules.png	figures/Fig1_modules.png	159528	a804c5df69ac6d432d7abaff529e4eefdd3d58ca994094f8ecca462a896aad2d	The ligand core against the pore
main	1	modules	Fig1_modules	pdf			results/ligand_site/figures/s22_fig1_modules.pdf	figures/Fig1_modules.pdf	16731	2e6e75703f36ef96987beb07a3f9743d413e72ca1dd4fd5a613ff2da90a1db35	The ligand core against the pore
main	2	shells	Fig2_shells	png	6.515	2.515	results/ligand_site/figures/s22_fig2_shells.png	figures/Fig2_shells.png	234742	234b1405819ababc2715cd4d7e2b5eb719c49488e85f9cb9c83a478e0d403f02	Constraint against distance to the ligand
main	2	shells	Fig2_shells	pdf			results/ligand_site/figures/s22_fig2_shells.pdf	figures/Fig2_shells.pdf	21264	972b07f0279dc63c1edd87fa66a24f2c4685990d266765096fce888094ebe3aa	Constraint against distance to the ligand
main	3	omega	Fig3_omega	png	6.518	2.418	results/ligand_site/figures/s22_fig3_omega.png	figures/Fig3_omega.png	147241	3698a162c3cc6f91eff24c052302c5e7fff2722fc5e1b3220e12ab8100011631	The same contrast on the rate axis
main	3	omega	Fig3_omega	pdf			results/ligand_site/figures/s22_fig3_omega.pdf	figures/Fig3_omega.pdf	14593	149fde5423e05ba998d3d46d08687d9c00102ad789c8ed4e8633540923e175ca	The same contrast on the rate axis
main	4	lineage	Fig4_lineage	png	6.498	2.515	results/ligand_site/figures/s22_fig4_lineage.png	figures/Fig4_lineage.png	274103	ec522e74dd69a37b70155c50c2d125bb773fbc58208de6bdf4a56f034766a977	Lineages without the upstream enzyme
main	4	lineage	Fig4_lineage	pdf			results/ligand_site/figures/s22_fig4_lineage.pdf	figures/Fig4_lineage.pdf	24080	c9c9a30fcb6cf76c3f4ad1dec3150a6f044409a4a2c3d105511e44740108c396	Lineages without the upstream enzyme
supp	1	labelled_positions	SuppFig1_labelled_positions	png	5.538	5.418	results/supplementary/figures/SuppFig2_labelled_positions.png	figures/SuppFig1_labelled_positions.png	500492	d01f7302091a6ee290c7bb3c3e8c915dd5a50f4ed73b28a216d95b2234e0e5b6	The core and the pore at residue resolution
supp	1	labelled_positions	SuppFig1_labelled_positions	pdf			results/supplementary/figures/SuppFig2_labelled_positions.pdf	figures/SuppFig1_labelled_positions.pdf	51358	2e74f1332c6d518b00265cf6fe19f914774eac596a996cb44217a0cee45f9ca6	The core and the pore at residue resolution
