kind	number	slug	figure	format	width_in	height_in	source	deposited_as	bytes	sha256	caption_stub
main	2	range	Fig2_range	png	6.515	7.055	results/s20_sweep/figures/range_by_phylum.png	figures/Fig2_range.png	406505	7388ffc00168a5ead1f617bd1d98eeda05ff52745246148af46468d4eab10ef2	The family across the eukaryotes, by proteome
main	2	range	Fig2_range	pdf			results/s20_sweep/figures/range_by_phylum.pdf	figures/Fig2_range.pdf	21854	8502d505b52f325d397428f5e8e25039606bdbf1895facb5c47717857145b65b	The family across the eukaryotes, by proteome
main	1	separation	Fig1_separation	png	7.518	2.838	results/census_v3/figures/profile_separation.png	figures/Fig1_separation.png	338752	a3881b40cafeb302550c3ba22d65170052452c7c4ad6753f343387ae0ed6c715	Two profiles separate the IP₃ receptors from the ryanodine receptors
main	1	separation	Fig1_separation	pdf			results/census_v3/figures/profile_separation.pdf	figures/Fig1_separation.pdf	93446	4df722c8dd988c2ed0abf5c7a3bf23791016d2e1bd8bf781dfafd162a46a9672	Two profiles separate the IP₃ receptors from the ryanodine receptors
main	4	absence	Fig4_absence	png	6.505	6.395	results/s23_scope/figures/absence_at_genome.png	figures/Fig4_absence.png	273467	7cb6bf94b8568e62f8874f69e8a7d131449f9e04738eb7e6ec1cdadb41d21cbc	Absences confirmed in controlled genomes
main	4	absence	Fig4_absence	pdf			results/s23_scope/figures/absence_at_genome.pdf	figures/Fig4_absence.pdf	15665	952ed3fe6e1f17c59f892c57334945018c4341ba2e7b44a2072c9f6c583e6ad4	Absences confirmed in controlled genomes
main	3	chase	Fig3_chase	png	6.950	2.415	results/s20_sweep/figures/plant_fungal_chase.png	figures/Fig3_chase.png	155704	e3532181955ad4c945f938b4abd136aa15514f79a8b817cc9996ed02728fc96d	Every plant and fungal record chased to a verdict
main	3	chase	Fig3_chase	pdf			results/s20_sweep/figures/plant_fungal_chase.pdf	figures/Fig3_chase.pdf	30980	62f16d12809728c9aca0663d1a6e70e6789782a7a2f2e0e61de27776171dd905	Every plant and fungal record chased to a verdict
main	5	copies	Fig5_copies	png	6.515	2.715	results/s23_scope/figures/copy_number.png	figures/Fig5_copies.png	113700	9b815f4644a0b838705cadfe982837586f735ab557c30d7d604415d7d65a5808	Copy number outside the vertebrates
main	5	copies	Fig5_copies	pdf			results/s23_scope/figures/copy_number.pdf	figures/Fig5_copies.pdf	11068	f2eb663ff31833b1e5eb8002f5da5264aec2704634d3080dc6180724b8bb3b0b	Copy number outside the vertebrates
main	6	fold	Fig6_fold	png	5.553	3.248	results/structures/figures/s11_tm_calibration.png	figures/Fig6_fold.png	296679	b42c1f1819f3caacbb442f7fcd6fdc21ddfb40d162bfdfd68eafc5306a4005fe	The fold separates the two families
main	6	fold	Fig6_fold	pdf			results/structures/figures/s11_tm_calibration.pdf	figures/Fig6_fold.pdf	28637	5c533451a32fbcbe86fd6df8175d0b05de47f8a3840e45f3ede4da48c069eb8b	The fold separates the two families
ed	2	enumeration	ExtDataFig2a_enumeration	png	6.570	3.103	results/census_v2/figures/census_space.png	figures/ExtDataFig2a_enumeration.png	169249	0ed60bcf89b4c88e855ebc2ec0baa0698fb859073f40b63216c23691868cc4e8	The uncapped enumeration of the family's signatures
ed	2	enumeration	ExtDataFig2a_enumeration	pdf			results/census_v2/figures/census_space.pdf	figures/ExtDataFig2a_enumeration.pdf	18829	2a07e87610c67909f3b4bc11325ad1f045cbb946da3c70e7227ca812e6a3068e	The uncapped enumeration of the family's signatures
ed	2	enumeration	ExtDataFig2b_enumeration	png	6.570	4.503	results/census_v2/figures/census_lineage.png	figures/ExtDataFig2b_enumeration.png	247916	06d83dfa3076194603529732a2dba9f4b655bccdbc669d5ce76498bd2fb7e205	The uncapped enumeration of the family's signatures
ed	2	enumeration	ExtDataFig2b_enumeration	pdf			results/census_v2/figures/census_lineage.pdf	figures/ExtDataFig2b_enumeration.pdf	15116	9a6b5489824cac7ab979a69ac14df6c48c08659188534bb34e0f6f1a67dc727c	The uncapped enumeration of the family's signatures
ed	1	margin	ExtDataFig1_margin	png	6.593	5.703	results/census_v2/figures/census_margin.png	figures/ExtDataFig1_margin.png	472879	c8a051265a79e59bf01efc8f68a0681da953ef24a732f051b5d5ccd69148ea2d	The labelled-bait margin across the census
ed	1	margin	ExtDataFig1_margin	pdf			results/census_v2/figures/census_margin.pdf	figures/ExtDataFig1_margin.pdf	17268	bfc917529eadbd28ce15377602c146d52a91283bfb08b949497b9d0d5ddfd6e7	The labelled-bait margin across the census
ed	3	census_growth	ExtDataFig3a_census_growth	png	6.565	2.905	results/census_v2/figures/census_growth.png	figures/ExtDataFig3a_census_growth.png	205211	13faf339f796507a8d1ba35d8a988d7acc3d1ca1f7e346aa5978e182f5ff73dc	How the census grew, and the length of what it holds
