kind	number	slug	figure	format	width_in	height_in	source	deposited_as	bytes	sha256	caption_stub
main	1	census	Fig1_census	png	6.560	3.463	results/genome_ledger/figures/ledger_by_class.png	figures/Fig1_census.png	148066	04c0adb52504effbc0b310a9ba095fcab1a1da0de21ad3b4fe5bb98758d2e45d	The three-paralogue census across 309 genomes
main	1	census	Fig1_census	pdf			results/genome_ledger/figures/ledger_by_class.pdf	figures/Fig1_census.pdf	17127	7201a2b13ea14e95e58d5794f60ad5ae182617a3c896aa2db79d6372dc57593d	The three-paralogue census across 309 genomes
main	2	false_negatives	Fig2_false_negatives	png	6.515	2.305	results/methods/figures/fig_s19_contiguity.png	figures/Fig2_false_negatives.png	273944	86c453afa2570392b1c8d6dfad6f538e648364d04d0c7e7d16ed7619e28fb366	The miss rate against assembly contiguity
main	2	false_negatives	Fig2_false_negatives	pdf			results/methods/figures/fig_s19_contiguity.pdf	figures/Fig2_false_negatives.pdf	21987	b263db5a76bdc8ef007e579368f8c3481ca5846f6b85e3ecf81060bbe3a28b43	The miss rate against assembly contiguity
main	3	panel	Fig3_panel	png	6.700	2.703	results/methods/figures/fig_s19_panel.png	figures/Fig3_panel.png	275635	c3719c4ad59731104bde7350d4be3a4567491b84c49bed3936cc0549f2159034	The bait panel ablated
main	3	panel	Fig3_panel	pdf			results/methods/figures/fig_s19_panel.pdf	figures/Fig3_panel.pdf	17778	fc758f5684814133825344cdc94e53caa591cfc57d098ec55e4554c20cfc8ea3	The bait panel ablated
main	4	matrix	Fig4_matrix	png	6.088	3.960	results/loss_dynamics/figures/s15_character_matrix.png	figures/Fig4_matrix.png	214893	a6c1564b76b06d98c23a991514330f5c62613cab10f5fa0f2dfc96a8e34cbd8d	The character matrix
main	4	matrix	Fig4_matrix	pdf			results/loss_dynamics/figures/s15_character_matrix.pdf	figures/Fig4_matrix.pdf	32710	119e5dd06d32dc5c9e49a7e6e69db3e7cba203808d198706d03fb933536e79b0	The character matrix
main	5	reconstruction	Fig5_reconstruction	png	5.773	2.420	results/loss_dynamics/figures/s15_reconstruction.png	figures/Fig5_reconstruction.png	202942	87ba4de4e394fad3320c113952bedce775263df5ae896605936e1bbf32fca795	Reassembling a shattered gene
main	5	reconstruction	Fig5_reconstruction	pdf			results/loss_dynamics/figures/s15_reconstruction.pdf	figures/Fig5_reconstruction.pdf	18366	e9888829bccd96e858ea0a11d06d375b6167b49638d0478a61ab1c6de7ad536e	Reassembling a shattered gene
main	6	sensitivity	Fig6_sensitivity	png	7.068	3.455	results/loss_counts/figures/sensitivity_matrix.png	figures/Fig6_sensitivity.png	258491	a37c3ea85935014c7f34b90902cf4fb107c218bea7daf40ed41a1ffe4c86e59d	What it takes to manufacture a loss
main	6	sensitivity	Fig6_sensitivity	pdf			results/loss_counts/figures/sensitivity_matrix.pdf	figures/Fig6_sensitivity.pdf	22530	351b1e3ea402fc0229458a7ae4006f6765a30315f96bd788f6b00f2b9da7db8f	What it takes to manufacture a loss
ed	1	status	ExtDataFig1_status	png	6.458	2.818	results/genome_ledger/figures/ledger_status.png	figures/ExtDataFig1_status.png	114952	5181b9d7e4a17fc72116b1ed700c21b08cd1ab86351074c63c2ac55b7f0541d0	The ledger status of every cell
ed	1	status	ExtDataFig1_status	pdf			results/genome_ledger/figures/ledger_status.pdf	figures/ExtDataFig1_status.pdf	12894	733cace90ec730a0341463754297cb59d1d2b08dd926de11bfd5eebb031386d1	The ledger status of every cell
ed	2	confound	ExtDataFig2_confound	png	6.918	2.633	results/genome_ledger/figures/contiguity_confound.png	figures/ExtDataFig2_confound.png	174411	7bccd7cc92d4449035feb809ed658327a1dfbb48934cd07937797c8beadeb0a4	Recovery against assembly contiguity
ed	2	confound	ExtDataFig2_confound	pdf			results/genome_ledger/figures/contiguity_confound.pdf	figures/ExtDataFig2_confound.pdf	19324	91f3a024ebc5e011abe9ea5d4c82c58773d0f79528145239a75eea9c7f616b02	Recovery against assembly contiguity
ed	3	synteny_reach	ExtDataFig3_synteny_reach	png	5.893	2.343	results/loss_dynamics/figures/s15_synteny_reach.png	figures/ExtDataFig3_synteny_reach.png	151772	cd11dda66ad0deca7ffef587fc18f1f792d5c9fb24c6ef47030ed66eb39390ed	Why synteny cannot reach the undecided cells
ed	3	synteny_reach	ExtDataFig3_synteny_reach	pdf			results/loss_dynamics/figures/s15_synteny_reach.pdf	figures/ExtDataFig3_synteny_reach.pdf	18354	72cc814136a593e111e6a2f72427b8448c15e573c49b6f9538416375d267f361	Why synteny cannot reach the undecided cells
ed	4	reconstruction_bar	ExtDataFig4_reconstruction_bar	png	6.655	2.855	results/loss_counts/figures/reconstruction_bar.png	figures/ExtDataFig4_reconstruction_bar.png	185203	9f0c48b788a03b3c08f65ea696060b4a3092ad2e02c3e012c82a811496a4750c	The reconstruction bar moved across its gap
ed	4	reconstruction_bar	ExtDataFig4_reconstruction_bar	pdf			results/loss_counts/figures/reconstruction_bar.pdf	figures/ExtDataFig4_reconstruction_bar.pdf	23013	de7181b25c9efc4f1e2859fb9ede9354d1255aa0d674c82f9754915c9ab804d5	The reconstruction bar moved across its gap
ed	5	mk_profile	ExtDataFig5_mk_profile	png	6.655	2.755	results/loss_counts/figures/mk_profile.png	figures/ExtDataFig5_mk_profile.png	270433	242aa4bf62f65ccff62fddaa63e4963ac72337b7d697581aa6c77209fe47d9bd	The rate models refused
ed	5	mk_profile	ExtDataFig5_mk_profile	pdf			results/loss_counts/figures/mk_profile.pdf	figures/ExtDataFig5_mk_profile.pdf	21599	e514ebb604193cdae44d70a85d699e94b5e27bf33fa9656d11455aa8e8535ec0	The rate models refused
ed	6	integrity	ExtDataFig6_integrity	png	6.405	2.738	results/loss_dynamics/figures/s15_integrity.png	figures/ExtDataFig6_integrity.png	313100	2ea383cb424a8bc9fd31b54f4d404c300d70ddb6a2c87f401730d864a1027fb8	Reading-frame integrity and its confounders
ed	6	integrity	ExtDataFig6_integrity	pdf			results/loss_dynamics/figures/s15_integrity.pdf	figures/ExtDataFig6_integrity.pdf	44580	5e1e70d340b8fbbb9d29bc306c44bc8c600398de37d14d9db4dc0fa8d0260a33	Reading-frame integrity and its confounders
ed	7	lesion_strata	ExtDataFig7_lesion_strata	png	7.793	2.755	results/loss_counts/figures/lesion_strata.png	figures/ExtDataFig7_lesion_strata.png	253600	c319c84e5166258c24c5332f8dc237227bd20b96f0c0b2b4375aca9db67b8370	The lesion signal by class
ed	7	lesion_strata	ExtDataFig7_lesion_strata	pdf			results/loss_counts/figures/lesion_strata.pdf	figures/ExtDataFig7_lesion_strata.pdf	19166	5720f5a916c840e6ca25ef0dbb1ac69bf7779c0e9ba0708feab5179446203f72	The lesion signal by class
