cell	n_loci	n_cds_unavailable	frac_cds_unavailable	n_gff_unavailable	frac_gff_unavailable	n_no_gene_set	frac_no_gene_set	n_unannotated	frac_unannotated	n_noncoding	frac_noncoding	n_complete	frac_complete	n_split	frac_split	n_fragmentary	frac_fragmentary	source
ITPR1	401	0	0	3	0.0075	52	0.1297	11	0.0274	16	0.0399	260	0.6484	6	0.015	53	0.1322	
ITPR2	323	0	0	2	0.0062	33	0.1022	13	0.0402	2	0.0062	196	0.6068	2	0.0062	75	0.2322	
ITPR3	335	0	0	2	0.006	35	0.1045	14	0.0418	24	0.0716	233	0.6955	6	0.0179	21	0.0627	
RYR	1085	0	0	8	0.0074	135	0.1244	64	0.059	16	0.0147	734	0.6765	13	0.012	115	0.106	
ITPR1	121	0	0	0	0	0	0	11	0.0909	15	0.124	36	0.2975	6	0.0496	53	0.438	GenBank
ITPR1	225	0	0	0	0	0	0	0	0	1	0.0044	224	0.9956	0	0	0	0	RefSeq
ITPR2	124	0	0	0	0	0	0	13	0.1048	2	0.0161	32	0.2581	2	0.0161	75	0.6048	GenBank
ITPR2	164	0	0	0	0	0	0	0	0	0	0	164	1	0	0	0	0	RefSeq
ITPR3	129	0	0	0	0	0	0	14	0.1085	24	0.186	64	0.4961	6	0.0465	21	0.1628	GenBank
ITPR3	169	0	0	0	0	0	0	0	0	0	0	169	1	0	0	0	0	RefSeq
RYR	325	0	0	0	0	0	0	54	0.1662	15	0.0462	130	0.4	12	0.0369	114	0.3508	GenBank
RYR	617	0	0	0	0	0	0	10	0.0162	1	0.0016	604	0.9789	1	0.0016	1	0.0016	RefSeq
