bar	min_piece	n_loci	n_cds_unavailable	n_gff_unavailable	n_no_gene_set	n_unannotated	n_noncoding	n_complete	n_split	n_fragmentary
0.3	0.02	932	0	0	0	38	42	712	9	131
0.3	0.05	932	0	0	0	38	42	712	8	132
0.3	0.1	932	0	0	0	38	42	712	7	133
0.5	0.02	932	0	0	0	38	42	689	14	149
0.5	0.05	932	0	0	0	38	42	689	14	149
0.5	0.1	932	0	0	0	38	42	689	13	150
0.6	0.02	932	0	0	0	38	42	680	6	166
0.6	0.05	932	0	0	0	38	42	680	6	166
0.6	0.1	932	0	0	0	38	42	680	6	166
0.7	0.02	932	0	0	0	38	42	674	8	170
0.7	0.05	932	0	0	0	38	42	674	8	170
0.7	0.1	932	0	0	0	38	42	674	6	172
0.8	0.02	932	0	0	0	38	42	668	5	179
0.8	0.05	932	0	0	0	38	42	668	5	179
0.8	0.1	932	0	0	0	38	42	668	5	179
0.9	0.02	932	0	0	0	38	42	652	3	197
0.9	0.05	932	0	0	0	38	42	652	3	197
0.9	0.1	932	0	0	0	38	42	652	3	197
0.95	0.02	932	0	0	0	38	42	635	3	214
0.95	0.05	932	0	0	0	38	42	635	2	215
0.95	0.1	932	0	0	0	38	42	635	2	215
