group	phylum	records	taxa	itpr	itpr_high	itpr_taxa	ryr
Amoebozoa	Evosea	11	8	6	0	6	1
Amoebozoa	Discosea	1	1	1	1	1	0
Bacteria	Bacteroidota	1	1	0	0	0	0
Discoba	Euglenozoa	36	22	21	0	18	0
Discoba	Heterolobosea	20	3	15	7	3	0
Eukaryota (other)	(no phylum)	40	7	20	11	6	2
Eukaryota (other)	Haptophyta	14	3	5	1	3	0
Eukaryota (other)	Preaxostyla	3	2	1	0	1	0
Fungi	Mucoromycota	18	16	15	4	15	0
Fungi	Chytridiomycota	9	6	6	4	5	0
Fungi	Basidiobolomycota	5	2	3	3	2	0
Fungi	Entomophthoromycota	1	1	1	1	1	0
Fungi	Glomeromycota	10	8	0	0	0	0
Fungi	Kickxellomycota	2	1	0	0	0	0
Fungi	Zoopagomycota	1	1	0	0	0	0
Metazoa (non-vertebrate)	Arthropoda	2070	331	613	567	247	1199
Metazoa (non-vertebrate)	Mollusca	378	31	185	158	27	62
Metazoa (non-vertebrate)	Nematoda	633	103	157	142	73	273
Metazoa (non-vertebrate)	Platyhelminthes	202	36	32	17	14	70
Metazoa (non-vertebrate)	Chordata	56	8	27	23	7	23
Metazoa (non-vertebrate)	Annelida	65	6	21	15	5	13
Metazoa (non-vertebrate)	Rotifera	114	8	17	14	7	32
Metazoa (non-vertebrate)	Echinodermata	39	7	17	16	5	16
Metazoa (non-vertebrate)	Cnidaria	28	13	17	14	11	0
Metazoa (non-vertebrate)	Brachiopoda	22	1	16	1	1	3
Metazoa (non-vertebrate)	Porifera	46	3	12	9	2	5
Metazoa (non-vertebrate)	Ctenophora	9	1	9	5	1	0
Metazoa (non-vertebrate)	Tardigrada	9	2	3	3	2	6
Metazoa (non-vertebrate)	Hemichordata	6	1	3	2	1	1
Metazoa (non-vertebrate)	Placozoa	4	1	2	1	1	1
Metazoa (non-vertebrate)	Bryozoa	13	1	0	0	0	2
Metazoa (non-vertebrate)	Priapulida	7	1	0	0	0	3
Metazoa (non-vertebrate)	Orthonectida	5	1	0	0	0	0
SAR	Ciliophora	343	15	185	37	14	0
SAR	Oomycota	93	26	42	18	20	0
SAR	(no phylum)	91	18	41	16	11	4
SAR	Perkinsozoa	1	1	0	0	0	0
Vertebrata	Chordata	10936	764	4920	4095	707	5091
Viridiplantae	Chlorophyta	60	13	20	2	11	0
Viridiplantae	Streptophyta	15	13	0	0	0	0
unclassified	(no phylum)	4	1	0	0	0	0
