source	seed_pfams	n_itpr_arch	length_band	records
both	PF08709	1	out_of_band	442
both	PF01365;PF08709	3	out_of_band	402
both	PF01365	1	out_of_band	323
both	PF08454	1	out_of_band	242
both	PF08454	2	out_of_band	209
both	PF08709	2	out_of_band	131
both	PF01365;PF08454	3	out_of_band	79
both	PF01365	2	out_of_band	79
both	PF08454	2	in_band	44
both	PF08454	1	in_band	34
both	PF08709	3	out_of_band	30
both	PF01365;PF08454	2	out_of_band	25
both	PF01365;PF08709	2	out_of_band	24
both	PF01365;PF08454;PF08709	4	out_of_band	21
both	PF08454;PF08709	2	in_band	18
both	PF08709	2	in_band	14
both	PF08709	1	in_band	11
both	PF01365;PF08454	2	in_band	9
both	PF01365	1	in_band	7
both	PF01365;PF08454	4	out_of_band	7
both	PF01365;PF08454;PF08709	3	out_of_band	6
both	PF08454;PF08709	3	out_of_band	5
both	PF08454;PF08709	4	out_of_band	5
both	PF08454	3	out_of_band	4
both	PF01365	2	in_band	3
both	PF01365;PF08709	2	in_band	3
interpro_only	PF08454	0	out_of_band	2
interpro_only	PF08709	0	out_of_band	1
interpro_only	PF01365	0	out_of_band	1
