gene	layer	n_vus	n_pathogenic	n_benign	median_pathogenic	median_benign	median_vus	n_vus_above_pathogenic_median	frac_vus_above_pathogenic_median	n_vus_below_benign_median	frac_vus_below_benign_median
ITPR1	deep	719	39	17	0.8057	0.722	0.7291	185	0.2573	335	0.4659
ITPR1	shallow	716	39	17	0.8378	0.7669	0.8057	264	0.3687	266	0.3715
ITPR1	vert	701	39	15	0.8175	0.602	0.6592	113	0.1612	268	0.3823
ITPR1	family	570	38	13	0.5441	0.1958	0.3086	58	0.1018	91	0.1596
ITPR2	deep	243	1	9	0.8057	0.5137	0.7523	68	0.2798	33	0.1358
ITPR2	shallow	245	1	11	0.8057	0.6594	0.7736	110	0.449	55	0.2245
ITPR2	vert	244	1	11	0.8057	0.4333	0.7017	60	0.2459	44	0.1803
ITPR2	family	196	1	9	0.6087	0.2801	0.3323	11	0.0561	70	0.3571
ITPR3	deep	355	5	16	0.8175	0.729	0.7621	100	0.2817	143	0.4028
ITPR3	shallow	360	5	17	0.8175	0.7214	0.8007	145	0.4028	103	0.2861
ITPR3	vert	354	5	17	0.8175	0.6182	0.7014	75	0.2119	118	0.3333
ITPR3	family	299	5	15	0.5387	0.3475	0.3399	34	0.1137	154	0.5151
