vclass	cell	n_genomes	n_above_bar	mean_copies	mean_copies_above_bar	median_copies	max_copies	genomes_with_2plus	genomes_with_0	frac_multi_above_bar
Actinopteri	ITPR1	88	78	1.761	1.962	2.0	4	74	9	0.9359
Actinopteri	ITPR2	88	78	0.977	1.064	1.0	2	5	7	0.0641
Actinopteri	ITPR3	88	78	0.977	1.064	1.0	3	4	7	0.0513
Actinopteri	RYR	88	78	5.261	5.769	6.0	10	80	4	1.0
Amphibia	ITPR1	8	8	1	1	1.0	1	0	0	0.0
Amphibia	ITPR2	8	8	1	1	1.0	1	0	0	0.0
Amphibia	ITPR3	8	8	1	1	1.0	1	0	0	0.0
Amphibia	RYR	8	8	2.125	2.125	2.0	3	7	0	0.875
Aves	ITPR1	152	51	0.849	1	1.0	1	0	23	0.0
Aves	ITPR2	152	51	0.836	1.02	1.0	2	1	26	0.0196
Aves	ITPR3	152	51	0.908	1	1.0	1	0	14	0.0
Aves	RYR	152	51	1.704	2.392	2.0	3	111	26	1.0
Chondrichthyes	ITPR1	12	12	1	1	1.0	1	0	0	0.0
Chondrichthyes	ITPR2	12	12	1	1	1.0	1	0	0	0.0
Chondrichthyes	ITPR3	12	12	1	1	1.0	1	0	0	0.0
Chondrichthyes	RYR	12	12	3	3	3.0	3	12	0	1.0
Cladistia	ITPR1	1	1	1	1	1	1	0	0	0.0
Cladistia	ITPR2	1	1	1	1	1	1	0	0	0.0
Cladistia	ITPR3	1	1	1	1	1	1	0	0	0.0
Cladistia	RYR	1	1	3	3	3	3	1	0	1.0
Coelacanthimorpha	ITPR1	1	1	1	1	1	1	0	0	0.0
Coelacanthimorpha	ITPR2	1	1	1	1	1	1	0	0	0.0
Coelacanthimorpha	ITPR3	1	1	1	1	1	1	0	0	0.0
Coelacanthimorpha	RYR	1	1	3	3	3	3	1	0	1.0
Crocodylia	ITPR1	1	1	1	1	1	1	0	0	0.0
Crocodylia	ITPR2	1	1	1	1	1	1	0	0	0.0
Crocodylia	ITPR3	1	1	1	1	1	1	0	0	0.0
Crocodylia	RYR	1	1	3	3	3	3	1	0	1.0
Dipnoi	ITPR1	1	1	1	1	1	1	0	0	0.0
Dipnoi	ITPR2	1	1	1	1	1	1	0	0	0.0
Dipnoi	ITPR3	1	1	1	1	1	1	0	0	0.0
Dipnoi	RYR	1	1	3	3	3	3	1	0	1.0
Hyperoartia	ITPR1	1	1	3	3	3	3	1	0	1.0
Hyperoartia	ITPR2	1	1	0	0	0	0	0	1	0.0
Hyperoartia	ITPR3	1	1	0	0	0	0	0	1	0.0
Hyperoartia	RYR	1	1	2	2	2	2	1	0	1.0
Lepidosauria	ITPR1	5	3	1	1	1	1	0	0	0.0
Lepidosauria	ITPR2	5	3	0.8	0.667	1	1	0	1	0.0
Lepidosauria	ITPR3	5	3	1	1	1	1	0	0	0.0
Lepidosauria	RYR	5	3	2.2	2.333	3	3	3	0	0.6667
Mammalia	ITPR1	37	30	1	1	1	1	0	0	0.0
Mammalia	ITPR2	37	30	1	1	1	1	0	0	0.0
Mammalia	ITPR3	37	30	0.973	1	1	1	0	1	0.0
Mammalia	RYR	37	30	2.973	3	3	3	37	0	1.0
Myxini	ITPR1	1	1	3	3	3	3	1	0	1.0
Myxini	ITPR2	1	1	0	0	0	0	0	1	0.0
Myxini	ITPR3	1	1	0	0	0	0	0	1	0.0
Myxini	RYR	1	1	2	2	2	2	1	0	1.0
Testudines	ITPR1	1	1	1	1	1	1	0	0	0.0
Testudines	ITPR2	1	1	1	1	1	1	0	0	0.0
Testudines	ITPR3	1	1	1	1	1	1	0	0	0.0
Testudines	RYR	1	1	3	3	3	3	1	0	1.0
