cov_bar	cell	scope	n_genomes	total_copies	genomes_with_2plus	genomes_with_0	mean_copies
0.3	ITPR1	all	309	381	87	19	1.233
0.3	ITPR1	above_contiguity_bar	189	269	76	0	1.4233
0.3	ITPR2	all	309	300	14	23	0.9709
0.3	ITPR2	above_contiguity_bar	189	193	7	3	1.0212
0.3	ITPR3	all	309	302	9	17	0.9773
0.3	ITPR3	above_contiguity_bar	189	192	4	2	1.0159
0.3	RYR	all	309	968	274	16	3.1327
0.3	RYR	above_contiguity_bar	189	741	187	0	3.9206
0.4	ITPR1	all	309	368	78	23	1.1909
0.4	ITPR1	above_contiguity_bar	189	269	76	0	1.4233
0.4	ITPR2	all	309	284	7	32	0.9191
0.4	ITPR2	above_contiguity_bar	189	193	7	3	1.0212
0.4	ITPR3	all	309	295	6	21	0.9547
0.4	ITPR3	above_contiguity_bar	189	192	4	2	1.0159
0.4	RYR	all	309	942	268	20	3.0485
0.4	RYR	above_contiguity_bar	189	741	187	0	3.9206
0.5	ITPR1	all	309	357	76	32	1.1553
0.5	ITPR1	above_contiguity_bar	189	268	75	0	1.418
0.5	ITPR2	all	309	279	6	36	0.9029
0.5	ITPR2	above_contiguity_bar	189	192	6	3	1.0159
0.5	ITPR3	all	309	290	4	24	0.9385
0.5	ITPR3	above_contiguity_bar	189	192	4	2	1.0159
0.5	RYR	all	309	915	257	30	2.9612
0.5	RYR	above_contiguity_bar	189	741	187	0	3.9206
0.6	ITPR1	all	309	350	76	39	1.1327
0.6	ITPR1	above_contiguity_bar	189	267	75	1	1.4127
0.6	ITPR2	all	309	268	6	47	0.8673
0.6	ITPR2	above_contiguity_bar	189	191	6	4	1.0106
0.6	ITPR3	all	309	281	4	33	0.9094
0.6	ITPR3	above_contiguity_bar	189	192	4	2	1.0159
0.6	RYR	all	309	894	247	39	2.8932
0.6	RYR	above_contiguity_bar	189	740	187	0	3.9153
0.7	ITPR1	all	309	341	76	48	1.1036
0.7	ITPR1	above_contiguity_bar	189	267	75	1	1.4127
0.7	ITPR2	all	309	259	6	56	0.8382
0.7	ITPR2	above_contiguity_bar	189	191	6	4	1.0106
0.7	ITPR3	all	309	274	4	40	0.8867
0.7	ITPR3	above_contiguity_bar	189	190	4	4	1.0053
0.7	RYR	all	309	886	244	42	2.8673
0.7	RYR	above_contiguity_bar	189	739	187	0	3.9101
0.8	ITPR1	all	309	338	76	51	1.0939
0.8	ITPR1	above_contiguity_bar	189	267	75	1	1.4127
0.8	ITPR2	all	309	250	6	65	0.8091
0.8	ITPR2	above_contiguity_bar	189	191	6	4	1.0106
0.8	ITPR3	all	309	268	4	46	0.8673
0.8	ITPR3	above_contiguity_bar	189	189	4	5	1
0.8	RYR	all	309	870	240	51	2.8155
0.8	RYR	above_contiguity_bar	189	736	187	0	3.8942
0.9	ITPR1	all	309	334	76	55	1.0809
0.9	ITPR1	above_contiguity_bar	189	267	75	1	1.4127
0.9	ITPR2	all	309	248	6	67	0.8026
0.9	ITPR2	above_contiguity_bar	189	190	6	5	1.0053
0.9	ITPR3	all	309	263	4	50	0.8511
0.9	ITPR3	above_contiguity_bar	189	187	4	6	0.9894
0.9	RYR	all	309	862	237	54	2.7896
0.9	RYR	above_contiguity_bar	189	734	187	0	3.8836
