symbol	ensembl_gene	status
5S_RRNA	ENSG00000277488	background
5_8S_RRNA	ENSG00000283274	background
7SK	ENSG00000276626	background
A1BG	ENSG00000121410	background
A1BG-AS1	ENSG00000268895	background
A1CF	ENSG00000148584	wanted
A2M	ENSG00000175899	background
A2M-AS1	ENSG00000245105	background
A2ML1	ENSG00000166535	background
A2ML1-AS1	ENSG00000256661	background
A2ML1-AS2	ENSG00000256904	background
A2MP1	ENSG00000256069	background
A3GALT2	ENSG00000184389	background
A4GALT	ENSG00000128274	wanted
A4GNT	ENSG00000118017	background
AA06	ENSG00000265544	background
AAAS	ENSG00000094914	wanted
AACS	ENSG00000081760	background
AACSP1	ENSG00000291019	background
AADAC	ENSG00000114771	background
AADACL2	ENSG00000197953	background
AADACL2-AS1	ENSG00000242908	background
AADACL3	ENSG00000188984	background
AADACL4	ENSG00000204518	background
AADACP1	ENSG00000291076	background
AADAT	ENSG00000109576	background
AAGAB	ENSG00000103591	background
AAK1	ENSG00000115977	background
AAMDC	ENSG00000087884	wanted
AAMP	ENSG00000127837	background
AANAT	ENSG00000129673	background
AAR2	ENSG00000131043	wanted
AARD	ENSG00000205002	background
AARS1	ENSG00000090861	wanted
AARS1P1	ENSG00000249038	background
AARS2	ENSG00000124608	wanted
AARSD1	ENSG00000266967	background
AARSD1P1	ENSG00000234969	background
AASDH	ENSG00000157426	background
AASDHPPT	ENSG00000149313	background
AASDHPPT-AS1	ENSG00000254433	background
AASS	ENSG00000008311	background
AATBC	ENSG00000215458	background
AATF	ENSG00000275700	wanted
AATK	ENSG00000181409	background
ABAT	ENSG00000183044	background
ABCA1	ENSG00000165029	background
ABCA10	ENSG00000154263	background
ABCA11P	ENSG00000293360	background
ABCA12	ENSG00000144452	background
ABCA13	ENSG00000179869	background
ABCA15P	ENSG00000189149	background
ABCA17P	ENSG00000293423	background
ABCA2	ENSG00000107331	background
ABCA3	ENSG00000167972	background
ABCA3P1	ENSG00000257408	background
ABCA4	ENSG00000198691	background
ABCA5	ENSG00000154265	background
ABCA6	ENSG00000154262	background
ABCA7	ENSG00000064687	background
ABCA8	ENSG00000141338	background
ABCA9	ENSG00000154258	background
ABCA9-AS1	ENSG00000231749	background
ABCB1	ENSG00000085563	background
ABCB10	ENSG00000135776	background
ABCB10P1	ENSG00000274099	background
ABCB10P3	ENSG00000261524	background
ABCB10P4	ENSG00000260053	background
ABCB11	ENSG00000073734	background
ABCB4	ENSG00000005471	background
ABCB5	ENSG00000004846	background
ABCB6	ENSG00000115657	background
ABCB7	ENSG00000131269	background
ABCB8	ENSG00000197150	background
ABCB9	ENSG00000150967	background
ABCC1	ENSG00000103222	background
ABCC10	ENSG00000124574	wanted
ABCC11	ENSG00000121270	background
ABCC12	ENSG00000140798	background
ABCC13	ENSG00000291052	background
ABCC2	ENSG00000023839	background
ABCC3	ENSG00000108846	wanted
ABCC4	ENSG00000125257	background
ABCC5	ENSG00000114770	wanted
