species	seq	n_bins	bin_width	coverage
deleginoides	ITPR1|deleginoides	200	41	48,82,82,79,41,41,41,1,0,0,76,123,123,129,160,178,202,164,90,82,87,119,115,82,63,45,82,82,73,40,82,100,102,97,106,164,146,66,125,164,133,87,123,165,147,123,110,81,140,164,148,125,179,206,177,134,167,141,121,117,117,104,142,164,157,132,134,164,164,164,137,62,66,82,69,73,93,133,182,205,151,112,123,149,102,127,124,158,165,151,109,134,128,211,165,150,105,82,59,82,51,80,104,202,194,127,161,205,196,91,118,142,226,246,243,92,176,234,235,287,305,319,266,104,35,102,164,164,164,251,287,287,351,426,413,389,299,398,432,424,356,302,305,246,297,369,391,410,402,292,388,462,492,477,404,451,447,450,426,440,453,473,462,434,429,442,422,417,430,454,506,482,364,287,320,381,388,372,381,328,331,337,407,410,322,284,377,400,410,389,424,557,618,638,661,697,697,697,670,754
deleginoides	ITPR2|deleginoides	200	40	88,212,212,198,229,305,272,305,246,240,183,123,106,121,133,176,160,234,211,233,323,370,342,278,246,286,294,231,240,173,106,148,246,315,302,240,248,229,222,235,204,186,189,155,128,133,119,98,179,200,160,115,121,200,200,266,330,347,195,168,188,169,197,210,235,280,269,241,180,219,206,133,161,160,139,80,58,159,231,267,269,186,210,266,267,315,360,364,433,382,267,291,320,357,287,191,122,92,157,179,240,294,346,334,346,318,267,301,341,376,353,357,329,383,353,394,440,440,411,286,278,340,360,367,385,292,273,328,375,434,469,420,423,441,440,442,501,560,523,480,448,435,403,397,455,449,401,358,383,355,375,402,477,515,562,588,658,620,570,560,493,443,492,483,446,439,485,570,605,592,640,613,599,550,504,560,560,565,573,564,560,550,109,0,131,434,440,512,574,592,600,600,583,618,640,640,640,669,680,1809
deleginoides	ITPR3|deleginoides	200	40	99,120,96,5,37,80,80,110,137,120,53,24,40,76,143,160,132,135,111,107,83,68,38,40,47,40,74,120,118,120,128,125,138,89,113,91,139,125,110,120,150,124,120,89,90,120,166,143,141,186,162,200,200,189,171,198,199,200,188,178,140,150,120,112,120,143,120,112,64,59,40,117,164,200,116,107,158,193,107,91,104,171,180,200,179,235,211,158,120,155,160,173,120,185,203,221,200,165,160,213,203,158,184,192,224,243,243,244,270,250,278,280,225,229,240,236,188,133,114,120,164,234,200,164,191,190,149,110,137,189,201,294,355,333,247,200,150,158,329,346,345,285,245,178,202,220,242,249,253,225,240,222,229,348,333,293,323,351,398,369,366,320,358,318,306,357,360,360,337,280,280,272,239,223,271,300,319,355,360,315,263,288,276,240,206,242,295,320,320,309,278,387,427,444,468,462,509,440,470,703
deleginoides	RYR|deleginoides	200	74	0,62,74,23,0,0,43,148,107,122,33,68,0,23,74,98,71,74,74,74,74,74,74,39,0,0,0,0,0,0,0,0,64,35,0,45,74,131,98,74,57,74,52,72,74,45,74,47,74,74,74,42,0,0,36,104,121,74,69,69,148,112,52,74,56,0,0,0,60,74,3,2,74,74,74,22,0,66,59,65,74,74,74,74,74,74,74,4,37,74,74,74,74,74,74,74,74,56,74,3,42,74,143,123,74,74,74,71,74,42,111,148,114,74,74,74,123,222,180,148,145,96,116,117,136,74,118,296,201,148,79,116,132,74,74,74,74,105,148,85,74,74,74,74,74,74,74,16,74,74,74,74,74,43,148,96,188,208,86,74,104,192,222,175,148,148,148,148,148,198,198,148,148,183,238,222,236,215,136,146,148,148,141,148,148,148,116,182,204,148,222,222,222,222,238,296,288,172,148,285
dmawsoni	ITPR1|dmawsoni	200	41	154,246,270,267,328,402,305,194,104,232,233,236,129,156,235,292,282,291,325,321,236,261,280,305,340,286,287,392,386,307,297,296,307,252,303,279,215,141,156,292,294,249,126,123,127,255,269,200,227,367,350,260,227,444,465,425,389,450,398,377,312,134,118,266,462,456,355,287,422,400,299,226,236,267,348,369,419,364,309,301,403,516,571,433,275,463,533,526,410,394,430,492,436,318,328,386,395,380,291,416,398,538,548,466,359,344,492,471,363,296,308,269,349,339,331,329,369,316,218,284,249,282,269,164,24,127,422,524,471,556,656,656,578,588,615,617,535,310,150,425,544,627,598,550,554,615,627,620,575,577,541,638,644,656,643,615,597,574,557,637,656,641,634,697,697,631,562,582,627,666,656,656,644,668,697,689,669,678,601,645,615,628,521,538,580,627,697,697,682,697,694,696,656,671,681,696,679,655,656,1014
dmawsoni	ITPR2|dmawsoni	200	40	166,204,259,306,294,300,374,426,385,366,288,304,334,295,383,497,454,410,330,343,386,432,360,399,378,308,208,240,353,403,389,263,272,325,375,422,417,462,400,340,392,369,264,211,397,406,402,502,531,460,354,560,524,466,380,428,520,472,328,299,439,530,524,481,600,554,423,377,382,440,359,342,423,485,452,348,241,480,517,530,592,560,528,480,534,560,560,560,520,412,474,504,440,423,411,493,560,520,434,425,529,576,569,580,638,640,631,600,600,600,533,560,560,530,454,480,486,502,480,419,440,482,545,558,486,482,515,560,532,480,524,560,560,492,480,490,520,520,473,589,600,577,560,635,640,601,587,600,556,600,580,636,640,633,642,680,680,640,583,612,640,640,640,640,640,622,575,573,578,432,416,452,516,592,600,597,600,600,600,615,546,481,10,35,249,558,576,600,600,600,600,600,609,640,640,640,640,622,640,1586
dmawsoni	ITPR3|dmawsoni	200	40	186,277,279,339,400,392,400,400,398,400,400,295,290,316,320,320,317,319,290,320,315,290,310,309,320,320,386,400,400,344,309,254,316,320,277,270,404,480,448,399,405,320,290,312,323,312,300,320,320,290,262,312,426,480,476,448,480,480,400,276,395,469,474,393,334,396,380,286,350,360,301,432,440,424,289,347,424,440,402,400,380,288,359,400,400,400,424,440,440,394,400,438,443,449,551,560,541,498,504,546,454,431,336,334,360,436,425,497,464,514,480,424,400,458,470,480,480,480,416,328,290,302,376,440,484,496,514,502,498,538,600,600,539,614,640,612,256,332,490,560,542,442,426,480,480,475,530,600,600,568,520,460,507,560,560,423,440,440,353,320,358,400,400,400,428,494,556,480,460,480,516,560,560,500,456,480,510,520,519,430,427,520,520,480,480,480,493,520,520,514,484,480,480,480,480,491,520,520,509,1263
dmawsoni	RYR|dmawsoni	200	74	0,0,0,0,0,220,216,0,0,0,0,0,0,110,108,51,104,194,87,0,0,74,187,55,208,205,167,198,0,0,0,0,9,74,26,37,126,148,132,88,189,216,178,108,114,149,73,74,6,74,31,0,0,0,0,30,74,46,68,120,148,94,108,110,0,0,57,272,281,138,262,322,72,128,86,31,82,198,196,221,232,17,0,5,196,170,44,120,156,49,0,144,222,63,128,131,131,43,151,271,210,391,309,46,0,36,148,88,222,81,0,0,0,0,74,219,53,210,164,148,92,72,142,0,15,74,69,222,122,148,140,0,0,0,0,0,76,199,209,196,187,286,189,160,282,244,104,222,201,296,249,342,130,137,370,222,327,290,163,74,156,281,314,383,357,347,534,347,426,369,286,417,255,243,260,288,395,266,150,379,604,366,434,339,162,296,301,535,494,553,479,624,459,515,486,380,310,350,406,572
nalbiflora	ITPR1|nalbiflora	200	41	277,478,637,673,786,772,770,770,719,666,606,656,690,648,737,697,675,596,619,702,764,779,697,716,711,666,654,635,673,601,574,661,626,655,602,502,523,654,697,767,791,711,767,651,700,762,794,845,811,778,698,767,734,685,716,698,729,647,596,550,468,490,566,617,672,684,648,648,693,813,921,943,878,830,891,915,921,870,921,984,984,814,649,512,598,740,816,815,791,770,710,584,271,303,530,748,847,884,907,886,911,852,835,847,812,690,759,820,842,783,707,773,828,802,744,731,837,855,901,880,793,738,695,570,222,456,869,924,906,951,1030,1023,995,875,952,1045,1064,1046,1063,1021,976,1051,943,950,958,1075,1107,1045,971,1015,1006,1041,1025,1050,1057,1047,1121,1139,1148,1104,1153,1204,1230,1256,1185,1248,1174,1121,1050,1137,1137,1087,1103,1114,1091,1136,1203,1249,1222,1189,819,133,776,1005,1028,1082,1152,1122,1189,1189,1189,1189,1167,1184,1148,1210,1164,1114,1174,2423
nalbiflora	ITPR2|nalbiflora	200	40	580,640,698,752,681,678,592,515,528,577,634,652,706,711,633,630,674,737,714,798,808,768,745,677,638,624,584,554,477,570,598,645,631,680,668,736,752,755,750,741,760,684,713,792,747,685,598,625,643,676,702,727,733,683,763,853,861,859,799,797,780,755,746,828,790,877,862,795,659,756,692,738,763,708,718,651,620,308,233,508,622,667,701,752,894,928,852,913,924,960,936,889,835,910,914,908,912,906,910,879,796,720,798,899,950,927,801,793,850,918,871,870,938,920,906,883,866,858,906,947,864,913,862,885,919,954,1029,996,887,672,819,965,1024,1033,992,997,964,925,901,973,1000,1042,1051,1052,1060,1018,1001,1000,1065,1043,1053,1076,1041,1037,1001,1003,921,951,1036,1067,1008,974,1001,1002,956,979,1031,1073,1069,1090,1110,1073,1003,1015,1097,1102,1120,1157,1135,1025,966,900,130,705,1038,1053,1080,1026,1051,1094,1120,1149,1120,1120,1128,1089,1097,1081,1017,1434
