species	organism	run	tissue	seq	role	cell	failure_mode	reads	junction_reads	covered_bases	ref_len	decoy_reads	decoy_covered_bases	library_reads	reads_per_million	detected	failed_criteria
deleginoides	Dissostichus eleginoides	SRR20773616	brain	ITPR1|deleginoides	failed	ITPR1	fragmentation	45	27	2042	8222	0	0	8000000	5.625	1	
deleginoides	Dissostichus eleginoides	SRR20773616	brain	ITPR2|deleginoides	failed	ITPR2	omission	121	89	4076	8074	0	0	8000000	15.125	1	
deleginoides	Dissostichus eleginoides	SRR20773616	brain	ITPR3|deleginoides	failed	ITPR3	fragmentation	55	44	2560	8064	0	0	8000000	6.875	1	
deleginoides	Dissostichus eleginoides	SRR20773616	brain	RYR|deleginoides	control_family	RYR		113	87	4970	14895	0	0	8000000	14.125	1	
deleginoides	Dissostichus eleginoides	SRR20773616	brain	hk_EEF1A1|deleginoides	housekeeping	EEF1A1		6	6	453	1440	0	0	8000000	0.75	1	
deleginoides	Dissostichus eleginoides	SRR20773616	brain	hk_GAPDH|deleginoides	housekeeping	GAPDH		4	4	298	1005	0	0	8000000	0.5	0	reads<5
deleginoides	Dissostichus eleginoides	SRR20773616	brain	hk_RPL13A|deleginoides	housekeeping	RPL13A		4370	3628	618	618	0	0	8000000	546.25	1	
deleginoides	Dissostichus eleginoides	SRR20773613	heart	ITPR1|deleginoides	failed	ITPR1	fragmentation	4	4	245	8222	0	0	8000000	0.5	0	reads<5
deleginoides	Dissostichus eleginoides	SRR20773613	heart	ITPR2|deleginoides	failed	ITPR2	omission	77	65	2317	8074	0	0	8000000	9.625	1	
deleginoides	Dissostichus eleginoides	SRR20773613	heart	ITPR3|deleginoides	failed	ITPR3	fragmentation	10	7	918	8064	0	0	8000000	1.25	1	
deleginoides	Dissostichus eleginoides	SRR20773613	heart	RYR|deleginoides	control_family	RYR		1	1	125	14895	0	0	8000000	0.125	0	junction_reads<2;reads<5
deleginoides	Dissostichus eleginoides	SRR20773613	heart	hk_EEF1A1|deleginoides	housekeeping	EEF1A1		0	0	0	1440	0	0	8000000	0.0	0	junction_reads<2;reads<5;not_above_decoy
deleginoides	Dissostichus eleginoides	SRR20773613	heart	hk_GAPDH|deleginoides	housekeeping	GAPDH		7941	7513	1005	1005	0	0	8000000	992.625	1	
deleginoides	Dissostichus eleginoides	SRR20773613	heart	hk_RPL13A|deleginoides	housekeeping	RPL13A		9100	6702	618	618	0	0	8000000	1137.5	1	
deleginoides	Dissostichus eleginoides	SRR8767977	heart	ITPR1|deleginoides	failed	ITPR1	fragmentation	40	23	2064	8222	0	0	8000000	5.0	1	
deleginoides	Dissostichus eleginoides	SRR8767977	heart	ITPR2|deleginoides	failed	ITPR2	omission	23	11	1263	8074	0	0	8000000	2.875	1	
deleginoides	Dissostichus eleginoides	SRR8767977	heart	ITPR3|deleginoides	failed	ITPR3	fragmentation	18	9	1207	8064	0	0	8000000	2.25	1	
deleginoides	Dissostichus eleginoides	SRR8767977	heart	RYR|deleginoides	control_family	RYR		0	0	0	14895	0	0	8000000	0.0	0	junction_reads<2;reads<5;not_above_decoy
deleginoides	Dissostichus eleginoides	SRR8767977	heart	hk_EEF1A1|deleginoides	housekeeping	EEF1A1		0	0	0	1440	0	0	8000000	0.0	0	junction_reads<2;reads<5;not_above_decoy
deleginoides	Dissostichus eleginoides	SRR8767977	heart	hk_GAPDH|deleginoides	housekeeping	GAPDH		58475	50464	1005	1005	0	0	8000000	7309.375	1	
deleginoides	Dissostichus eleginoides	SRR8767977	heart	hk_RPL13A|deleginoides	housekeeping	RPL13A		7700	5498	618	618	0	0	8000000	962.5	1	
deleginoides	Dissostichus eleginoides	SRR20773609	muscle	ITPR1|deleginoides	failed	ITPR1	fragmentation	6	2	280	8222	0	0	8000000	0.75	1	
