species	organism	query	run	study	sample	strategy	source	selection	layout	platform	model	spots	bases	read_len	tissue_called	tissue_evidence	verdict	study_title
deleginoides	Dissostichus eleginoides	brain	SRR20773616	SRP389092	SRS14419277	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	22212066	6074767455	273	brain	tissue=Brain tissue	keep	Genome sequencing and assembly of Dissostichus eleginoides
deleginoides	Dissostichus eleginoides	heart	SRR20773613	SRP389092	SRS14419279	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	25797943	6852271329	265	heart	tissue=Heart tissue	keep	Genome sequencing and assembly of Dissostichus eleginoides
deleginoides	Dissostichus eleginoides	heart	SRR8767977	SRP189135	SRS4521950	RNA-Seq	TRANSCRIPTOMIC	PCR	PAIRED	ILLUMINA	Illumina HiSeq 4000	63784340	12756868000	200	heart	tissue=heart	keep	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression
deleginoides	Dissostichus eleginoides	muscle	SRR20773609	SRP389092	SRS14419284	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	18229113	5041303029	276	muscle	tissue=Muscle tissue	keep	Genome sequencing and assembly of Dissostichus eleginoides
deleginoides	Dissostichus eleginoides	muscle	SRR8767972	SRP189135	SRS4521955	RNA-Seq	TRANSCRIPTOMIC	PCR	PAIRED	ILLUMINA	Illumina HiSeq 4000	55795963	10564960981	189	muscle	tissue=muscle	keep	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression
deleginoides	Dissostichus eleginoides	liver	SRR20773610	SRP389092	SRS14419283	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	21041588	5485514729	260	liver	tissue=Liver tissue	keep	Genome sequencing and assembly of Dissostichus eleginoides
deleginoides	Dissostichus eleginoides	liver	SRR8767971	SRP189135	SRS4521956	RNA-Seq	TRANSCRIPTOMIC	PCR	PAIRED	ILLUMINA	Illumina HiSeq 4000	96023400	19204680000	200	liver	tissue=liver	keep	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression
deleginoides	Dissostichus eleginoides	kidney	SRR20773611	SRP389092	SRS14419282	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	22425174	5999980859	267	kidney	tissue=Kidney tissue	keep	Genome sequencing and assembly of Dissostichus eleginoides
deleginoides	Dissostichus eleginoides	kidney	SRR8795689	SRP189135	SRS4521957	RNA-Seq	TRANSCRIPTOMIC	PCR	PAIRED	ILLUMINA	Illumina HiSeq 4000	77970331	15594066200	200	kidney	tissue=kidney	keep	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression
deleginoides	Dissostichus eleginoides	intestine	SRR20773612	SRP389092	SRS14419281	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	31145323	8295218534	266	intestine	tissue=Intestine tissue	keep	Genome sequencing and assembly of Dissostichus eleginoides
