species	organism	run	tissue	tissue_evidence	tissue_from	study	study_title	sample	layout	model	spots	read_len	selection
deleginoides	Dissostichus eleginoides	SRR20773616	brain	tissue=Brain tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419277	PAIRED	Illumina NovaSeq 6000	22212066	273	cDNA
deleginoides	Dissostichus eleginoides	SRR20773613	heart	tissue=Heart tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419279	PAIRED	Illumina NovaSeq 6000	25797943	265	cDNA
deleginoides	Dissostichus eleginoides	SRR8767977	heart	tissue=heart	attribute	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521950	PAIRED	Illumina HiSeq 4000	63784340	200	PCR
deleginoides	Dissostichus eleginoides	SRR20773609	muscle	tissue=Muscle tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419284	PAIRED	Illumina NovaSeq 6000	18229113	276	cDNA
deleginoides	Dissostichus eleginoides	SRR8767972	muscle	tissue=muscle	attribute	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521955	PAIRED	Illumina HiSeq 4000	55795963	189	PCR
deleginoides	Dissostichus eleginoides	SRR20773610	liver	tissue=Liver tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419283	PAIRED	Illumina NovaSeq 6000	21041588	260	cDNA
deleginoides	Dissostichus eleginoides	SRR8767971	liver	tissue=liver	attribute	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521956	PAIRED	Illumina HiSeq 4000	96023400	200	PCR
deleginoides	Dissostichus eleginoides	SRR20773611	kidney	tissue=Kidney tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419282	PAIRED	Illumina NovaSeq 6000	22425174	267	cDNA
deleginoides	Dissostichus eleginoides	SRR8795689	kidney	tissue=kidney	attribute	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521957	PAIRED	Illumina HiSeq 4000	77970331	200	PCR
deleginoides	Dissostichus eleginoides	SRR20773612	intestine	tissue=Intestine tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419281	PAIRED	Illumina NovaSeq 6000	31145323	266	cDNA
deleginoides	Dissostichus eleginoides	SRR20773614	ovary	tissue=Ovary tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419280	PAIRED	Illumina NovaSeq 6000	29487653	275	cDNA
deleginoides	Dissostichus eleginoides	SRR20773615	gill	tissue=Gill tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419278	PAIRED	Illumina NovaSeq 6000	20064866	270	cDNA
deleginoides	Dissostichus eleginoides	SRR20773608	spleen	tissue=Spleen tissue	attribute	SRP389092	Genome sequencing and assembly of Dissostichus eleginoides	SRS14419285	PAIRED	Illumina NovaSeq 6000	18738789	267	cDNA
deleginoides	Dissostichus eleginoides	SRR8767969	spleen	tissue=spleen	attribute	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521958	PAIRED	Illumina HiSeq 4000	84325230	177	PCR
deleginoides	Dissostichus eleginoides	SRR8795862	unknown		none	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521953	PAIRED	Illumina HiSeq 4000	82302967	200	PCR
deleginoides	Dissostichus eleginoides	SRR8767973	unknown		none	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521954	PAIRED	Illumina HiSeq 4000	79494760	200	PCR
deleginoides	Dissostichus eleginoides	SRR8795863	unknown		none	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521952	PAIRED	Illumina HiSeq 4000	79125615	200	PCR
deleginoides	Dissostichus eleginoides	SRR8767976	gill	tissue=gills	attribute	SRP189135	Dissostichus eleginoides breed:Dissostichus Transcriptome or Gene expression	SRS4521951	PAIRED	Illumina HiSeq 4000	58509243	200	PCR
dmawsoni	Dissostichus mawsoni	SRR6794060	brain	tissue=Brain	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607239	PAIRED	Illumina HiSeq 1500	17065548	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794063	muscle	tissue=Red muscle	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607241	PAIRED	Illumina HiSeq 1500	13427948	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794066	skin	tissue=Skin	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607238	PAIRED	Illumina HiSeq 1500	11286647	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794061	liver	tissue=Liver	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607237	PAIRED	Illumina HiSeq 1500	16644938	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794059	kidney	tissue=Head kidney	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607232	PAIRED	Illumina HiSeq 1500	15639916	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794068	intestine	tissue=Small intestine	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607233	PAIRED	Illumina HiSeq 1500	13532039	218	cDNA
