grouping	group	n_loci	n_genomes	n_annot_edges	n_exact	n_within_tol	frac_exact	frac_within_tol
all	all	1171	164	188146	177710	177784	0.9445	0.9449
cell	ITPR1	226	163	25682	24095	24102	0.9382	0.9385
cell	ITPR2	163	157	17982	17213	17218	0.9572	0.9575
cell	ITPR3	162	158	18066	17425	17442	0.9645	0.9655
cell	RYR	620	164	126416	118977	119022	0.9412	0.9415
source	GenBank	172	24	23180	21114	21128	0.9109	0.9115
source	RefSeq	999	140	164966	156596	156656	0.9493	0.9496
vclass	Actinopteri	610	63	100798	94215	94260	0.9347	0.9351
vclass	Amphibia	37	8	5588	5215	5218	0.9332	0.9338
vclass	Aves	251	47	38586	37092	37109	0.9613	0.9617
vclass	Chondrichthyes	66	11	10596	9939	9941	0.938	0.9382
vclass	Cladistia	6	1	974	941	941	0.9661	0.9661
vclass	Coelacanthimorpha	6	1	954	907	908	0.9507	0.9518
vclass	Crocodylia	6	1	958	929	929	0.9697	0.9697
vclass	Dipnoi	6	1	958	910	910	0.9499	0.9499
vclass	Hyperoartia	5	1	766	713	713	0.9308	0.9308
vclass	Lepidosauria	12	2	1846	1736	1737	0.9404	0.941
vclass	Mammalia	155	26	24412	23480	23485	0.9618	0.962
vclass	Myxini	5	1	750	706	706	0.9413	0.9413
vclass	Testudines	6	1	960	927	927	0.9656	0.9656
state	complete	1112	160	183250	173693	173757	0.9478	0.9482
state	fragmentary	32	11	1486	1090	1093	0.7335	0.7355
state	noncoding	8	3	1166	1029	1031	0.8825	0.8842
state	split	18	9	2240	1897	1902	0.8469	0.8491
state	unannotated	1	1	4	1	1	0.25	0.25
