stratum	cell_a	cell_b	metric	n_pairs	n_a_greater	n_b_greater	n_ties	median_diff	p	q
all	ITPR1	ITPR2	n_exons	183	180	3	0	3	1.66651e-49	0
all	ITPR1	ITPR2	cds_bp	183	180	3	0	171	1.66651e-49	0
all	ITPR1	ITPR2	span_bp	183	74	109	0	-77408	0.0117518	0.012339
all	ITPR1	ITPR2	median_intron_bp	183	71	112	0	-258.5	0.00300241	0.003408
all	ITPR1	ITPR2	max_intron_bp	183	76	107	0	-1698	0.0263067	0.026948
all	ITPR1	ITPR2	mean_exon_bp	183	14	169	0	-4.4	5.78138e-35	0
all	ITPR1	ITPR2	total_intron_bp	183	73	110	0	-77512	0.00761528	0.008417
all	ITPR1	ITPR3	n_exons	182	110	49	23	2	1.46995e-06	2e-06
all	ITPR1	ITPR3	cds_bp	182	178	4	0	253.5	1.47568e-47	0
all	ITPR1	ITPR3	span_bp	182	161	21	0	119342	6.38936e-28	0
all	ITPR1	ITPR3	median_intron_bp	182	153	29	0	720	1.49635e-21	0
all	ITPR1	ITPR3	max_intron_bp	182	143	39	0	22074	3.75025e-15	0
all	ITPR1	ITPR3	mean_exon_bp	182	80	101	1	-0.3	0.136905	0.136905
all	ITPR1	ITPR3	total_intron_bp	182	160	22	0	119024	4.71339e-27	0
all	ITPR1	RYR	n_exons	188	0	188	0	-44	5.09789e-57	0
all	ITPR1	RYR	cds_bp	188	0	188	0	-6636	5.09789e-57	0
all	ITPR1	RYR	span_bp	188	57	131	0	-55720	6.95152e-08	0
all	ITPR1	RYR	median_intron_bp	188	112	76	0	112	0.0104988	0.011306
all	ITPR1	RYR	max_intron_bp	188	45	143	0	-13945	4.31064e-13	0
all	ITPR1	RYR	mean_exon_bp	188	19	169	0	-5.3	2.97657e-31	0
all	ITPR1	RYR	total_intron_bp	188	62	126	0	-49262.5	3.52696e-06	4e-06
all	ITPR2	ITPR3	n_exons	181	11	160	10	-1	4.72694e-35	0
all	ITPR2	ITPR3	cds_bp	181	167	12	2	90	4.35357e-36	0
all	ITPR2	ITPR3	span_bp	181	146	35	0	144843	2.55646e-17	0
all	ITPR2	ITPR3	median_intron_bp	181	139	42	0	980.5	2.49543e-13	0
all	ITPR2	ITPR3	max_intron_bp	181	143	38	0	28179	1.59242e-15	0
all	ITPR2	ITPR3	mean_exon_bp	181	177	4	0	4.3	2.88687e-47	0
all	ITPR2	ITPR3	total_intron_bp	181	146	35	0	144864	2.55646e-17	0
all	ITPR2	RYR	n_exons	184	0	184	0	-47	8.15663e-56	0
all	ITPR2	RYR	cds_bp	184	0	184	0	-6813	8.15663e-56	0
all	ITPR2	RYR	span_bp	184	49	135	0	-51424.5	1.72187e-10	0
all	ITPR2	RYR	median_intron_bp	184	128	56	0	145.2	1.15542e-07	0
all	ITPR2	RYR	max_intron_bp	184	49	135	0	-12190	1.72187e-10	0
all	ITPR2	RYR	mean_exon_bp	184	50	134	0	-1.3	4.72056e-10	0
all	ITPR2	RYR	total_intron_bp	184	58	126	0	-44534.5	5.90386e-07	1e-06
all	ITPR3	RYR	n_exons	183	0	183	0	-46	1.63133e-55	0
all	ITPR3	RYR	cds_bp	183	0	183	0	-6918	1.63133e-55	0
all	ITPR3	RYR	span_bp	183	21	162	0	-172806	3.60557e-28	0
all	ITPR3	RYR	median_intron_bp	183	63	120	0	-393	3.03082e-05	3.5e-05
all	ITPR3	RYR	max_intron_bp	183	42	141	0	-23324	1.04651e-13	0
all	ITPR3	RYR	mean_exon_bp	183	9	174	0	-5.8	8.9296e-41	0
all	ITPR3	RYR	total_intron_bp	183	27	156	0	-165944	2.92763e-23	0
Actinopteri	ITPR1	ITPR2	n_exons	78	77	1	0	2	5.22778e-22	0
Actinopteri	ITPR1	ITPR2	cds_bp	78	75	3	0	133	5.23824e-19	0
Actinopteri	ITPR1	ITPR2	span_bp	78	60	18	0	14147.5	1.97302e-06	4e-06
Actinopteri	ITPR1	ITPR2	median_intron_bp	78	59	19	0	82	6.41506e-06	1.2e-05
Actinopteri	ITPR1	ITPR2	max_intron_bp	78	33	45	0	-749.5	0.212683	0.23507
Actinopteri	ITPR1	ITPR2	mean_exon_bp	78	11	67	0	-2.5	6.11831e-11	0
Actinopteri	ITPR1	ITPR2	total_intron_bp	78	59	19	0	14056.5	6.41506e-06	1.2e-05
Actinopteri	ITPR1	ITPR3	n_exons	75	12	45	18	-2	1.31274e-05	2.3e-05
Actinopteri	ITPR1	ITPR3	cds_bp	75	73	2	0	186	1.50931e-19	0
Actinopteri	ITPR1	ITPR3	span_bp	75	60	15	0	29090	1.5878e-07	0
Actinopteri	ITPR1	ITPR3	median_intron_bp	75	53	22	0	104	0.000449648	0.00063
Actinopteri	ITPR1	ITPR3	max_intron_bp	75	42	33	0	1088	0.355699	0.373484
Actinopteri	ITPR1	ITPR3	mean_exon_bp	75	66	9	0	6.3	7.65884e-12	0
Actinopteri	ITPR1	ITPR3	total_intron_bp	75	59	16	0	28877	6.11416e-07	1e-06
Actinopteri	ITPR1	RYR	n_exons	78	0	78	0	-47	6.61744e-24	0
Actinopteri	ITPR1	RYR	cds_bp	78	0	78	0	-6921	6.61744e-24	0
Actinopteri	ITPR1	RYR	span_bp	78	36	42	0	-4098	0.571587	0.585528
Actinopteri	ITPR1	RYR	median_intron_bp	78	65	13	0	225	1.8077e-09	0
Actinopteri	ITPR1	RYR	max_intron_bp	78	22	56	0	-5376.5	0.000149482	0.000224
Actinopteri	ITPR1	RYR	mean_exon_bp	78	12	66	0	-3.3	3.48585e-10	0
Actinopteri	ITPR1	RYR	total_intron_bp	78	41	37	0	2872	0.734342	0.734342
Actinopteri	ITPR2	ITPR3	n_exons	75	2	71	2	-3	5.72171e-19	0
Actinopteri	ITPR2	ITPR3	cds_bp	75	63	10	2	41	1.5536e-10	0
Actinopteri	ITPR2	ITPR3	span_bp	75	50	25	0	16053	0.00522824	0.006862
Actinopteri	ITPR2	ITPR3	median_intron_bp	75	43	32	0	45	0.248046	0.267126
Actinopteri	ITPR2	ITPR3	max_intron_bp	75	49	26	0	3158	0.0105821	0.013468
Actinopteri	ITPR2	ITPR3	mean_exon_bp	75	73	2	0	8.1	1.50931e-19	0
Actinopteri	ITPR2	ITPR3	total_intron_bp	75	50	25	0	16046	0.00522824	0.006862
Actinopteri	ITPR2	RYR	n_exons	78	0	78	0	-49	6.61744e-24	0
Actinopteri	ITPR2	RYR	cds_bp	78	0	78	0	-7067.5	6.61744e-24	0
Actinopteri	ITPR2	RYR	span_bp	78	21	57	0	-18270.5	5.57112e-05	8.7e-05
Actinopteri	ITPR2	RYR	median_intron_bp	78	57	21	0	109.2	5.57112e-05	8.7e-05
Actinopteri	ITPR2	RYR	max_intron_bp	78	29	49	0	-3005.5	0.0307865	0.036944
Actinopteri	ITPR2	RYR	mean_exon_bp	78	30	48	0	-0.7	0.0535444	0.06078
Actinopteri	ITPR2	RYR	total_intron_bp	78	29	49	0	-11525.5	0.0307865	0.036944
Actinopteri	ITPR3	RYR	n_exons	75	0	75	0	-45	5.29396e-23	0
Actinopteri	ITPR3	RYR	cds_bp	75	0	75	0	-7125	5.29396e-23	0
Actinopteri	ITPR3	RYR	span_bp	75	13	62	0	-36166	8.39601e-09	0
Actinopteri	ITPR3	RYR	median_intron_bp	75	47	28	0	54	0.0369549	0.043114
Actinopteri	ITPR3	RYR	max_intron_bp	75	21	54	0	-5473	0.000176309	0.000255
Actinopteri	ITPR3	RYR	mean_exon_bp	75	7	68	0	-8.7	1.16718e-13	0
Actinopteri	ITPR3	RYR	total_intron_bp	75	19	56	0	-29038	2.24296e-05	3.8e-05
Aves	ITPR1	ITPR2	n_exons	51	51	0	0	5	8.88178e-16	0
Aves	ITPR1	ITPR2	cds_bp	51	51	0	0	237	8.88178e-16	0
Aves	ITPR1	ITPR2	span_bp	51	1	50	0	-92470	4.61853e-14	0
Aves	ITPR1	ITPR2	median_intron_bp	51	1	50	0	-347.5	4.61853e-14	0
Aves	ITPR1	ITPR2	max_intron_bp	51	1	50	0	-6699	4.61853e-14	0
Aves	ITPR1	ITPR2	mean_exon_bp	51	0	51	0	-7.6	8.88178e-16	0
Aves	ITPR1	ITPR2	total_intron_bp	51	1	50	0	-92704	4.61853e-14	0
Aves	ITPR1	ITPR3	n_exons	51	51	0	0	4	8.88178e-16	0
Aves	ITPR1	ITPR3	cds_bp	51	51	0	0	342	8.88178e-16	0
Aves	ITPR1	ITPR3	span_bp	51	51	0	0	129234	8.88178e-16	0
Aves	ITPR1	ITPR3	median_intron_bp	51	51	0	0	1047	8.88178e-16	0
Aves	ITPR1	ITPR3	max_intron_bp	51	51	0	0	24281	8.88178e-16	0
Aves	ITPR1	ITPR3	mean_exon_bp	51	0	51	0	-3.4	8.88178e-16	0
Aves	ITPR1	ITPR3	total_intron_bp	51	51	0	0	128892	8.88178e-16	0
Aves	ITPR1	RYR	n_exons	51	0	51	0	-42	8.88178e-16	0
Aves	ITPR1	RYR	cds_bp	51	0	51	0	-6573	8.88178e-16	0
Aves	ITPR1	RYR	span_bp	51	0	51	0	-234197	8.88178e-16	0
Aves	ITPR1	RYR	median_intron_bp	51	14	37	0	-340	0.0017692	0.001812
Aves	ITPR1	RYR	max_intron_bp	51	0	51	0	-57952	8.88178e-16	0
Aves	ITPR1	RYR	mean_exon_bp	51	0	51	0	-8.9	8.88178e-16	0
Aves	ITPR1	RYR	total_intron_bp	51	0	51	0	-227621	8.88178e-16	0
Aves	ITPR2	ITPR3	n_exons	51	1	48	2	-1	1.77636e-13	0
Aves	ITPR2	ITPR3	cds_bp	51	51	0	0	105	8.88178e-16	0
Aves	ITPR2	ITPR3	span_bp	51	51	0	0	222749	8.88178e-16	0
Aves	ITPR2	ITPR3	median_intron_bp	51	51	0	0	1340	8.88178e-16	0
Aves	ITPR2	ITPR3	max_intron_bp	51	51	0	0	30416	8.88178e-16	0
Aves	ITPR2	ITPR3	mean_exon_bp	51	51	0	0	4.3	8.88178e-16	0
Aves	ITPR2	ITPR3	total_intron_bp	51	51	0	0	222644	8.88178e-16	0
Aves	ITPR2	RYR	n_exons	51	0	51	0	-47	8.88178e-16	0
Aves	ITPR2	RYR	cds_bp	51	0	51	0	-6810	8.88178e-16	0
Aves	ITPR2	RYR	span_bp	51	13	38	0	-140576	0.000621043	0.000652
Aves	ITPR2	RYR	median_intron_bp	51	26	25	0	32.5	1	1
Aves	ITPR2	RYR	max_intron_bp	51	0	51	0	-52352	8.88178e-16	0
Aves	ITPR2	RYR	mean_exon_bp	51	2	49	0	-1.3	1.17861e-12	0
Aves	ITPR2	RYR	total_intron_bp	51	13	38	0	-133760	0.000621043	0.000652
Aves	ITPR3	RYR	n_exons	51	0	51	0	-46	8.88178e-16	0
Aves	ITPR3	RYR	cds_bp	51	0	51	0	-6915	8.88178e-16	0
Aves	ITPR3	RYR	span_bp	51	0	51	0	-357500	8.88178e-16	0
Aves	ITPR3	RYR	median_intron_bp	51	0	51	0	-1345	8.88178e-16	0
Aves	ITPR3	RYR	max_intron_bp	51	0	51	0	-81808	8.88178e-16	0
Aves	ITPR3	RYR	mean_exon_bp	51	0	51	0	-5.5	8.88178e-16	0
Aves	ITPR3	RYR	total_intron_bp	51	0	51	0	-350585	8.88178e-16	0
Chondrichthyes	ITPR1	ITPR2	n_exons	12	12	0	0	2	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR2	cds_bp	12	12	0	0	171	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR2	span_bp	12	12	0	0	227932	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR2	median_intron_bp	12	9	3	0	404.5	0.145996	0.185813
Chondrichthyes	ITPR1	ITPR2	max_intron_bp	12	11	1	0	57151.5	0.00634766	0.009874
Chondrichthyes	ITPR1	ITPR2	mean_exon_bp	12	1	11	0	-2.3	0.00634766	0.009874
Chondrichthyes	ITPR1	ITPR2	total_intron_bp	12	12	0	0	227772	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR3	n_exons	12	12	0	0	3	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR3	cds_bp	12	12	0	0	369	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR3	span_bp	12	12	0	0	215652	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR3	median_intron_bp	12	10	2	0	270	0.0385742	0.054004
Chondrichthyes	ITPR1	ITPR3	max_intron_bp	12	12	0	0	50588.5	0.000488281	0.000977
Chondrichthyes	ITPR1	ITPR3	mean_exon_bp	12	2	10	0	-0.9	0.0385742	0.054004
Chondrichthyes	ITPR1	ITPR3	total_intron_bp	12	12	0	0	215274	0.000488281	0.000977
Chondrichthyes	ITPR1	RYR	n_exons	12	0	12	0	-43.5	0.000488281	0.000977
Chondrichthyes	ITPR1	RYR	cds_bp	12	0	12	0	-6518	0.000488281	0.000977
Chondrichthyes	ITPR1	RYR	span_bp	12	11	1	0	51479.5	0.00634766	0.009874
Chondrichthyes	ITPR1	RYR	median_intron_bp	12	9	3	0	588.2	0.145996	0.185813
Chondrichthyes	ITPR1	RYR	max_intron_bp	12	12	0	0	58261	0.000488281	0.000977
Chondrichthyes	ITPR1	RYR	mean_exon_bp	12	2	10	0	-4	0.0385742	0.054004
Chondrichthyes	ITPR1	RYR	total_intron_bp	12	11	1	0	58048.5	0.00634766	0.009874
Chondrichthyes	ITPR2	ITPR3	n_exons	12	7	3	2	1	0.34375	0.424632
Chondrichthyes	ITPR2	ITPR3	cds_bp	12	12	0	0	191	0.000488281	0.000977
Chondrichthyes	ITPR2	ITPR3	span_bp	12	4	8	0	-10514	0.387695	0.428505
Chondrichthyes	ITPR2	ITPR3	median_intron_bp	12	5	7	0	-8.8	0.774414	0.813135
Chondrichthyes	ITPR2	ITPR3	max_intron_bp	12	3	9	0	-9143.5	0.145996	0.185813
Chondrichthyes	ITPR2	ITPR3	mean_exon_bp	12	11	1	0	1.7	0.00634766	0.009874
Chondrichthyes	ITPR2	ITPR3	total_intron_bp	12	4	8	0	-10723.5	0.387695	0.428505
Chondrichthyes	ITPR2	RYR	n_exons	12	0	12	0	-46	0.000488281	0.000977
Chondrichthyes	ITPR2	RYR	cds_bp	12	0	12	0	-6687.5	0.000488281	0.000977
