cell_a	cell_b	tolerance	n_genomes	observed_total	expected_total	enrichment	median_observed	median_expected	n_genomes_p_lt_0.05	frac_genomes_significant	excludes_frame_via_cell	is_operating_point	q_worst_genome
ITPR1	ITPR2	0	183	8669	98.9	87.648	48	0.55	183	1	0	1	0
ITPR1	ITPR2	1	183	9030	231.6	38.997	50	1.28	183	1	0	0	0
ITPR1	ITPR2	2	183	9122	355.2	25.678	51	1.97	183	1	0	0	0
ITPR1	ITPR3	0	182	8394	98	85.616	46	0.55	182	1	0	1	0
ITPR1	ITPR3	1	182	8515	231.3	36.807	47	1.29	182	1	0	0	0
ITPR1	ITPR3	2	182	8551	355.9	24.023	47	1.97	182	1	0	0	0
ITPR1	RYR	0	188	184	85.8	2.144	1	0.46	0	0	0	1	1
ITPR1	RYR	1	188	373	201.5	1.851	2	1.09	0	0	0	0	0.923249
ITPR1	RYR	2	188	461	303	1.522	2	1.64	0	0	0	0	0.974089
ITPR2	ITPR3	0	181	8733	98.8	88.434	49	0.55	181	1	0	1	0
ITPR2	ITPR3	1	181	8908	229.9	38.74	50	1.28	181	1	0	0	0
ITPR2	ITPR3	2	181	8929	353.3	25.27	50	1.97	181	1	0	0	0
ITPR2	RYR	0	184	183	80.2	2.283	1	0.43	0	0	0	1	1
ITPR2	RYR	1	184	369	188.2	1.96	2	1.01	0	0	0	0	0.923249
ITPR2	RYR	2	184	370	284.8	1.299	2	1.52	0	0	0	0	0.974089
ITPR3	RYR	0	183	182	81.4	2.236	1	0.44	0	0	0	1	1
ITPR3	RYR	1	183	367	191.7	1.914	2	1.04	0	0	0	0	0.618269
ITPR3	RYR	2	183	367	288.9	1.27	2	1.57	0	0	0	0	0.898952
ITPR1	ITPR2	0	183	8669	98.9	87.648	48	0.55	183	1	1	1	0
ITPR1	ITPR2	1	183	9030	231.6	38.997	50	1.28	183	1	1	0	0
ITPR1	ITPR2	2	183	9122	355.2	25.678	51	1.97	183	1	1	0	0
ITPR1	ITPR3	0	182	8394	98	85.616	46	0.55	182	1	1	1	0
ITPR1	ITPR3	1	182	8515	231.3	36.807	47	1.29	182	1	1	0	0
ITPR1	ITPR3	2	182	8551	355.9	24.023	47	1.97	182	1	1	0	0
ITPR1	RYR	0	188	184	85.8	2.144	1	0.46	0	0	1	1	1
ITPR1	RYR	1	188	373	201.5	1.851	2	1.09	0	0	1	0	0.923249
ITPR1	RYR	2	188	461	303	1.522	2	1.64	0	0	1	0	0.974089
ITPR2	ITPR3	0	181	8733	98.8	88.434	49	0.55	181	1	1	1	0
ITPR2	ITPR3	1	181	8908	229.9	38.74	50	1.28	181	1	1	0	0
ITPR2	ITPR3	2	181	8929	353.3	25.27	50	1.97	181	1	1	0	0
ITPR2	RYR	0	184	183	80.2	2.283	1	0.43	0	0	1	1	1
ITPR2	RYR	1	184	369	188.2	1.96	2	1.01	0	0	1	0	0.923249
ITPR2	RYR	2	184	370	284.8	1.299	2	1.52	0	0	1	0	0.974089
ITPR3	RYR	0	183	182	81.4	2.236	1	0.44	0	0	1	1	1
ITPR3	RYR	1	183	367	191.7	1.914	2	1.04	0	0	1	0	0.618269
ITPR3	RYR	2	183	367	288.9	1.27	2	1.57	0	0	1	0	0.898952
