vclass	class	status	n
	ITPR1	found_annotated	3
	ITPR1	assembly_gap	1
	ITPR1	tblastn_trace	2
	ITPR2	found_annotated	3
	ITPR2	assembly_gap	1
	ITPR2	tblastn_trace	2
	ITPR3	found_annotated	5
	ITPR3	assembly_gap	1
	RYR	found_annotated	3
	RYR	found_unannotated	1
	RYR	assembly_gap	2
Actinopteri	ITPR1	found_annotated	2
Actinopteri	ITPR2	found_annotated	2
Actinopteri	ITPR3	found_annotated	2
Actinopteri	RYR	found_annotated	2
Aves	ITPR1	assembly_gap	1
Aves	ITPR1	tblastn_trace	2
Aves	ITPR2	assembly_gap	1
Aves	ITPR2	tblastn_trace	2
Aves	ITPR3	assembly_gap	1
Aves	ITPR3	found_annotated	2
Aves	RYR	assembly_gap	2
Aves	RYR	found_unannotated	1
Mammalia	ITPR1	found_annotated	1
Mammalia	ITPR2	found_annotated	1
Mammalia	ITPR3	found_annotated	1
Mammalia	RYR	found_annotated	1
