group	n	min	p05	p25	median	mean	max
all_itpr_loci	91	0.1351	0.1897	0.2461	0.2959	0.4049	1.0
annotation_known	40	0.159	0.1601	0.233	0.3011	0.4552	1.0
annotation_agrees	39	0.159	0.159	0.2312	0.2993	0.459	1.0
annotation_agrees_contested	29	0.159	0.159	0.2306	0.2809	0.2725	0.3601
annotation_disagrees	1	0.306	0.306	0.306	0.306	0.306	0.306
family_margin_all	194	1.0	1.0	1.0	1.0	1.0	1.0
fragment_all	84	0.0	0.0	0.11	0.24	0.2383	1.0
fragment_annotation_known	11	0.227	0.227	0.227	0.284	0.302	0.37
fragment_annotation_agrees	11	0.227	0.227	0.227	0.284	0.302	0.37
fragment_annotation_disagrees	0						
