scope	group	state	n
all	all	paralog_unassignable	4
all	all	present_fragmented	43
all	all	present_partial	7
all	all	present_single_locus	783
all	all	present_truncated	90
by_cell	ITPR1	present_fragmented	17
by_cell	ITPR1	present_single_locus	261
by_cell	ITPR1	present_truncated	31
by_cell	ITPR2	paralog_unassignable	2
by_cell	ITPR2	present_fragmented	16
by_cell	ITPR2	present_partial	6
by_cell	ITPR2	present_single_locus	253
by_cell	ITPR2	present_truncated	32
by_cell	ITPR3	paralog_unassignable	2
by_cell	ITPR3	present_fragmented	10
by_cell	ITPR3	present_partial	1
by_cell	ITPR3	present_single_locus	269
by_cell	ITPR3	present_truncated	27
by_class	Actinopteri	present_fragmented	1
by_class	Actinopteri	present_partial	1
by_class	Actinopteri	present_single_locus	236
by_class	Actinopteri	present_truncated	26
by_class	Amphibia	present_single_locus	21
by_class	Amphibia	present_truncated	3
by_class	Aves	present_fragmented	40
by_class	Aves	present_partial	6
by_class	Aves	present_single_locus	352
by_class	Aves	present_truncated	58
by_class	Chondrichthyes	present_single_locus	36
by_class	Cladistia	present_single_locus	3
by_class	Coelacanthimorpha	present_single_locus	3
by_class	Crocodylia	present_single_locus	3
by_class	Dipnoi	present_single_locus	3
by_class	Hyperoartia	paralog_unassignable	2
by_class	Hyperoartia	present_single_locus	1
by_class	Lepidosauria	present_fragmented	1
by_class	Lepidosauria	present_single_locus	11
by_class	Lepidosauria	present_truncated	3
by_class	Mammalia	present_fragmented	1
by_class	Mammalia	present_single_locus	110
by_class	Myxini	paralog_unassignable	2
by_class	Myxini	present_single_locus	1
by_class	Testudines	present_single_locus	3
synteny_by_cell	ITPR1	corroborated	1
synteny_by_cell	ITPR1	no_neighbourhood	16
synteny_by_cell	ITPR1	not_asked	292
synteny_by_cell	ITPR2	corroborated	1
synteny_by_cell	ITPR2	no_neighbourhood	13
synteny_by_cell	ITPR2	not_asked	295
synteny_by_cell	ITPR3	corroborated	1
synteny_by_cell	ITPR3	no_call	1
synteny_by_cell	ITPR3	no_neighbourhood	8
synteny_by_cell	ITPR3	not_asked	299
