accession	organism	taxid	status	path
GCA_033238685.1	Lates japonicus	270547	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Carangaria > Carangaria incertae sedis > Centropomidae > Lates > Lates japonicus
GCA_014281875.1	Nibea albiflora	240163	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Eupercaria incertae sedis > Sciaenidae > Nibea > Nibea albiflora
GCA_980438365.1	Acanthurus tractus	1316013	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Acanthuriformes > Acanthuridae > Acanthurinae > Acanthurus > Acanthurus tractus
GCF_017654505.1	Polyodon spathula	7913	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Chondrostei > Acipenseriformes > Acipenseroidei > Polyodontidae > Polyodontinae > Polyodontini > Polyodon > Polyodon spathula
GCF_042242105.1	Pempheris klunzingeri	3127111	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Acropomatiformes > Pempheridae > Pempheris > Pempheris klunzingeri
GCA_056783665.1	Albula glossodonta	121402	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Elopocephalai > Elopocephala > Elopomorpha > Albuliformes > Albulidae > Albulinae > Albula > Albula glossodonta
GCA_022829145.1	Albula goreensis	1534307	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Elopocephalai > Elopocephala > Elopomorpha > Albuliformes > Albulidae > Albulinae > Albula > Albula goreensis
GCA_056824585.1	Alepocephalus tenebrosus	170189	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Otomorpha > Alepocephali > Alepocephaliformes > Alepocephalidae > Alepocephalus > Alepocephalus tenebrosus
GCF_036373705.1	Amia ocellicauda	2972642	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Holostei > Amiiformes > Amiidae > Amia > Amia ocellicauda
GCF_033026475.1	Channa argus	215402	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Anabantaria > Anabantiformes > Channoidei > Channidae > Channa > Channa argus
GCF_963514075.1	Conger conger	82655	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Elopocephalai > Elopocephala > Elopomorpha > Anguilliformes > Congridae > Congrinae > Conger > Conger conger
GCF_963989245.1	Nansenia antarctica	443705	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Protacanthopterygii > Argentiniformes > Microstomatidae > Nansenia > Nansenia antarctica
GCA_900312595.1	Guentherus altivela	1263181	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Ateleopodia > Ateleopodiformes > Ateleopodidae > Guentherus > Guentherus altivela
GCF_933228915.1	Telmatherina bonti	446457	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Atheriniformes > Telmatherinidae > Telmatherina > Telmatherina bonti
GCF_963971535.1	Notolepis coatsorum	948063	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Aulopa > Aulopiformes > Alepisauroidei > Paralepididae > Notolepis > Notolepis coatsorum
GCF_902500255.1	Thalassophryne amazonica	390379	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Batrachoidaria > Batrachoidiformes > Batrachoididae > Thalassophyrininae > Thalassophryne > Thalassophryne amazonica
GCF_033807715.1	Cololabis saira	129043	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Beloniformes > Belonoidei > Belonidae > Cololabis > Cololabis saira
GCF_964638095.1	Poromitra crassiceps	88708	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Berycimorphaceae > Beryciformes > Melamphaidae > Poromitra > Poromitra crassiceps
GCF_900634775.2	Gouania willdenowi	441366	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Blenniimorphae > Blenniiformes > Gobiesocoidei > Gobiesocidae > Gobiesocinae > Gouania > Gouania willdenowi
GCA_965364685.1	Capros aper	206100	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Caproiformes > Caproidae > Capros > Capros aper
GCF_045865225.1	Trachurus japonicus	83875	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Carangaria > Carangiformes > Carangidae > Trachurus > Trachurus japonicus
GCF_021292245.1	Micropterus dolomieu	147949	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Centrarchiformes > Centrarchoidei > Centrarchidae > Micropterus > Micropterus dolomieu
GCF_039877785.1	Chaetodon trifascialis	109706	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Chaetodontiformes > Chaetodontidae > Chaetodon > Chaetodon trifascialis
GCF_029633855.1	Hoplias malabaricus	27720	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Otomorpha > Ostariophysi > Otophysi > Characiphysae > Characiformes > Characoidei > Erythrinidae > Hoplias > Hoplias malabaricus
GCF_057381845.1	Rhamphochromis longiceps	304217	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Cichlomorphae > Cichliformes > Cichlidae > African cichlids > Pseudocrenilabrinae > Haplochromini > Rhamphochromis > Rhamphochromis longiceps
