taxid	node	rank	n_children	n_tips	is_polytomy
9126	Passeriformes	ORDER	23	57	1
1489922	Eupercaria	CLADE	17	21	1
3078114	Neoaves	CLADE	10	139	1
1489872	Percomorphaceae	CLADE	9	47	1
192204	Corvoidea	SUPERFAMILY	8	10	1
8906	Charadriiformes	ORDER	7	7	1
28758	Goodeidae	FAMILY	7	7	1
9263	Metatheria	CLADE	7	7	1
2116661	Sylvioidea	SUPERFAMILY	7	15	1
3073812	Aequornithes	CLADE	6	15	1
311790	Afrotheria	SUPERORDER	6	6	1
3073810	Coraciimorphae	CLADE	6	16	1
314145	Laurasiatheria	SUPERORDER	6	12	1
8783	Palaeognathae	SUPERORDER	6	10	1
8936	Coraciiformes	ORDER	5	5	1
9173	Timaliidae	FAMILY	5	5	1
123368	Acanthomorphata	CLADE	4	57	1
3073809	Australaves	CLADE	4	61	1
117893	Batoidea	SUPERORDER	4	4	1
1489904	Carangaria	CLADE	4	4	1
32521	Elopomorpha	CLADE	4	5	1
314146	Euarchontoglires	SUPERORDER	4	9	1
1489388	Euteleosteomorpha	COHORT	4	67	1
1489908	Ovalentaria	CLADE	4	14	1
9205	Pelecaniformes	ORDER	4	5	1
9219	Piciformes	ORDER	4	5	1
41705	Protacanthopterygii	CLADE	4	4	1
3073808	Telluraves	CLADE	4	83	1
8342	Anura	ORDER	3	6	1
1489913	Atherinomorphae	SUPERORDER	3	11	1
48283	Caprimulgidae	FAMILY	3	3	1
8902	Caprimulgiformes	ORDER	3	5	1
66704	Certhiidae	FAMILY	3	3	1
186628	Characiphysae	SUPERORDER	3	3	1
3073799	Columbimorphae	CLADE	3	5	1
8940	Cuculiformes	ORDER	3	4	1
30727	Cyprinoidei	SUBORDER	3	3	1
123369	Euacanthomorphacea	CLADE	3	50	1
9347	Eutheria	CLADE	3	29	1
119195	Galeoidea	SUPERORDER	3	3	1
9108	Gruiformes	ORDER	3	4	1
1931080	Meliphagoidea	SUPERFAMILY	3	3	1
3073806	Otidimorphae	CLADE	3	7	1
186634	Otomorpha	COHORT	3	9	1
118040	Squalomorphii	CLADE	3	3	1
2607030	Strisores	CLADE	3	11	1
9170	Sturnidae	FAMILY	3	3	1
36270	Sylviidae	FAMILY	3	4	1
8803	Tinamidae	FAMILY	3	4	1
2558200	Accipitriformes	ORDER	2	4	0
8955	Accipitrinae	SUBFAMILY	2	2	0
330750	Acrocephalinae	SUBFAMILY	2	2	0
186623	Actinopteri	CLASS	2	88	0
7898	Actinopterygii	SUPERCLASS	2	89	0
54908	Albula	GENUS	2	2	0
32524	Amniota	CLADE	2	196	0
8292	Amphibia	CLASS	2	8	0
1489892	Anabantaria	CLADE	2	2	0
8893	Apodidae	FAMILY	2	3	0
8892	Apodiformes	ORDER	2	5	0
2607033	Apodinae	SUBFAMILY	2	2	0
9232	Aptenodytes	GENUS	2	2	0
1329799	Archelosauria	CLADE	2	154	0
8492	Archosauria	CLADE	2	153	0
91561	Artiodactyla	ORDER	2	5	0
8782	Aves	CLASS	2	152	0
41666	Batrachia	SUPERORDER	2	7	0
1489869	Berycimorphaceae	CLADE	2	2	0
1329961	Bifurcata	CLADE	2	4	0
1437010	Boreoeutheria	CLADE	2	21	0
57379	Bucerotiformes	ORDER	2	2	0
9526	Catarrhini	PARVORDER	2	3	0
8922	Cathartidae	FAMILY	2	2	0
9527	Cercopithecidae	FAMILY	2	2	0
9859	Cervus	GENUS	2	2	0
175116	Chloropsis	GENUS	2	2	0
7777	Chondrichthyes	CLASS	2	12	0
8926	Ciconiidae	FAMILY	2	2	0
186625	Clupeocephala	CLADE	2	76	0
57385	Coliidae	FAMILY	2	2	0
34989	Colubroidea	SUPERFAMILY	2	2	0
8930	Columbidae	FAMILY	2	2	0
28725	Corvidae	FAMILY	2	2	0
48395	Crypturellus	GENUS	2	2	0
123367	Ctenosquamata	CLADE	2	58	0
8941	Cuculidae	FAMILY	2	2	0
1476529	Cyclostomata	CLADE	2	2	0
28738	Cyprinodontiformes	ORDER	2	9	0
8087	Cyprinodontoidei	SUBORDER	2	8	0
1338369	Dipnotetrapodomorpha	CLADE	2	205	0
36199	Dissostichus	GENUS	2	2	0
7778	Elasmobranchii	SUBCLASS	2	11	0
81928	Eurylaimidae	FAMILY	2	2	0
123366	Eurypterygia	CLADE	2	59	0
117571	Euteleostomi	CLADE	2	295	0
9133	Fringillidae	FAMILY	2	2	0
1489843	Gadariae	CLADE	2	3	0
8043	Gadiformes	ORDER	2	2	0
119197	Galeomorphii	CLADE	2	4	0
1549675	Galloanserae	SUPERORDER	2	3	0
314147	Glires	CLADE	2	3	0
7776	Gnathostomata	CLADE	2	307	0
1489875	Gobiaria	CLADE	2	2	0
1489100	Holostei	INFRACLASS	2	3	0
8504	Lepidosauria	CLASS	2	5	0
7915	Lepisosteidae	FAMILY	2	2	0
40674	Mammalia	CLASS	2	37	0
3073803	Mirandornithes	CLADE	2	3	0
337687	Muroidea	CLADE	2	2	0
56302	Musophagidae	FAMILY	2	2	0
8416	Neobatrachia	SUBORDER	2	3	0
8825	Neognathae	INFRACLASS	2	142	0
41665	Neopterygii	SUBCLASS	2	87	0
123365	Neoteleostei	CLADE	2	60	0
8206	Nototheniidae	FAMILY	2	3	0
8205	Notothenioidei	SUBORDER	2	4	0
9722	Odontoceti	PARVORDER	2	2	0
32519	Ostariophysi	SUBCOHORT	2	7	0
41712	Osteoglossiformes	ORDER	2	2	0
1489341	Osteoglossocephalai	CLADE	2	79	0
31089	Osteoglossomorpha	CLADE	2	3	0
186626	Otophysi	CLADE	2	6	0
1489838	Paracanthopterygii	CLADE	2	5	0
9153	Paridae	FAMILY	2	2	0
175121	Passeroidea	SUPERFAMILY	2	3	0
35500	Pecora	INFRAORDER	2	3	0
8111	Perciformes	ORDER	2	5	0
9787	Perissodactyla	ORDER	2	2	0
37044	Phaethon	GENUS	2	2	0
3073796	Phaethontimorphae	CLADE	2	3	0
9005	Phasianidae	FAMILY	2	2	0
8352	Pipidae	FAMILY	2	2	0
30448	Podicipedidae	FAMILY	2	2	0
30451	Procellariidae	FAMILY	2	2	0
30449	Procellariiformes	ORDER	2	3	0
9224	Psittacidae	FAMILY	2	2	0
56296	Pterocles	GENUS	2	2	0
9119	Rallidae	FAMILY	2	2	0
57381	Ramphastidae	FAMILY	2	2	0
8397	Ranidae	FAMILY	2	2	0
8287	Sarcopterygii	SUPERCLASS	2	206	0
32561	Sauria	CLADE	2	159	0
119203	Selachii	INFRACLASS	2	7	0
314293	Simiiformes	INFRAORDER	2	4	0
9231	Spheniscidae	FAMILY	2	3	0
1489798	Stomiati	CLADE	2	2	0
30458	Strigiformes	ORDER	2	2	0
8801	Struthio camelus	SPECIES	2	2	0
32443	Teleostei	INFRACLASS	2	84	0
32523	Tetrapoda	CLADE	2	204	0
32525	Theria	CLADE	2	36	0
33574	Threskiornithidae	FAMILY	2	2	0
9242	Trochilidae	FAMILY	2	2	0
28728	Tyrannidae	FAMILY	2	2	0
1329950	Unidentata	CLADE	2	3	0
7742	Vertebrata	CLADE	2	309	0
9348	Xenarthra	SUPERORDER	2	2	0
30560	Yangochiroptera	SUBORDER	2	2	0
