bin	contig_n50_lo	contig_n50_hi	series	n_genomes	n_cells	n_false_negative	rate	wilson_lo	wilson_hi
<50k	0	50000	itpr_present	81	243	107	0.4403	0.3793	0.5032
<50k	0	50000	ryr_sister	81	81	37	0.4568	0.3527	0.5648
<50k	0	50000	ITPR1	81	81	36	0.4444	0.3412	0.5527
<50k	0	50000	ITPR2	81	81	44	0.5432	0.4352	0.6473
<50k	0	50000	ITPR3	81	81	27	0.3333	0.2403	0.4415
50k-142.2k	50000	142212	itpr_present	39	117	28	0.2393	0.1711	0.3241
50k-142.2k	50000	142212	ryr_sister	39	39	5	0.1282	0.056	0.2671
50k-142.2k	50000	142212	ITPR1	39	39	11	0.2821	0.1654	0.4378
50k-142.2k	50000	142212	ITPR2	39	39	8	0.2051	0.1078	0.3553
50k-142.2k	50000	142212	ITPR3	39	39	9	0.2308	0.1265	0.3834
142.2k-500k	142212	500000	itpr_present	9	27	1	0.037	0.0066	0.1828
142.2k-500k	142212	500000	ryr_sister	9	9	0	0.0	0.0	0.2992
142.2k-500k	142212	500000	ITPR1	9	9	0	0.0	0.0	0.2992
142.2k-500k	142212	500000	ITPR2	9	9	1	0.1111	0.0199	0.435
142.2k-500k	142212	500000	ITPR3	9	9	0	0.0	0.0	0.2992
500k-2M	500000	2000000	itpr_present	27	79	3	0.038	0.013	0.1058
500k-2M	500000	2000000	ryr_sister	27	27	0	0.0	0.0	0.1246
500k-2M	500000	2000000	ITPR1	27	27	0	0.0	0.0	0.1246
500k-2M	500000	2000000	ITPR2	26	26	1	0.0385	0.0068	0.1889
500k-2M	500000	2000000	ITPR3	26	26	2	0.0769	0.0214	0.2414
2M-10M	2000000	10000000	itpr_present	59	175	1	0.0057	0.001	0.0317
2M-10M	2000000	10000000	ryr_sister	59	59	0	0.0	0.0	0.0611
2M-10M	2000000	10000000	ITPR1	59	59	1	0.0169	0.003	0.09
2M-10M	2000000	10000000	ITPR2	58	58	0	0.0	0.0	0.0621
2M-10M	2000000	10000000	ITPR3	58	58	0	0.0	0.0	0.0621
>=10M	10000000		itpr_present	94	282	0	0.0	0.0	0.0134
>=10M	10000000		ryr_sister	94	94	0	0.0	0.0	0.0393
>=10M	10000000		ITPR1	94	94	0	0.0	0.0	0.0393
>=10M	10000000		ITPR2	94	94	0	0.0	0.0	0.0393
>=10M	10000000		ITPR3	94	94	0	0.0	0.0	0.0393
