stratum	value	series	n_genomes	n_cells	n_false_negative	rate	n_cells_above_bar	rate_above_bar
assembly_level	Chromosome	itpr_present	172	512	3	0.0059	503	0.004
assembly_level	Chromosome	ryr_sister	172	172	0	0.0	169	0.0
assembly_level	Complete Genome	itpr_present	7	21	0	0.0	21	0.0
assembly_level	Complete Genome	ryr_sister	7	7	0	0.0	7	0.0
assembly_level	Contig	itpr_present	2	6	0	0.0	6	0.0
assembly_level	Contig	ryr_sister	2	2	0	0.0	2	0.0
assembly_level	Scaffold	itpr_present	128	384	137	0.3568	33	0.0909
assembly_level	Scaffold	ryr_sister	128	128	42	0.3281	11	0.0
annotation_source	GenBank	itpr_present	141	423	119	0.2813	144	0.0278
annotation_source	GenBank	ryr_sister	141	141	35	0.2482	48	0.0
annotation_source	RefSeq	itpr_present	168	500	21	0.042	419	0.0024
annotation_source	RefSeq	ryr_sister	168	168	7	0.0417	141	0.0
vertebrate_class	Actinopteri	itpr_present	88	264	28	0.1061	234	0.0043
vertebrate_class	Actinopteri	ryr_sister	88	88	7	0.0795	78	0.0
vertebrate_class	Amphibia	itpr_present	8	24	3	0.125	24	0.125
vertebrate_class	Amphibia	ryr_sister	8	8	0	0.0	8	0.0
vertebrate_class	Aves	itpr_present	152	456	104	0.2281	153	0.0
vertebrate_class	Aves	ryr_sister	152	152	35	0.2303	51	0.0
vertebrate_class	Chondrichthyes	itpr_present	12	36	0	0.0	36	0.0
vertebrate_class	Chondrichthyes	ryr_sister	12	12	0	0.0	12	0.0
vertebrate_class	Cladistia	itpr_present	1	3	0	0.0	3	0.0
vertebrate_class	Cladistia	ryr_sister	1	1	0	0.0	1	0.0
vertebrate_class	Coelacanthimorpha	itpr_present	1	3	0	0.0	3	0.0
vertebrate_class	Coelacanthimorpha	ryr_sister	1	1	0	0.0	1	0.0
vertebrate_class	Crocodylia	itpr_present	1	3	0	0.0	3	0.0
vertebrate_class	Crocodylia	ryr_sister	1	1	0	0.0	1	0.0
vertebrate_class	Dipnoi	itpr_present	1	3	0	0.0	3	0.0
vertebrate_class	Dipnoi	ryr_sister	1	1	0	0.0	1	0.0
vertebrate_class	Hyperoartia	itpr_present	1	1	0	0.0	1	0.0
vertebrate_class	Hyperoartia	ryr_sister	1	1	0	0.0	1	0.0
vertebrate_class	Lepidosauria	itpr_present	5	15	4	0.2667	9	0.1111
vertebrate_class	Lepidosauria	ryr_sister	5	5	0	0.0	3	0.0
vertebrate_class	Mammalia	itpr_present	37	111	1	0.009	90	0.0
vertebrate_class	Mammalia	ryr_sister	37	37	0	0.0	30	0.0
vertebrate_class	Myxini	itpr_present	1	1	0	0.0	1	0.0
vertebrate_class	Myxini	ryr_sister	1	1	0	0.0	1	0.0
vertebrate_class	Testudines	itpr_present	1	3	0	0.0	3	0.0
vertebrate_class	Testudines	ryr_sister	1	1	0	0.0	1	0.0
