sweep	cell_or_group	db_status	n_loci
vertebrate (S5b)	ITPR1	annotated_named	186
vertebrate (S5b)	ITPR1	annotated_unnamed	94
vertebrate (S5b)	ITPR1	genome_only	121
vertebrate (S5b)	ITPR2	annotated_named	172
vertebrate (S5b)	ITPR2	annotated_unnamed	29
vertebrate (S5b)	ITPR2	genome_only	122
vertebrate (S5b)	ITPR3	annotated_named	213
vertebrate (S5b)	ITPR3	annotated_other_paralog	3
vertebrate (S5b)	ITPR3	annotated_unnamed	44
vertebrate (S5b)	ITPR3	genome_only	75
vertebrate (S5b)	RYR	annotated_named	515
vertebrate (S5b)	RYR	annotated_unnamed	239
vertebrate (S5b)	RYR	genome_only	331
non-vertebrate (S23c)	amoebozoa	annotated_named	1
non-vertebrate (S23c)	amoebozoa	annotated_unnamed	2
non-vertebrate (S23c)	amoebozoa	genome_only	3
non-vertebrate (S23c)	discoba	annotated_unnamed	10
non-vertebrate (S23c)	discoba	genome_only	1
non-vertebrate (S23c)	fungi	annotated_unnamed	4
non-vertebrate (S23c)	metazoa	annotated_named	9
non-vertebrate (S23c)	metazoa	annotated_unnamed	100
non-vertebrate (S23c)	metazoa	genome_only	47
non-vertebrate (S23c)	other	annotated_unnamed	14
non-vertebrate (S23c)	other	genome_only	6
non-vertebrate (S23c)	sar	annotated_unnamed	21
non-vertebrate (S23c)	sar	genome_only	3
non-vertebrate (S23c)	viridiplantae	annotated_unnamed	5
