contig_n50_floor	vclass	n_genomes_in_scope	n_retained	frac_of_class_retained	share_of_retained_scope
0	Actinopteri	88	88	1.0	0.2848
0	Amphibia	8	8	1.0	0.0259
0	Aves	152	152	1.0	0.4919
0	Chondrichthyes	12	12	1.0	0.0388
0	Cladistia	1	1	1.0	0.0032
0	Coelacanthimorpha	1	1	1.0	0.0032
0	Crocodylia	1	1	1.0	0.0032
0	Dipnoi	1	1	1.0	0.0032
0	Hyperoartia	1	1	1.0	0.0032
0	Lepidosauria	5	5	1.0	0.0162
0	Mammalia	37	37	1.0	0.1197
0	Myxini	1	1	1.0	0.0032
0	Testudines	1	1	1.0	0.0032
10000	Actinopteri	88	86	0.9773	0.2876
10000	Amphibia	8	8	1.0	0.0268
10000	Aves	152	145	0.9539	0.4849
10000	Chondrichthyes	12	12	1.0	0.0401
10000	Cladistia	1	1	1.0	0.0033
10000	Coelacanthimorpha	1	1	1.0	0.0033
10000	Crocodylia	1	1	1.0	0.0033
10000	Dipnoi	1	1	1.0	0.0033
10000	Hyperoartia	1	1	1.0	0.0033
10000	Lepidosauria	5	5	1.0	0.0167
10000	Mammalia	37	36	0.973	0.1204
10000	Myxini	1	1	1.0	0.0033
10000	Testudines	1	1	1.0	0.0033
20000	Actinopteri	88	79	0.8977	0.2811
20000	Amphibia	8	8	1.0	0.0285
20000	Aves	152	135	0.8882	0.4804
20000	Chondrichthyes	12	12	1.0	0.0427
20000	Cladistia	1	1	1.0	0.0036
20000	Coelacanthimorpha	1	1	1.0	0.0036
20000	Crocodylia	1	1	1.0	0.0036
20000	Dipnoi	1	1	1.0	0.0036
20000	Hyperoartia	1	1	1.0	0.0036
20000	Lepidosauria	5	5	1.0	0.0178
20000	Mammalia	37	35	0.9459	0.1246
20000	Myxini	1	1	1.0	0.0036
20000	Testudines	1	1	1.0	0.0036
50000	Actinopteri	88	78	0.8864	0.3421
50000	Amphibia	8	8	1.0	0.0351
50000	Aves	152	88	0.5789	0.386
50000	Chondrichthyes	12	12	1.0	0.0526
50000	Cladistia	1	1	1.0	0.0044
50000	Coelacanthimorpha	1	1	1.0	0.0044
50000	Crocodylia	1	1	1.0	0.0044
50000	Dipnoi	1	1	1.0	0.0044
50000	Hyperoartia	1	1	1.0	0.0044
50000	Lepidosauria	5	3	0.6	0.0132
50000	Mammalia	37	32	0.8649	0.1404
