panel	vclass	cell	n_cells	n_found	recall	delta_vs_full
amniote_only	Actinopteri	ITPR1	88	79	0.8977	0
amniote_only	Actinopteri	ITPR2	88	78	0.8864	-1
amniote_only	Actinopteri	ITPR3	88	77	0.875	-1
amniote_only	Actinopteri	RYR	88	80	0.9091	-1
amniote_only	Amphibia	ITPR1	8	7	0.875	0
amniote_only	Amphibia	ITPR2	8	7	0.875	0
amniote_only	Amphibia	ITPR3	8	7	0.875	0
amniote_only	Amphibia	RYR	8	8	1.0	0
amniote_only	Aves	ITPR1	152	115	0.7566	0
amniote_only	Aves	ITPR2	152	110	0.7237	0
amniote_only	Aves	ITPR3	152	127	0.8355	0
amniote_only	Aves	RYR	152	117	0.7697	0
amniote_only	Chondrichthyes	ITPR1	12	12	1.0	0
amniote_only	Chondrichthyes	ITPR2	12	12	1.0	0
amniote_only	Chondrichthyes	ITPR3	12	12	1.0	0
amniote_only	Chondrichthyes	RYR	12	12	1.0	0
amniote_only	Cladistia	ITPR1	1	1	1.0	0
amniote_only	Cladistia	ITPR2	1	1	1.0	0
amniote_only	Cladistia	ITPR3	1	1	1.0	0
amniote_only	Cladistia	RYR	1	1	1.0	0
amniote_only	Coelacanthimorpha	ITPR1	1	1	1.0	0
amniote_only	Coelacanthimorpha	ITPR2	1	1	1.0	0
amniote_only	Coelacanthimorpha	ITPR3	1	1	1.0	0
amniote_only	Coelacanthimorpha	RYR	1	1	1.0	0
amniote_only	Crocodylia	ITPR1	1	1	1.0	0
amniote_only	Crocodylia	ITPR2	1	1	1.0	0
amniote_only	Crocodylia	ITPR3	1	1	1.0	0
amniote_only	Crocodylia	RYR	1	1	1.0	0
amniote_only	Dipnoi	ITPR1	1	1	1.0	0
amniote_only	Dipnoi	ITPR2	1	1	1.0	0
amniote_only	Dipnoi	ITPR3	1	1	1.0	0
amniote_only	Dipnoi	RYR	1	1	1.0	0
amniote_only	Hyperoartia	ITPR1	1	1	1.0	0
amniote_only	Hyperoartia	ITPR2	1	0	0.0	0
amniote_only	Hyperoartia	ITPR3	1	0	0.0	0
amniote_only	Hyperoartia	RYR	1	1	1.0	0
amniote_only	Lepidosauria	ITPR1	5	4	0.8	0
amniote_only	Lepidosauria	ITPR2	5	3	0.6	0
amniote_only	Lepidosauria	ITPR3	5	4	0.8	0
amniote_only	Lepidosauria	RYR	5	5	1.0	0
amniote_only	Mammalia	ITPR1	37	37	1.0	0
amniote_only	Mammalia	ITPR2	37	37	1.0	0
amniote_only	Mammalia	ITPR3	37	36	0.973	0
amniote_only	Mammalia	RYR	37	37	1.0	0
amniote_only	Myxini	ITPR1	1	1	1.0	0
amniote_only	Myxini	ITPR2	1	0	0.0	0
amniote_only	Myxini	ITPR3	1	0	0.0	0
amniote_only	Myxini	RYR	1	1	1.0	0
amniote_only	Testudines	ITPR1	1	1	1.0	0
amniote_only	Testudines	ITPR2	1	1	1.0	0
amniote_only	Testudines	ITPR3	1	1	1.0	0
amniote_only	Testudines	RYR	1	1	1.0	0
basal_only	Actinopteri	ITPR1	88	0	0.0	-79
basal_only	Actinopteri	ITPR2	88	0	0.0	-79
basal_only	Actinopteri	ITPR3	88	0	0.0	-78
basal_only	Actinopteri	RYR	88	0	0.0	-81
basal_only	Amphibia	ITPR1	8	0	0.0	-7
basal_only	Amphibia	ITPR2	8	0	0.0	-7
basal_only	Amphibia	ITPR3	8	0	0.0	-7
basal_only	Amphibia	RYR	8	0	0.0	-8
basal_only	Aves	ITPR1	152	0	0.0	-115
basal_only	Aves	ITPR2	152	0	0.0	-110
basal_only	Aves	ITPR3	152	0	0.0	-127
basal_only	Aves	RYR	152	0	0.0	-117
basal_only	Chondrichthyes	ITPR1	12	0	0.0	-12
basal_only	Chondrichthyes	ITPR2	12	0	0.0	-12
basal_only	Chondrichthyes	ITPR3	12	0	0.0	-12
basal_only	Chondrichthyes	RYR	12	0	0.0	-12
basal_only	Cladistia	ITPR1	1	0	0.0	-1
basal_only	Cladistia	ITPR2	1	0	0.0	-1
basal_only	Cladistia	ITPR3	1	0	0.0	-1
basal_only	Cladistia	RYR	1	0	0.0	-1
basal_only	Coelacanthimorpha	ITPR1	1	0	0.0	-1
basal_only	Coelacanthimorpha	ITPR2	1	0	0.0	-1
basal_only	Coelacanthimorpha	ITPR3	1	0	0.0	-1
basal_only	Coelacanthimorpha	RYR	1	0	0.0	-1
basal_only	Crocodylia	ITPR1	1	0	0.0	-1
basal_only	Crocodylia	ITPR2	1	0	0.0	-1
basal_only	Crocodylia	ITPR3	1	0	0.0	-1
basal_only	Crocodylia	RYR	1	0	0.0	-1
basal_only	Dipnoi	ITPR1	1	0	0.0	-1
basal_only	Dipnoi	ITPR2	1	0	0.0	-1
basal_only	Dipnoi	ITPR3	1	0	0.0	-1
basal_only	Dipnoi	RYR	1	0	0.0	-1
basal_only	Hyperoartia	ITPR1	1	0	0.0	-1
basal_only	Hyperoartia	ITPR2	1	0	0.0	0
basal_only	Hyperoartia	ITPR3	1	0	0.0	0
basal_only	Hyperoartia	RYR	1	0	0.0	-1
basal_only	Lepidosauria	ITPR1	5	0	0.0	-4
basal_only	Lepidosauria	ITPR2	5	0	0.0	-3
basal_only	Lepidosauria	ITPR3	5	0	0.0	-4
basal_only	Lepidosauria	RYR	5	0	0.0	-5
basal_only	Mammalia	ITPR1	37	0	0.0	-37
basal_only	Mammalia	ITPR2	37	0	0.0	-37
basal_only	Mammalia	ITPR3	37	0	0.0	-36
basal_only	Mammalia	RYR	37	0	0.0	-37
basal_only	Myxini	ITPR1	1	0	0.0	-1
basal_only	Myxini	ITPR2	1	0	0.0	0
basal_only	Myxini	ITPR3	1	0	0.0	0
basal_only	Myxini	RYR	1	0	0.0	-1
basal_only	Testudines	ITPR1	1	0	0.0	-1
basal_only	Testudines	ITPR2	1	0	0.0	-1
basal_only	Testudines	ITPR3	1	0	0.0	-1
basal_only	Testudines	RYR	1	0	0.0	-1
drop_ITPR1_baits	Actinopteri	ITPR1	88	0	0.0	-79
drop_ITPR1_baits	Actinopteri	ITPR2	88	79	0.8977	0
drop_ITPR1_baits	Actinopteri	ITPR3	88	78	0.8864	0
drop_ITPR1_baits	Actinopteri	RYR	88	81	0.9205	0
drop_ITPR1_baits	Amphibia	ITPR1	8	0	0.0	-7
drop_ITPR1_baits	Amphibia	ITPR2	8	8	1.0	1
drop_ITPR1_baits	Amphibia	ITPR3	8	7	0.875	0
drop_ITPR1_baits	Amphibia	RYR	8	8	1.0	0
drop_ITPR1_baits	Aves	ITPR1	152	0	0.0	-115
drop_ITPR1_baits	Aves	ITPR2	152	129	0.8487	19
drop_ITPR1_baits	Aves	ITPR3	152	127	0.8355	0
drop_ITPR1_baits	Aves	RYR	152	117	0.7697	0
drop_ITPR1_baits	Chondrichthyes	ITPR1	12	0	0.0	-12
drop_ITPR1_baits	Chondrichthyes	ITPR2	12	12	1.0	0
drop_ITPR1_baits	Chondrichthyes	ITPR3	12	12	1.0	0
