topology	variant	event	species_node	n_gene_leaves	paralog_groups	implied_losses	gene_node_support	n_children
ml	with_cyclostome	duplication	Vertebrata	57	ITPR1+ITPR2+ITPR3+unplaced	1	100/100	2
ml	with_cyclostome	duplication	Vertebrata	53	ITPR1+ITPR2+ITPR3+unplaced	1	17.4/54	2
ml	with_cyclostome	speciation	Gnathostomata	19	ITPR1	0	100/100	2
ml	with_cyclostome	duplication	Osteichthyes	15	ITPR1	2	99.7/100	2
ml	with_cyclostome	speciation	Osteichthyes	13	ITPR1	1	47.8/95	2
ml	with_cyclostome	speciation	Tetrapoda	7	ITPR1	1	24/77	2
ml	with_cyclostome	duplication	Amniota	6	ITPR1	2	98.8/100	2
ml	with_cyclostome	speciation	Aves	2	ITPR1	1	99/100	2
ml	with_cyclostome	speciation	Amniota	4	ITPR1	4	20.8/64	2
ml	with_cyclostome	duplication	Boreoeutheria	3	ITPR1	3	99.7/100	2
ml	with_cyclostome	speciation	Boreoeutheria	2	ITPR1	3	85.6/77	2
ml	with_cyclostome	duplication	Clupeocephala	6	ITPR1	1	99.9/100	2
ml	with_cyclostome	speciation	Ostariophysi	2	ITPR1	0	100/100	2
ml	with_cyclostome	speciation	Clupeocephala	4	ITPR1	2	99.1/100	2
ml	with_cyclostome	speciation	Ostariophysi	3	ITPR1	0	100/100	2
ml	with_cyclostome	duplication	Danio_rerio	2	ITPR1	0	100/100	2
ml	with_cyclostome	duplication	Latimeria_chalumnae	2	ITPR1	0	100/100	2
ml	with_cyclostome	speciation	Chondrichthyes	4	ITPR1	0	99.3/100	2
ml	with_cyclostome	duplication	Callorhinchus_milii	2	ITPR1	0	100/100	2
ml	with_cyclostome	speciation	Elasmobranchii	2	ITPR1	1	0/67	2
ml	with_cyclostome	speciation	Vertebrata	34	ITPR2+ITPR3+unplaced	0	83.1/77	2
ml	with_cyclostome	speciation	Cyclostomata	2	unplaced	0	100/100	2
ml	with_cyclostome	duplication	Gnathostomata	32	ITPR2+ITPR3	0	100/100	2
ml	with_cyclostome	speciation	Gnathostomata	19	ITPR3	0	100/100	2
ml	with_cyclostome	speciation	Chondrichthyes	3	ITPR3	0	100/100	2
ml	with_cyclostome	speciation	Elasmobranchii	2	ITPR3	1	100/100	2
ml	with_cyclostome	duplication	Osteichthyes	16	ITPR3	2	98.2/99	2
ml	with_cyclostome	speciation	Osteichthyes	3	ITPR3	1	90/98	2
ml	with_cyclostome	speciation	Clupeocephala	2	ITPR3	3	100/100	2
ml	with_cyclostome	speciation	Tetrapoda	13	ITPR3	0	99.8/100	2
ml	with_cyclostome	speciation	Pipidae	2	ITPR3	0	100/100	2
ml	with_cyclostome	speciation	Amniota	11	ITPR3	0	99.9/100	2
ml	with_cyclostome	duplication	Boreoeutheria	5	ITPR3	2	100/100	2
ml	with_cyclostome	speciation	Muridae	2	ITPR3	0	100/100	2
ml	with_cyclostome	speciation	Boreoeutheria	3	ITPR3	2	44.5/98	2
ml	with_cyclostome	speciation	Primates	2	ITPR3	0	95.1/99	2
ml	with_cyclostome	speciation	Sauria	6	ITPR3	1	94.4/99	2
ml	with_cyclostome	speciation	Lepidosauria	2	ITPR3	2	87.5/99	2
ml	with_cyclostome	speciation	Neognathae	4	ITPR3	0	99.2/100	2
ml	with_cyclostome	speciation	Telluraves	3	ITPR3	1	75.8/100	2
ml	with_cyclostome	speciation	Passerida	2	ITPR3	0	98.6/100	2
ml	with_cyclostome	speciation	Gnathostomata	13	ITPR2	0	100/100	2
ml	with_cyclostome	speciation	Chondrichthyes	3	ITPR2	0	100/100	2
ml	with_cyclostome	speciation	Elasmobranchii	2	ITPR2	1	100/100	2
ml	with_cyclostome	speciation	Osteichthyes	10	ITPR2	1	96.7/100	2
ml	with_cyclostome	speciation	Tetrapoda	7	ITPR2	1	99.9/100	2
ml	with_cyclostome	duplication	Amniota	6	ITPR2	4	83.7/97	2
ml	with_cyclostome	speciation	Amniota	5	ITPR2	3	3/77	2
ml	with_cyclostome	speciation	Euarchontoglires	3	ITPR2	1	99.5/100	2
ml	with_cyclostome	speciation	Muridae	2	ITPR2	0	100/100	2
ml	with_cyclostome	speciation	Neognathae	2	ITPR2	2	99.8/100	2
ml	with_cyclostome	speciation	Clupeocephala	3	ITPR2	1	100/100	2
ml	with_cyclostome	speciation	Percomorphaceae	2	ITPR2	1	100/100	2
ml	with_cyclostome	duplication	Cyclostomata	4	unplaced	0	99.5/100	2
ml	with_cyclostome	speciation	Cyclostomata	2	unplaced	0	89/84	2
ml	with_cyclostome	speciation	Cyclostomata	2	unplaced	0	94.6/85	2
ml	without_cyclostome	duplication	Gnathostomata	51	ITPR1+ITPR2+ITPR3	0	17.4/54	2
ml	without_cyclostome	speciation	Gnathostomata	19	ITPR1	0	100/100	2
ml	without_cyclostome	duplication	Osteichthyes	15	ITPR1	2	99.7/100	2
ml	without_cyclostome	speciation	Osteichthyes	13	ITPR1	1	47.8/95	2
ml	without_cyclostome	speciation	Tetrapoda	7	ITPR1	1	24/77	2
ml	without_cyclostome	duplication	Amniota	6	ITPR1	2	98.8/100	2
ml	without_cyclostome	speciation	Aves	2	ITPR1	1	99/100	2
ml	without_cyclostome	speciation	Amniota	4	ITPR1	4	20.8/64	2
ml	without_cyclostome	duplication	Boreoeutheria	3	ITPR1	3	99.7/100	2
ml	without_cyclostome	speciation	Boreoeutheria	2	ITPR1	3	85.6/77	2
ml	without_cyclostome	duplication	Clupeocephala	6	ITPR1	1	99.9/100	2
ml	without_cyclostome	speciation	Ostariophysi	2	ITPR1	0	100/100	2
ml	without_cyclostome	speciation	Clupeocephala	4	ITPR1	2	99.1/100	2
ml	without_cyclostome	speciation	Ostariophysi	3	ITPR1	0	100/100	2
ml	without_cyclostome	duplication	Danio_rerio	2	ITPR1	0	100/100	2
ml	without_cyclostome	duplication	Latimeria_chalumnae	2	ITPR1	0	100/100	2
ml	without_cyclostome	speciation	Chondrichthyes	4	ITPR1	0	99.3/100	2
ml	without_cyclostome	duplication	Callorhinchus_milii	2	ITPR1	0	100/100	2
ml	without_cyclostome	speciation	Elasmobranchii	2	ITPR1	1	0/67	2
ml	without_cyclostome	duplication	Gnathostomata	32	ITPR2+ITPR3	0	100/100	2
ml	without_cyclostome	speciation	Gnathostomata	19	ITPR3	0	100/100	2
ml	without_cyclostome	speciation	Chondrichthyes	3	ITPR3	0	100/100	2
ml	without_cyclostome	speciation	Elasmobranchii	2	ITPR3	1	100/100	2
ml	without_cyclostome	duplication	Osteichthyes	16	ITPR3	2	98.2/99	2
ml	without_cyclostome	speciation	Osteichthyes	3	ITPR3	1	90/98	2
ml	without_cyclostome	speciation	Clupeocephala	2	ITPR3	3	100/100	2
ml	without_cyclostome	speciation	Tetrapoda	13	ITPR3	0	99.8/100	2
ml	without_cyclostome	speciation	Pipidae	2	ITPR3	0	100/100	2
ml	without_cyclostome	speciation	Amniota	11	ITPR3	0	99.9/100	2
ml	without_cyclostome	duplication	Boreoeutheria	5	ITPR3	2	100/100	2
ml	without_cyclostome	speciation	Muridae	2	ITPR3	0	100/100	2
ml	without_cyclostome	speciation	Boreoeutheria	3	ITPR3	2	44.5/98	2
ml	without_cyclostome	speciation	Primates	2	ITPR3	0	95.1/99	2
ml	without_cyclostome	speciation	Sauria	6	ITPR3	1	94.4/99	2
ml	without_cyclostome	speciation	Lepidosauria	2	ITPR3	2	87.5/99	2
ml	without_cyclostome	speciation	Neognathae	4	ITPR3	0	99.2/100	2
ml	without_cyclostome	speciation	Telluraves	3	ITPR3	1	75.8/100	2
ml	without_cyclostome	speciation	Passerida	2	ITPR3	0	98.6/100	2
ml	without_cyclostome	speciation	Gnathostomata	13	ITPR2	0	100/100	2
ml	without_cyclostome	speciation	Chondrichthyes	3	ITPR2	0	100/100	2
ml	without_cyclostome	speciation	Elasmobranchii	2	ITPR2	1	100/100	2
ml	without_cyclostome	speciation	Osteichthyes	10	ITPR2	1	96.7/100	2
ml	without_cyclostome	speciation	Tetrapoda	7	ITPR2	1	99.9/100	2
ml	without_cyclostome	duplication	Amniota	6	ITPR2	4	83.7/97	2
ml	without_cyclostome	speciation	Amniota	5	ITPR2	3	3/77	2
ml	without_cyclostome	speciation	Euarchontoglires	3	ITPR2	1	99.5/100	2
ml	without_cyclostome	speciation	Muridae	2	ITPR2	0	100/100	2
ml	without_cyclostome	speciation	Neognathae	2	ITPR2	2	99.8/100	2
ml	without_cyclostome	speciation	Clupeocephala	3	ITPR2	1	100/100	2
ml	without_cyclostome	speciation	Percomorphaceae	2	ITPR2	1	100/100	2
ml	support_collapsed	duplication	Vertebrata	57	ITPR1+ITPR2+ITPR3+unplaced	4	100/100	4
ml	support_collapsed	speciation	Gnathostomata	19	ITPR1	0	100/100	2
ml	support_collapsed	duplication	Osteichthyes	15	ITPR1	10	99.7/100	4
ml	support_collapsed	duplication	Amniota	6	ITPR1	8	98.8/100	3
ml	support_collapsed	speciation	Aves	2	ITPR1	1	99/100	2
ml	support_collapsed	duplication	Boreoeutheria	3	ITPR1	8	99.7/100	3
ml	support_collapsed	duplication	Clupeocephala	6	ITPR1	1	99.9/100	2
ml	support_collapsed	speciation	Ostariophysi	2	ITPR1	0	100/100	2
ml	support_collapsed	speciation	Clupeocephala	4	ITPR1	2	99.1/100	2
ml	support_collapsed	speciation	Ostariophysi	3	ITPR1	0	100/100	2
ml	support_collapsed	duplication	Danio_rerio	2	ITPR1	0	100/100	2
ml	support_collapsed	duplication	Latimeria_chalumnae	2	ITPR1	0	100/100	2
ml	support_collapsed	duplication	Chondrichthyes	4	ITPR1	6	99.3/100	3
ml	support_collapsed	duplication	Callorhinchus_milii	2	ITPR1	0	100/100	2
ml	support_collapsed	speciation	Cyclostomata	2	unplaced	0	100/100	2
ml	support_collapsed	duplication	Gnathostomata	32	ITPR2+ITPR3	0	100/100	2
ml	support_collapsed	speciation	Gnathostomata	19	ITPR3	0	100/100	2
ml	support_collapsed	speciation	Chondrichthyes	3	ITPR3	0	100/100	2
ml	support_collapsed	speciation	Elasmobranchii	2	ITPR3	1	100/100	2
ml	support_collapsed	duplication	Osteichthyes	16	ITPR3	2	98.2/99	2
ml	support_collapsed	speciation	Osteichthyes	3	ITPR3	1	90/98	2
ml	support_collapsed	speciation	Clupeocephala	2	ITPR3	3	100/100	2
ml	support_collapsed	speciation	Tetrapoda	13	ITPR3	0	99.8/100	2
ml	support_collapsed	speciation	Pipidae	2	ITPR3	0	100/100	2
ml	support_collapsed	speciation	Amniota	11	ITPR3	0	99.9/100	2
ml	support_collapsed	duplication	Boreoeutheria	5	ITPR3	6	100/100	3
ml	support_collapsed	speciation	Muridae	2	ITPR3	0	100/100	2
ml	support_collapsed	speciation	Primates	2	ITPR3	0	95.1/99	2
ml	support_collapsed	speciation	Sauria	6	ITPR3	1	94.4/99	2
ml	support_collapsed	speciation	Lepidosauria	2	ITPR3	2	87.5/99	2
ml	support_collapsed	duplication	Neognathae	4	ITPR3	6	99.2/100	3
ml	support_collapsed	speciation	Passerida	2	ITPR3	0	98.6/100	2
ml	support_collapsed	speciation	Gnathostomata	13	ITPR2	0	100/100	2
ml	support_collapsed	speciation	Chondrichthyes	3	ITPR2	0	100/100	2
ml	support_collapsed	speciation	Elasmobranchii	2	ITPR2	1	100/100	2
ml	support_collapsed	speciation	Osteichthyes	10	ITPR2	1	96.7/100	2
ml	support_collapsed	speciation	Tetrapoda	7	ITPR2	1	99.9/100	2
ml	support_collapsed	duplication	Amniota	6	ITPR2	9	83.7/97	3
ml	support_collapsed	speciation	Euarchontoglires	3	ITPR2	1	99.5/100	2
ml	support_collapsed	speciation	Muridae	2	ITPR2	0	100/100	2
ml	support_collapsed	speciation	Neognathae	2	ITPR2	2	99.8/100	2
ml	support_collapsed	speciation	Clupeocephala	3	ITPR2	1	100/100	2
ml	support_collapsed	speciation	Percomorphaceae	2	ITPR2	1	100/100	2
ml	support_collapsed	duplication	Cyclostomata	4	unplaced	4	99.5/100	4
H1_12	with_cyclostome	duplication	Vertebrata	57	ITPR1+ITPR2+ITPR3+unplaced	1		2
H1_12	with_cyclostome	duplication	Vertebrata	38	ITPR1+ITPR2+unplaced	1		2
H1_12	with_cyclostome	speciation	Vertebrata	25	ITPR1+unplaced	0		2
H1_12	with_cyclostome	speciation	Gnathostomata	19	ITPR1	0		2
H1_12	with_cyclostome	duplication	Osteichthyes	15	ITPR1	2		2
H1_12	with_cyclostome	speciation	Osteichthyes	13	ITPR1	1		2
H1_12	with_cyclostome	speciation	Tetrapoda	7	ITPR1	1		2
H1_12	with_cyclostome	duplication	Amniota	6	ITPR1	2		2
