z_along_axis	min_heavy_atom_radius
-112.76	14.244
-112.26	14.244
-111.76	14.244
-111.26	14.244
-110.76	14.244
-110.26	13.143
-109.76	10.940
-109.26	10.854
-108.76	10.854
-108.26	10.067
-107.76	10.067
-107.26	10.067
-106.76	10.067
-106.26	10.067
-105.76	10.067
-105.26	10.462
-104.76	10.462
-104.26	6.988
-103.76	6.988
-103.26	6.703
-102.76	6.703
-102.26	6.703
-101.76	6.703
-101.26	6.703
-100.76	6.703
-100.26	9.396
-99.76	9.396
-99.26	9.396
-98.76	9.396
-98.26	9.396
-97.76	10.246
-97.26	10.246
-96.76	8.984
-96.26	8.984
-95.76	8.984
-95.26	8.984
-94.76	8.916
-94.26	8.916
-93.76	7.670
-93.26	7.670
-92.76	6.854
-92.26	6.854
-91.76	6.426
-91.26	6.426
-90.76	6.426
-90.26	6.426
-89.76	5.057
-89.26	5.057
-88.76	5.057
-88.26	5.057
-87.76	5.057
-87.26	5.057
-86.76	5.326
-86.26	5.326
-85.76	5.326
-85.26	5.326
-84.76	5.326
-84.26	8.392
-83.76	8.392
-83.26	8.392
-82.76	8.392
-82.26	7.864
-81.76	7.864
-81.26	7.864
-80.76	7.864
-80.26	7.864
-79.76	7.864
-79.26	8.005
-78.76	8.005
-78.26	5.850
-77.76	5.850
-77.26	5.850
-76.76	5.687
-76.26	4.559
-75.76	4.559
-75.26	4.559
-74.76	4.559
-74.26	4.559
-73.76	3.470
-73.26	2.724
-72.76	2.724
-72.26	2.724
-71.76	2.724
-71.26	2.724
-70.76	2.724
-70.26	3.695
-69.76	2.524
-69.26	2.524
-68.76	2.524
-68.26	2.524
-67.76	2.524
-67.26	2.524
-66.76	2.600
-66.26	2.600
-65.76	2.600
-65.26	2.600
-64.76	2.600
-64.26	2.600
-63.76	4.964
-63.26	4.964
-62.76	4.964
-62.26	4.964
-61.76	6.238
-61.26	6.625
-60.76	4.788
-60.26	4.788
-59.76	4.788
-59.26	4.638
-58.76	4.638
-58.26	4.638
-57.76	4.638
-57.26	4.638
-56.76	4.638
-56.26	5.825
-55.76	5.914
-55.26	5.914
-54.76	5.914
-54.26	6.878
-53.76	6.507
-53.26	6.507
-52.76	6.507
-52.26	6.507
-51.76	6.507
-51.26	6.507
-50.76	8.134
-50.26	8.154
-49.76	9.167
-49.26	9.281
-48.76	9.281
-48.26	9.281
-47.76	9.281
-47.26	9.281
-46.76	9.281
-46.26	10.027
-45.76	10.563
-45.26	10.563
-44.76	10.063
-44.26	9.141
-43.76	9.141
-43.26	9.141
-42.76	9.141
-42.26	9.141
-41.76	9.141
-41.26	12.834
