group	clade	profile_call	targets	found_by_single_pass	iteration_only	d10_verdict	supports_completeness
metazoa_nonvert	Arthropoda	RYR	451	451	0	K3	0
metazoa_nonvert	Arthropoda	ITPR	437	437	0	K3	0
metazoa_nonvert	Nematoda	RYR	312	312	0	K3	0
metazoa_nonvert	Nematoda	ITPR	212	212	0	K3	0
metazoa_nonvert	Mollusca	ITPR	196	196	0	K3	0
metazoa_nonvert	Arthropoda	not called by the single pass	194	0	194	K3	0
metazoa_nonvert	Arthropoda	unassigned	136	136	0	K3	0
metazoa_nonvert	Nematoda	unassigned	135	135	0	K3	0
metazoa_nonvert	Platyhelminthes	ITPR	127	127	0	K3	0
metazoa_nonvert	Platyhelminthes	RYR	101	101	0	K3	0
metazoa_nonvert	Platyhelminthes	unassigned	82	82	0	K3	0
metazoa_nonvert	Annelida	ITPR	57	57	0	K3	0
metazoa_nonvert	Rotifera	RYR	47	47	0	K3	0
metazoa_nonvert	Porifera	ITPR	42	42	0	K3	0
metazoa_nonvert	Mollusca	unassigned	41	41	0	K3	0
metazoa_nonvert	Rotifera	ITPR	40	40	0	K3	0
metazoa_nonvert	Mollusca	RYR	38	38	0	K3	0
metazoa_nonvert	Rotifera	unassigned	33	33	0	K3	0
metazoa_nonvert	Mollusca	not called by the single pass	26	0	26	K3	0
metazoa_nonvert	Cnidaria	ITPR	23	23	0	K3	0
metazoa_nonvert	Annelida	unassigned	15	15	0	K3	0
metazoa_nonvert	Chordata	ITPR	14	14	0	K3	0
metazoa_nonvert	Annelida	RYR	14	14	0	K3	0
metazoa_nonvert	Echinodermata	RYR	12	12	0	K3	0
metazoa_nonvert	Bryozoa	ITPR	11	11	0	K3	0
metazoa_nonvert	Nematoda	not called by the single pass	11	0	11	K3	0
metazoa_nonvert	Chordata	RYR	8	8	0	K3	0
metazoa_nonvert	Porifera	not called by the single pass	7	0	7	K3	0
metazoa_nonvert	Brachiopoda	ITPR	7	7	0	K3	0
metazoa_nonvert	Echinodermata	ITPR	7	7	0	K3	0
metazoa_nonvert	Porifera	RYR	6	6	0	K3	0
metazoa_nonvert	Bryozoa	unassigned	6	6	0	K3	0
metazoa_nonvert	Orthonectida	ITPR	6	6	0	K3	0
metazoa_nonvert	Tardigrada	RYR	5	5	0	K3	0
metazoa_nonvert	Hemichordata	ITPR	5	5	0	K3	0
metazoa_nonvert	Chordata	not called by the single pass	4	0	4	K3	0
metazoa_nonvert	Brachiopoda	RYR	3	3	0	K3	0
