rank	clade	swept	pfam	label	frac	with_hit	median_len	n_candidates	why
class	Magnoliopsida	367	PF00063	Myosin_head	0.9745	344	1508	5	Myosin_head (PF00063) is in 344/353 of the clade's swept proteomes (97%), median 1508 aa; runners-up PF02463 99%, PF00122 100%, PF00225 100%, PF02815 1%
class	Sordariomycetes	355	PF00063	Myosin_head	1.0000	350	1711	5	Myosin_head (PF00063) is in 350/350 of the clade's swept proteomes (100%), median 1711 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Eurotiomycetes	235	PF00063	Myosin_head	0.9957	233	1574	5	Myosin_head (PF00063) is in 233/234 of the clade's swept proteomes (100%), median 1574 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Agaricomycetes	194	PF00063	Myosin_head	0.9634	184	1897	5	Myosin_head (PF00063) is in 184/191 of the clade's swept proteomes (96%), median 1897 aa; runners-up PF02463 98%, PF00122 98%, PF00225 97%, PF02815 97%
class	Dothideomycetes	176	PF00063	Myosin_head	0.9942	171	1843	5	Myosin_head (PF00063) is in 171/172 of the clade's swept proteomes (99%), median 1843 aa; runners-up PF02463 99%, PF00122 99%, PF00225 100%, PF02815 99%
class	Pichiomycetes	69	PF00063	Myosin_head	0.9848	65	1548	5	Myosin_head (PF00063) is in 65/66 of the clade's swept proteomes (98%), median 1548 aa; runners-up PF02463 100%, PF00122 100%, PF02815 100%, PF00225 100%
class	Leotiomycetes	64	PF00063	Myosin_head	1.0000	64	1591	5	Myosin_head (PF00063) is in 64/64 of the clade's swept proteomes (100%), median 1591 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 98%
class	Saccharomycetes	61	PF00063	Myosin_head	1.0000	59	1558	5	Myosin_head (PF00063) is in 59/59 of the clade's swept proteomes (100%), median 1558 aa; runners-up PF02463 100%, PF00122 100%, PF02815 100%, PF00225 100%
class	Tremellomycetes	44	PF00063	Myosin_head	1.0000	44	1643	5	Myosin_head (PF00063) is in 44/44 of the clade's swept proteomes (100%), median 1643 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Aconoidasida	36	PF00063	Myosin_head	1.0000	36	1415	4	Myosin_head (PF00063) is in 36/36 of the clade's swept proteomes (100%), median 1415 aa; runners-up PF00122 100%, PF00225 97%, PF02463 100%
class	Glomeromycetes	27	PF00063	Myosin_head	0.9583	23	1565	5	Myosin_head (PF00063) is in 23/24 of the clade's swept proteomes (96%), median 1565 aa; runners-up PF02463 92%, PF00122 100%, PF00225 100%, PF02815 96%
class	Conoidasida	24	PF00063	Myosin_head	1.0000	23	1476	4	Myosin_head (PF00063) is in 23/23 of the clade's swept proteomes (100%), median 1476 aa; runners-up PF00122 100%, PF02463 100%, PF00225 100%
class	Kickxellomycetes	23	PF00063	Myosin_head	1.0000	22	1673	5	Myosin_head (PF00063) is in 22/22 of the clade's swept proteomes (100%), median 1673 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Trebouxiophyceae	19	PF00063	Myosin_head	1.0000	17	1648	5	Myosin_head (PF00063) is in 17/17 of the clade's swept proteomes (100%), median 1648 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 24%
class	Mortierellomycetes	18	PF00063	Myosin_head	0.9412	16	1618	5	Myosin_head (PF00063) is in 16/17 of the clade's swept proteomes (94%), median 1618 aa; runners-up PF02463 100%, PF00225 94%, PF00122 100%, PF02815 100%
class	Ustilaginomycetes	16	PF00063	Myosin_head	1.0000	15	1626	5	Myosin_head (PF00063) is in 15/15 of the clade's swept proteomes (100%), median 1626 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Malasseziomycetes	16	PF00063	Myosin_head	1.0000	16	1511	5	Myosin_head (PF00063) is in 16/16 of the clade's swept proteomes (100%), median 1511 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Exobasidiomycetes	15	PF00063	Myosin_head	1.0000	14	1692	5	Myosin_head (PF00063) is in 14/14 of the clade's swept proteomes (100%), median 1692 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Pucciniomycetes	14	PF00063	Myosin_head	1.0000	13	1718	5	Myosin_head (PF00063) is in 13/13 of the clade's swept proteomes (100%), median 1718 aa; runners-up PF02463 100%, PF00225 100%, PF00122 100%, PF02815 100%
class	Microbotryomycetes	13	PF00063	Myosin_head	1.0000	13	1647	5	Myosin_head (PF00063) is in 13/13 of the clade's swept proteomes (100%), median 1647 aa; runners-up PF02463 100%, PF00225 100%, PF00122 100%, PF02815 100%
class	Lecanoromycetes	13	PF00063	Myosin_head	1.0000	13	1871	5	Myosin_head (PF00063) is in 13/13 of the clade's swept proteomes (100%), median 1871 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Pezizomycetes	12	PF00063	Myosin_head	1.0000	12	1603	5	Myosin_head (PF00063) is in 12/12 of the clade's swept proteomes (100%), median 1603 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
class	Orbiliomycetes	12	PF00063	Myosin_head	1.0000	12	1817	5	Myosin_head (PF00063) is in 12/12 of the clade's swept proteomes (100%), median 1817 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 92%
class	Cestoda	11	PF00063	Myosin_head	1.0000	11	1627	5	Myosin_head (PF00063) is in 11/11 of the clade's swept proteomes (100%), median 1627 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 27%
class	Lipomycetes	10	PF00063	Myosin_head	1.0000	9	1419	5	Myosin_head (PF00063) is in 9/9 of the clade's swept proteomes (100%), median 1419 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 100%
phylum	Microsporidia	29	PF00063	Myosin_head	0.8621	25	1405	5	Myosin_head (PF00063) is in 25/29 of the clade's swept proteomes (86%), median 1405 aa; runners-up PF02463 100%, PF00122 100%, PF02815 76%, PF00225 100%
phylum	Bacillariophyta	16	PF00063	Myosin_head	1.0000	16	1213	5	Myosin_head (PF00063) is in 16/16 of the clade's swept proteomes (100%), median 1213 aa; runners-up PF02463 100%, PF00122 100%, PF00225 100%, PF02815 62%
phylum	Rhodophyta	12	PF02463	SMC_N	1.0000	12	1186	4	SMC_N (PF02463) is in 12/12 of the clade's swept proteomes (100%), median 1186 aa; runners-up PF00122 100%, PF00225 100%, PF00063 8%
