rank	clade	swept_proteomes	genomes_in_manifest
phylum	Ascomycota	1034	1
phylum	Streptophyta	384	1
phylum	Basidiomycota	319	1
phylum	Apicomplexa	60	1
phylum	Kickxellomycota	35	1
phylum	Microsporidia	29	1
phylum	Glomeromycota	27	1
phylum	Mortierellomycota	18	1
phylum	Bacillariophyta	16	1
phylum	Rhodophyta	12	1
class	Magnoliopsida	367	1
class	Sordariomycetes	355	1
class	Eurotiomycetes	235	1
class	Agaricomycetes	194	1
class	Dothideomycetes	176	1
class	Pichiomycetes	69	1
class	Leotiomycetes	64	1
class	Saccharomycetes	61	1
class	Tremellomycetes	44	1
class	Aconoidasida	36	1
class	Glomeromycetes	27	1
class	Conoidasida	24	1
class	Kickxellomycetes	23	1
class	Trebouxiophyceae	19	1
class	Mortierellomycetes	18	1
class	Ustilaginomycetes	16	1
class	Malasseziomycetes	16	1
class	Exobasidiomycetes	15	1
class	Pucciniomycetes	14	1
class	Microbotryomycetes	13	1
class	Lecanoromycetes	13	1
class	Pezizomycetes	12	1
class	Orbiliomycetes	12	1
class	Cestoda	11	1
class	Lipomycetes	10	1
