accession	organism	vclass	vorder	contig_spans_gene	cell	n_copies	n_contigs	same_contig	copy_id	contig	start	end	strand	coverage	identity	integrity	bait	annot_gene
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	0	RYR	3	3	0	GCA_002197005.1#RYR#copy1	CM008011.1	60192955	60333350	-	1.0	0.7407	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	0	RYR	3	3	0	GCA_002197005.1#RYR#copy2	CM008019.1	88509295	89000828	-	0.9968	0.6313	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	0	RYR	3	3	0	GCA_002197005.1#RYR#copy3	CM008022.1	12245616	13191845	+	0.9974	0.8775	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	0	RYR	2	2	0	GCA_002844005.1#RYR#copy1	KZ505650.1	1556943	1978394	+	1.0	0.9845	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	0	RYR	2	2	0	GCA_002844005.1#RYR#copy2	KZ505716.1	586247	805857	-	1.0	0.6774	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	llap_3383
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	0	RYR	3	3	0	GCA_003113815.1#RYR#copy1	QEPC01001878.1	319223	437986	-	0.9968	0.738	lesion_rich	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	0	RYR	3	3	0	GCA_003113815.1#RYR#copy2	QEPC01010682.1	4003349	5346596	+	0.996	0.9493	intact	A0A3Q0HBW9|RYR|Alligator_sinensis	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	0	RYR	3	3	0	GCA_003113815.1#RYR#copy3	QEPC01010852.1	1631536	2749155	+	1.0	0.6711	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	0	RYR	2	2	0	GCA_006937325.1#RYR#copy1	SZQC01000017.1	7191534	7297088	-	0.5473	0.6358	intact	A0A3Q0HBW9|RYR|Alligator_sinensis	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	0	RYR	2	2	0	GCA_006937325.1#RYR#copy2	SZQC01000381.1	3437	371350	-	0.7081	0.9043	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	0	RYR	3	3	0	GCA_007760645.1#RYR#copy1	RWJT01001056.1	140403	872842	+	1.0	0.9763	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	0	RYR	3	3	0	GCA_007760645.1#RYR#copy2	RWJT01018246.1	1472992	2023843	-	0.9968	0.6653	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	0	RYR	3	3	0	GCA_007760645.1#RYR#copy3	RWJT01019646.1	7646897	7772846	-	1.0	0.7861	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
