group	upid	organism	taxid	itpr_status	itpr_key	n_itpr	n_pi_plc	plc_status
metazoa_nonvert	UP000000803	Drosophila melanogaster (Fruit fly)	7227	present	proteome	1	3	present
metazoa_nonvert	UP000001940	Caenorhabditis elegans	6239	present	proteome	1	6	present
metazoa_nonvert	UP000008549	Caenorhabditis briggsae	6238	present	proteome	1	6	present
metazoa_nonvert	UP000069940	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	present	proteome	1	4	present
metazoa_nonvert	UP000000304	Drosophila simulans (Fruit fly)	7240	present	proteome	1	1	present
metazoa_nonvert	UP000000305	Daphnia pulex (Water flea)	6669	present	proteome	25	10	present
metazoa_nonvert	UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	present	proteome	1	5	present
metazoa_nonvert	UP000000673	Anopheles darlingi (Mosquito)	43151	present	proteome	1	4	present
metazoa_nonvert	UP000001070	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	present	proteome	1	3	present
metazoa_nonvert	UP000001292	Drosophila sechellia (Fruit fly)	7238	present	proteome	5	2	present
metazoa_nonvert	UP000001307	Oikopleura dioica (Tunicate)	34765	present	proteome	1	5	present
metazoa_nonvert	UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	present	proteome	2	7	present
metazoa_nonvert	UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	present	proteome	2	6	present
metazoa_nonvert	UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	present	proteome	1	3	present
metazoa_nonvert	UP000002282	Drosophila yakuba (Fruit fly)	7245	present	proteome	2	3	present
metazoa_nonvert	UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	present	proteome	3	4	present
metazoa_nonvert	UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	present	proteome	1	5	present
metazoa_nonvert	UP000005203	Apis mellifera (Honeybee)	7460	absent	proteome	0	5	present
metazoa_nonvert	UP000005204	Bombyx mori (Silk moth)	7091	present	proteome	1	4	present
metazoa_nonvert	UP000005205	Atta cephalotes (Leafcutter ant)	12957	present	proteome	1	5	present
metazoa_nonvert	UP000005237	Caenorhabditis japonica	281687	present	proteome	1	4	present
metazoa_nonvert	UP000005239	Pristionchus pacificus (Parasitic nematode worm)	54126	present	proteome	1	8	present
metazoa_nonvert	UP000005408	Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	present	proteome	5	5	present
metazoa_nonvert	UP000006672	Brugia malayi (Filarial nematode worm)	6279	present	proteome	1	8	present
metazoa_nonvert	UP000007062	Anopheles gambiae (African malaria mosquito)	7165	present	proteome	1	4	present
metazoa_nonvert	UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	present	proteome	1	7	present
metazoa_nonvert	UP000007151	Danaus plexippus plexippus	278856	present	proteome	1	2	present
metazoa_nonvert	UP000007266	Tribolium castaneum (Red flour beetle)	7070	present	proteome	1	4	present
metazoa_nonvert	UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	present	proteome	1	5	present
metazoa_nonvert	UP000007798	Drosophila willistoni (Fruit fly)	7260	present	proteome	1	3	present
metazoa_nonvert	UP000007801	Drosophila ananassae (Fruit fly)	7217	present	proteome	1	3	present
metazoa_nonvert	UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	present	proteome	1	3	present
metazoa_nonvert	UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	present	proteome	1	3	present
metazoa_nonvert	UP000007879	Amphimedon queenslandica (Sponge)	400682	present	proteome	37	4	present
metazoa_nonvert	UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	present	proteome	2	8	present
metazoa_nonvert	UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	present	proteome	2	5	present
metazoa_nonvert	UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	present	proteome	1	4	present
metazoa_nonvert	UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	present	proteome	2	5	present
metazoa_nonvert	UP000008711	Drosophila erecta (Fruit fly)	7220	present	proteome	1	3	present
metazoa_nonvert	UP000008744	Drosophila persimilis (Fruit fly)	7234	present	proteome	2	2	present
metazoa_nonvert	UP000008792	Drosophila virilis (Fruit fly)	7244	present	proteome	1	3	present
metazoa_nonvert	UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	present	proteome	1	4	present
metazoa_nonvert	UP000008854	Schistosoma mansoni (Blood fluke)	6183	present	proteome	1	2	present
metazoa_nonvert	UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	present	proteome	1	1	present
metazoa_nonvert	UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	present	proteome	3	2	present
metazoa_nonvert	UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	present	proteome	1	3	present
metazoa_nonvert	UP000009192	Drosophila mojavensis (Fruit fly)	7230	present	proteome	1	3	present
metazoa_nonvert	UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	present	proteome	1	6	present
metazoa_nonvert	UP000014760	Capitella teleta (Polychaete worm)	283909	present	proteome	8	9	present
metazoa_nonvert	UP000015101	Helobdella robusta (Californian leech)	6412	present	proteome	10	8	present
metazoa_nonvert	UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	present	proteome	4	0	absent
metazoa_nonvert	UP000015103	Rhodnius prolixus (Triatomid bug)	13249	present	proteome	1	3	present
metazoa_nonvert	UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	present	proteome	1	6	present
metazoa_nonvert	UP000017246	Echinococcus multilocularis (Fox tapeworm)	6211	absent	proteome	0	1	present
metazoa_nonvert	UP000019118	Dendroctonus ponderosae (Mountain pine beetle)	77166	present	proteome	1	7	present
metazoa_nonvert	UP000019149	Echinococcus granulosus (Hydatid tapeworm)	6210	absent	proteome	0	1	present
metazoa_nonvert	UP000024404	Onchocerca volvulus	6282	present	proteome	1	7	present
metazoa_nonvert	UP000024635	Ancylostoma ceylanicum	53326	present	proteome	2	4	present
metazoa_nonvert	UP000025227	Haemonchus contortus (Barber pole worm)	6289	present	proteome	1	5	present
metazoa_nonvert	UP000027135	Zootermopsis nevadensis (Dampwood termite)	136037	absent	proteome	0	6	present
metazoa_nonvert	UP000030665	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	present	proteome	1	3	present
metazoa_nonvert	UP000030746	Lottia gigantea (Giant owl limpet)	225164	present	proteome	4	5	present
metazoa_nonvert	UP000030764	Trichuris suis (pig whipworm)	68888	absent	proteome	0	2	present
metazoa_nonvert	UP000030765	Anopheles sinensis (Mosquito)	74873	present	proteome	1	4	present
metazoa_nonvert	UP000031036	Toxocara canis (Canine roundworm)	6265	present	proteome	1	8	present
metazoa_nonvert	UP000035642	Angiostrongylus cantonensis (Rat lungworm)	6313	present	proteome	5	1	present
metazoa_nonvert	UP000035680	Strongyloides venezuelensis (Threadworm)	75913	present	proteome	1	7	present
metazoa_nonvert	UP000035681	Strongyloides stercoralis (Threadworm)	6248	present	proteome	1	9	present
metazoa_nonvert	UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	present	proteome	1	7	present
metazoa_nonvert	UP000036403	Lasius niger (Black garden ant)	67767	present	proteome	2	3	present
metazoa_nonvert	UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	present	proteome	1	2	present
metazoa_nonvert	UP000037510	Operophtera brumata (Winter moth) (Phalaena brumata)	104452	present	proteome	1	2	present
metazoa_nonvert	UP000038045	Parastrongyloides trichosuri (Possum-specific nematode worm)	131310	present	proteome	1	7	present
metazoa_nonvert	UP000046392	Strongyloides papillosus (Intestinal threadworm)	174720	present	proteome	1	7	present
metazoa_nonvert	UP000046393	Syphacia muris	451379	present	proteome	1	6	present
metazoa_nonvert	UP000046395	Trichuris muris (Mouse whipworm)	70415	present	proteome	1	3	present
metazoa_nonvert	UP000050640	Elaeophora elaphi	1147741	present	proteome	1	7	present
