panel	description	n_baits	n_itpr_cells	n_itpr_found	itpr_recall	delta_vs_full	n_lost	n_gained	n_ryr_found	n_ryr_cells
drop_bird	no bird bait	31	927	785	0.8468	2	0	2	267	309
full38	the panel as run (S5b)	38	927	783	0.8447	0	0	0	267	309
labelled_only	no unlabelled `vertebrate_basal` bait — the gar, chimaera and lamprey seeds that carry no paralog assignment	35	927	783	0.8447	0	0	0	267	309
no_ryr_control	the ITPR baits alone, no sister control	30	927	783	0.8447	0	0	0	0	309
drop_amphibian	no amphibian bait	34	927	783	0.8447	0	0	0	267	309
drop_cartilaginous_fish	no cartilaginous fish bait	35	927	783	0.8447	0	0	0	267	309
drop_cyclostome	no cyclostome bait	36	927	783	0.8447	0	0	0	267	309
drop_mammal	no mammal bait	31	927	783	0.8447	0	0	0	267	309
drop_reptile	no reptile bait	34	927	783	0.8447	0	0	0	267	309
s3_seeds_only	the S3 seed set alone, before S5a's additions	25	927	782	0.8436	-1	1	0	267	309
human_only	the human baits alone	4	927	782	0.8436	-1	3	2	266	309
drop_ray_finned_fish	no ray-finned fish bait	30	927	782	0.8436	-1	1	0	267	309
drop_lobe_finned_fish	no lobe-finned fish bait	35	927	782	0.8436	-1	1	0	267	309
one_per_cell_nonhuman	one non-human bait per cell — the longest of each	4	927	782	0.8436	-1	1	0	267	309
amniote_only	mammal + bird + reptile baits only — a tetrapod-centric panel	18	927	781	0.8425	-2	2	0	266	309
drop_ITPR1_baits	no bait labelled ITPR1 — can the other paralogs' baits and the unlabelled ones still place its gene?	29	927	545	0.5879	-238	261	23	267	309
drop_ITPR2_baits	no bait labelled ITPR2 — can the other paralogs' baits and the unlabelled ones still place its gene?	30	927	543	0.5858	-240	253	13	267	309
drop_ITPR3_baits	no bait labelled ITPR3 — can the other paralogs' baits and the unlabelled ones still place its gene?	28	927	542	0.5847	-241	269	28	267	309
basal_only	only the three unlabelled baits	3	927	0	0.0	-783	783	0	0	309
