label	organism	vclass	cell	truth	call	best	best_score	margin	n_keys	score_ITPR1	score_ITPR2	score_ITPR3
Alca_torda|GCA_008658365.1|ITPR1.0	Alca torda	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Alligator_mississippiensis|GCF_030867095.1|ITPR1.0	Alligator mississippiensis	Crocodylia	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Ameca_splendens|GCA_040091285.1|ITPR1.0	Ameca splendens	Actinopteri	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Amia_ocellicauda|GCF_036373705.1|ITPR1.0	Amia ocellicauda	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	7	7	20	7	0	0
Anas_platyrhynchos|GCF_047663525.1|ITPR1.0	Anas platyrhynchos	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Antennarius_striatus|GCF_040054535.1|ITPR1.0	Antennarius striatus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Aphelocoma_coerulescens|GCF_041296385.2|ITPR1.0	Aphelocoma coerulescens	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	20	13	0	0
Aptenodytes_forsteri|GCF_000699145.1|ITPR1.0	Aptenodytes forsteri	Aves	ITPR1	ITPR1	ITPR1	ITPR1	13	13	17	13	0	0
Aptenodytes_patagonicus|GCF_965638725.1|ITPR1.0	Aptenodytes patagonicus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Apteryx_mantelli|GCF_036417845.1|ITPR1.0	Apteryx mantelli	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Apus_apus|GCF_020740795.1|ITPR1.0	Apus apus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Ataeniobius_toweri|GCA_036250305.1|ITPR1.0	Ataeniobius toweri	Actinopteri	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Balearica_regulorum_gibbericeps|GCF_011004875.1|ITPR1.0	Balearica regulorum gibbericeps	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Bombina_bombina|GCF_027579735.1|ITPR1.0	Bombina bombina	Amphibia	ITPR1	ITPR1	ITPR1	ITPR1	6	6	20	6	0	0
Borostomias_antarcticus|GCF_949987555.1|ITPR1.0	Borostomias antarcticus	Actinopteri	ITPR1	ITPR1	ITPR1	ITPR1	1	1	20	1	0	0
Bucorvus_abyssinicus|GCA_009769605.1|ITPR1.0	Bucorvus abyssinicus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Callorhinchus_milii|GCF_018977255.1|ITPR1.0	Callorhinchus milii	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	6	6	20	6	0	0
Caloenas_nicobarica|GCF_036013445.1|ITPR1.0	Caloenas nicobarica	Aves	ITPR1	ITPR1	ITPR1	ITPR1	9	9	20	9	0	0
Calonectris_borealis|GCF_964195595.1|ITPR1.0	Calonectris borealis	Aves	ITPR1	ITPR1	ITPR1	ITPR1	12	12	20	12	0	0
Calypte_anna|GCF_003957555.1|ITPR1.0	Calypte anna	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Caprimulgus_europaeus|GCF_907165065.1|ITPR1.0	Caprimulgus europaeus	Aves	ITPR1	ITPR1	ITPR1	ITPR1	14	14	20	14	0	0
Carcharodon_carcharias|GCF_017639515.1|ITPR1.0	Carcharodon carcharias	Chondrichthyes	ITPR1	ITPR1	ITPR1	ITPR1	11	11	20	11	0	0
Cariama_cristata|GCF_000690535.1|ITPR1.0	Cariama cristata	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
Ceyx_cyanopectus|GCA_013401355.1|ITPR1.0	Ceyx cyanopectus	Aves	ITPR1	ITPR1	no_call		0	0	0	0	0	0
