upid	organism	taxid	group	kingdom	phylum	class	order	n_itpr	accession	protein_count	seq_length	n_pi_plc	n_plc_x	n_plc_y	plc_status	core_n_ref	core_n_covered	core_coverage	core_identity	pore_n_ref	pore_n_covered	pore_coverage	pore_identity	delta_core_minus_pore	in_test	drop_reason
UP000000803	Drosophila melanogaster (Fruit fly)	7227	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	P29993	21947	2837	3	3	3	present	304	304	1.0	0.5493	238	238	1.0	0.6261	-0.0768	True	
UP000001940	Caenorhabditis elegans	6239	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	Q9Y0A1	26629	2892	6	6	6	present	304	302	0.9934	0.4272	238	237	0.9958	0.5063	-0.0791	True	
UP000008549	Caenorhabditis briggsae	6238	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	H8WGV2	21744	2921	6	6	6	present	304	304	1.0	0.4243	238	237	0.9958	0.4852	-0.0609	True	
UP000069940	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0ABM1Y6G0	26331	2995	4	4	4	present	304	292	0.9605	0.5616	238	238	1.0	0.5966	-0.035	True	
UP000000304	Drosophila simulans (Fruit fly)	7240	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	B4QWW9	15361	2837	1	2	2	present	304	304	1.0	0.5526	238	238	1.0	0.6303	-0.0777	True	
UP000000305	Daphnia pulex (Water flea)	6669	metazoa_nonvert	Metazoa	Arthropoda	Branchiopoda	Diplostraca	25	E9H9P2	30137	2510	10	12	12	present	304	293	0.9638	0.6109	238	226	0.9496	0.6106	0.0003	True	
UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	E1ZY22	14787	2711	5	5	5	present	304	291	0.9572	0.5911	238	220	0.9244	0.6091	-0.018	True	
UP000000673	Anopheles darlingi (Mosquito)	43151	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	W5JDA7	10595	3041	4	4	4	present	304	291	0.9572	0.5773	238	238	1.0	0.6134	-0.0361	True	
UP000001070	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	B4JHU9	14754	2865	3	3	3	present	304	302	0.9934	0.5497	238	238	1.0	0.6261	-0.0764	True	
UP000001292	Drosophila sechellia (Fruit fly)	7238	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	5	B4IMT1	16129	1472	2	2	3	present	304	0	0.0		238	146	0.6134	0.5616		False	core coverage below 0.5
UP000001307	Oikopleura dioica (Tunicate)	34765	metazoa_nonvert	Metazoa	Chordata	Appendicularia	Copelata	1	E4XJL0	17050	2761	5	5	5	present	304	296	0.9737	0.4662	238	236	0.9916	0.5127	-0.0465	True	
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	metazoa_nonvert	Metazoa	Chordata	Leptocardii	Amphioxiformes	2	A0A9J7MRS8	38650	2960	7	9	9	present	304	292	0.9605	0.6541	238	238	1.0	0.6176	0.0365	True	
UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	metazoa_nonvert	Metazoa	Cnidaria	Anthozoa	Actiniaria	2	A7SEK1	24435	2623	6	9	8	present	304	290	0.9539	0.6759	238	238	1.0	0.6387	0.0372	True	
UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A6I8VBI6	23331	2864	3	3	3	present	304	302	0.9934	0.5497	238	238	1.0	0.6261	-0.0764	True	
UP000002282	Drosophila yakuba (Fruit fly)	7245	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	B4PVB2	20727	2840	3	3	3	present	304	302	0.9934	0.5662	238	238	1.0	0.6303	-0.0641	True	
UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	3	B0WY86	18868	1729	4	4	4	present	304	11	0.0362	0.7273	238	238	1.0	0.605		False	core coverage below 0.5
UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A7M7Q941	24858	2888	5	5	5	present	304	287	0.9441	0.6167	238	238	1.0	0.605	0.0117	True	
UP000005204	Bombyx mori (Silk moth)	7091	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A8R2M816	23640	2750	4	4	4	present	304	286	0.9408	0.5804	238	238	1.0	0.5714	0.009	True	
UP000005205	Atta cephalotes (Leafcutter ant)	12957	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A158NQV4	10634	2646	5	5	5	present	304	290	0.9539	0.6069	238	238	1.0	0.6345	-0.0276	True	
UP000005237	Caenorhabditis japonica	281687	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A8R1DSV6	35024	2916	4	8	7	present	304	303	0.9967	0.429	238	236	0.9916	0.4958	-0.0668	True	
UP000005239	Pristionchus pacificus (Parasitic nematode worm)	54126	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A2A6BHW5	26122	3136	8	8	8	present	304	290	0.9539	0.4379	238	195	0.8193	0.5333	-0.0954	True	
UP000005408	Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	metazoa_nonvert	Metazoa	Mollusca	Bivalvia	Ostreida	5	A0A8W8LY42	57874	2140	5	5	5	present	304	0	0.0		238	238	1.0	0.584		False	core coverage below 0.5
UP000006672	Brugia malayi (Filarial nematode worm)	6279	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A0H5S2G8	15168	2850	8	9	9	present	304	284	0.9342	0.4472	238	237	0.9958	0.5063	-0.0591	True	
UP000007062	Anopheles gambiae (African malaria mosquito)	7165	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A1S4GS95	14559	3101	4	4	4	present	304	291	0.9572	0.5704	238	238	1.0	0.6092	-0.0388	True	
UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	metazoa_nonvert	Metazoa	Echinodermata	Echinoidea	Camarodonta	1	A0A7M7MY00	34417	2820	7	7	7	present	304	290	0.9539	0.6276	238	238	1.0	0.5966	0.031	True	
UP000007151	Danaus plexippus plexippus	278856	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A212FL15	15140	2580	2	2	2	present	304	290	0.9539	0.5724	238	238	1.0	0.5714	0.001	True	
UP000007266	Tribolium castaneum (Red flour beetle)	7070	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	1	D6W7E2	18505	2733	4	4	4	present	304	294	0.9671	0.5714	238	237	0.9958	0.6203	-0.0489	True	
UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	F4WB91	13962	2848	5	5	5	present	304	291	0.9572	0.6048	238	238	1.0	0.6345	-0.0297	True	
UP000007798	Drosophila willistoni (Fruit fly)	7260	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	B4MUL1	14806	2843	3	4	3	present	304	304	1.0	0.5362	238	238	1.0	0.6387	-0.1025	True	
UP000007801	Drosophila ananassae (Fruit fly)	7217	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	B3LZ38	19362	2838	3	3	3	present	304	304	1.0	0.5559	238	238	1.0	0.6345	-0.0786	True	
UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A8R2B851	23442	3831	3	4	4	present	304	293	0.9638	0.6075	238	238	1.0	0.6387	-0.0312	True	
UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	metazoa_nonvert	Metazoa	Chordata	Ascidiacea	Phlebobranchia	1	H2YYU4	20004	2776	3	5	4	present	304	303	0.9967	0.5776	238	237	0.9958	0.6034	-0.0258	True	
UP000007879	Amphimedon queenslandica (Sponge)	400682	metazoa_nonvert	Metazoa	Porifera	Demospongiae	Haplosclerida	37	A0AAN0JIF7	22831	2766	4	4	4	present	304	295	0.9704	0.4983	238	235	0.9874	0.4809	0.0174	True	
UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	G0NRS2	29982	2869	8	8	9	present	304	302	0.9934	0.4139	238	236	0.9916	0.5	-0.0861	True	
UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	metazoa_nonvert	Metazoa	Chordata	Ascidiacea	Phlebobranchia	2	F6YKH7	17311	1937	5	7	5	present	304	297	0.977	0.5926	238	0	0.0			False	pore coverage below 0.5
UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	E2C6L2	15029	2630	4	5	5	present	304	291	0.9572	0.5979	238	238	1.0	0.6303	-0.0324	True	
UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	E3M7H8	31252	2951	5	6	6	present	304	302	0.9934	0.4338	238	237	0.9958	0.4937	-0.0599	True	
UP000008711	Drosophila erecta (Fruit fly)	7220	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	B3P2E7	17348	2838	3	3	3	present	304	304	1.0	0.5559	238	238	1.0	0.6303	-0.0744	True	
UP000008744	Drosophila persimilis (Fruit fly)	7234	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	B4GF82	16754	2390	2	3	2	present	304	302	0.9934	0.5464	238	55	0.2311	0.4182		False	pore coverage below 0.5
UP000008792	Drosophila virilis (Fruit fly)	7244	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A0Q9WQK8	18316	2849	3	3	3	present	304	302	0.9934	0.5563	238	238	1.0	0.6261	-0.0698	True	
UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A6I8U9W2	20643	2992	4	4	4	present	304	292	0.9605	0.5616	238	238	1.0	0.5966	-0.035	True	
UP000008854	Schistosoma mansoni (Blood fluke)	6183	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Strigeidida	1	A0A5K4FB58	10771	2890	2	2	2	present	304	286	0.9408	0.4056	238	236	0.9916	0.4576	-0.052	True	
UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Opisthorchiida	1	G7Y5H5	13606	2732	1	1	2	present	304	279	0.9178	0.4444	238	228	0.958	0.4781	-0.0337	True	
UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	metazoa_nonvert	Metazoa	Placozoa	Uniplacotomia	Trichoplacea	3	B3RXX7	11520	2524	2	3	2	present	304	291	0.9572	0.6151	238	238	1.0	0.6639	-0.0488	True	
UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Psocodea	1	E0VHU9	10776	2680	3	4	3	present	304	291	0.9572	0.5945	238	238	1.0	0.605	-0.0105	True	
UP000009192	Drosophila mojavensis (Fruit fly)	7230	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	B4KD89	18165	2843	3	3	3	present	304	302	0.9934	0.5563	238	238	1.0	0.6261	-0.0698	True	
UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	metazoa_nonvert	Metazoa	Arthropoda	Chilopoda	Geophilomorpha	1	T1IW96	14972	2752	6	6	6	present	304	294	0.9671	0.619	238	238	1.0	0.6471	-0.0281	True	
UP000014760	Capitella teleta (Polychaete worm)	283909	metazoa_nonvert	Metazoa	Annelida	Polychaeta		8	R7TPX0	31857	2718	9	13	12	present	304	292	0.9605	0.6301	238	238	1.0	0.6555	-0.0254	True	
UP000015101	Helobdella robusta (Californian leech)	6412	metazoa_nonvert	Metazoa	Annelida	Clitellata	Rhynchobdellida	10	T1FVZ2	23328	1740	8	9	8	present	304	0	0.0		238	131	0.5504	0.771		False	core coverage below 0.5
