accession	organism	vclass	source	cell	locus_idx	state	n_annot_edges	n_exact	n_within_tol	n_no_match	frac_exact	frac_within_tol	n_model_exons	n_annot_blocks	median_offset
GCA_008658365.1	Alca torda	Aves	GenBank	ITPR1	0	complete	114	114	114	0	1	1	62	58	0
GCA_008658365.1	Alca torda	Aves	GenBank	ITPR2	0	complete	126	111	111	15	0.881	0.881	57	64	0
GCA_008658365.1	Alca torda	Aves	GenBank	ITPR3	0	complete	144	114	115	29	0.7917	0.7986	58	73	0
GCA_008658365.1	Alca torda	Aves	GenBank	RYR	0	complete	206	203	203	3	0.9854	0.9854	104	104	0
GCA_008658365.1	Alca torda	Aves	GenBank	RYR	1	complete	206	192	192	14	0.932	0.932	102	104	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	GenBank	ITPR1	0	complete	122	120	120	2	0.9836	0.9836	62	62	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	GenBank	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	GenBank	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	GenBank	RYR	0	complete	206	202	202	4	0.9806	0.9806	102	104	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	GenBank	RYR	1	complete	212	193	193	19	0.9104	0.9104	103	107	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	GenBank	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	GenBank	ITPR2	0	complete	118	111	111	7	0.9407	0.9407	57	60	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	GenBank	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	GenBank	RYR	0	complete	206	203	203	3	0.9854	0.9854	104	104	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	GenBank	RYR	1	complete	206	195	195	11	0.9466	0.9466	103	104	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	GenBank	ITPR1	0	complete	106	104	104	2	0.9811	0.9811	60	54	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	GenBank	ITPR2	0	complete	104	101	101	3	0.9712	0.9712	57	53	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	GenBank	ITPR3	0	complete	112	112	112	0	1	1	58	57	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	GenBank	RYR	1	complete	206	204	204	2	0.9903	0.9903	106	104	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	GenBank	RYR	2	complete	182	171	171	11	0.9396	0.9396	101	92	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	GenBank	RYR	0	complete	184	181	181	3	0.9837	0.9837	104	93	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	ITPR1	1	complete	96	74	74	22	0.7708	0.7708	58	49	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	ITPR3	0	fragmentary	0	0	0	0	0	0	60	1	nan
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	RYR	0	split	190	159	161	29	0.8368	0.8474	115	96	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	RYR	5	complete	204	169	169	35	0.8284	0.8284	105	103	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	RYR	1	complete	208	181	181	27	0.8702	0.8702	105	105	0
