id	section	claim	expected	found	verdict	note	source	op
OR01	origin	the neighbourhood analysis covers 2,144 loci	2144	2144	ok		results/synteny/synteny_stats.json	json
OR02	origin	274 assemblies carry a gene annotation to read	274	274	ok		results/synteny/synteny_stats.json	json
OR03	origin	the replication runs over 309 vertebrate genomes	309	309	ok		results/duplication/duplication_stats.json	json
OR04	origin	the species tree has 29 named internal nodes	29	29	ok		results/reconciliation/species_tree_calibrations.tsv	count
OR05	origin	the reconciliation maps 57 vertebrate tips	57	57	ok		results/reconciliation/reconciliation_summary.tsv	cell
OR06	origin	ITPR1+ITPR2 costs 114.02 log-likelihood units	114.02	114.02	ok		results/phylogeny/au_test.tsv	cell
OR07	origin	ITPR1+ITPR3 costs 113.98 log-likelihood units	113.98	113.98	ok		results/phylogeny/au_test.tsv	cell
OR08	origin	the AU 95 % confidence set holds 2 topologies	2	2	ok		results/methods/inference_summary.json	json
OR09	origin	nine claim clades are held under --bnni	9	9	ok		results/phylogeny/bnni_comparison.tsv	count
OR10	origin	within-ITPR1 similarity is 411-fold its null	411	410.8862	ok		results/synteny/pair_stats.tsv	cell
OR11	origin	within-ITPR3 similarity is 216-fold its null	216	215.5068	ok		results/synteny/pair_stats.tsv	cell
OR12	origin	168,241 pairs of ITPR and RyR loci were compared	168241	168241	ok		results/synteny/pair_stats.tsv	sum
OR13	origin	the caller was calibrated on 503 confirmed loci	503	503	ok		results/synteny/synteny_stats.json	json
OR14	origin	726 random windows were offered to the caller	726	726	ok		results/synteny/synteny_stats.json	json
OR15	origin	the caller called 6 of them	6	6	ok		results/synteny/synteny_stats.json	json
OR16	origin	932 matched random neighbourhoods form the null	932	932	ok		results/duplication/duplication_stats.json	json
OR17	origin	ITPR1 vs ITPR2 links in 80.6 % of genomes	141 (80.6%)	141 (80.6%)	ok		results/duplication/report.md	grep
OR18	origin	ITPR1 vs ITPR3 links in 58.6 % of genomes	89 (58.6%)	89 (58.6%)	ok		results/duplication/report.md	grep
OR19	origin	the random-window link rate is 2.6 %	2.7% against a 2.6% background	2.7% against a 2.6% background	ok		results/duplication/report.md	grep
OR20	origin	ITPR1 vs ITPR2 replicates in ten classes	10	10	ok		results/duplication/duplication_stats.json	json
OR21	origin	ITPR1 vs ITPR3 replicates in nine classes	9	9	ok		results/duplication/duplication_stats.json	json
OR22	origin	ITPR2 vs ITPR3 does not beat background, p 0.554	0.554	0.553597	ok		results/duplication/duplication_stats.json	json
OR23	origin	the vertebrate-dated GRM link is in 84 genomes	84	84	ok		results/duplication/duplication_stats.json	json
OR24	origin	the BHLHE link is vertebrate-dated in 2 genomes	2	2	ok		results/duplication/duplication_stats.json	json
OR25	origin	crown Vertebrata estimates run from 480 Ma	480	480.0	ok		results/reconciliation/species_tree_calibrations.tsv	cell
OR26	origin	to 615 Ma	615	615.0	ok		results/reconciliation/species_tree_calibrations.tsv	cell
OR27	origin	around a point age of 563 Ma	563	563.0	ok		results/reconciliation/species_tree_calibrations.tsv	cell
OR28	origin	all 5 topologies place the deepest dup at Vertebrata with the cyclostome loci kept	5	5	ok		results/reconciliation/reconciliation_summary.tsv	count
OR29	origin	the weakest vertebrate-subtree node is 17.4/54	17.4/54	17.4/54	ok		results/reconciliation/duplication_placement.tsv	cell
OR30	origin	the subtree has 112 edges to re-root at	all **112 of its edges**	all **112 of its edges**	ok		results/reconciliation/report.md	grep
OR31	origin	the minimum-event rooting needs 64 events	64	64	ok		results/reconciliation/rooting_check.tsv	cell
OR32	origin	the outgroup rooting needs 67 events	67	67	ok		results/reconciliation/rooting_check.tsv	cell
OR33	origin	the shortest cyclostome tip is 0.957 of median	0.957	0.957	ok		results/reconciliation/branch_lengths.tsv	cell
OR34	origin	the longest cyclostome tip is 1.045 of median	1.045	1.045	ok		results/reconciliation/branch_lengths.tsv	cell
OR35	origin	six cyclostome loci are in the tree	6	6	ok		results/reconciliation/cyclostome_loci.tsv	count
OR36	origin	the reconciliation implies 47 lost cells	47	47	ok		results/methods/inference_summary.json	json
OR37	origin	26 of them are sampling artefacts	26	26	ok		results/methods/inference_summary.json	json
OR38	origin	0 are corroborated	0	0	ok		results/methods/inference_summary.json	json
OR39	origin	73 teleost genomes are above the bar	73	73	ok		results/duplication/duplication_stats.json	json
OR40	origin	teleosts carry 1.041 ITPR2	1.041	1.041	ok		results/duplication/duplication_stats.json	json
OR41	origin	teleosts carry 1.041 ITPR3	1.041	1.041	ok		results/duplication/duplication_stats.json	json
OR42	origin	97.3 % of teleosts carry two ITPR1	| 5.82 | 97.3% |	| 5.82 | 97.3% |	ok		results/duplication/report.md	grep
OR43	origin	four pre-3R ray-finned genomes	4	4	ok		results/duplication/duplication_stats.json	json
OR44	origin	71 teleost genomes carry two ITPR1 copies	71	71	ok		results/duplication/duplication_stats.json	json
OR45	origin	same-contig copies sit a median 8,870,578 bp apart	8870578	8870578	ok		results/duplication/duplication_stats.json	json
OR46	origin	the closest pair is 535,374 bp apart	535374	535374	ok		results/duplication/duplication_stats.json	json
