case_id	accession	cell	intron_index	start	end	length	class	left_models	right_models	donor	acceptor	splice_class
case_a	GCA_014281875.1	ITPR2	1	12447919	12449617	1699	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	2	12449780	12456594	6815	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	3	12456756	12456850	95	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	4	12457017	12457109	93	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	5	12457232	12459635	2404	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	6	12459862	12459963	102	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	7	12460129	12460234	106	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	8	12460411	12461881	1471	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	9	12462008	12462205	198	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	10	12462399	12462549	151	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	11	12462673	12464567	1895	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	12	12464688	12464846	159	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	13	12464943	12465280	338	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	14	12465392	12465928	537	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	15	12466130	12466236	107	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	16	12466491	12467112	622	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	17	12467294	12467435	142	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	18	12467607	12467890	284	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	19	12468012	12477998	9987	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	20	12478108	12478682	575	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	21	12478826	12479174	349	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	22	12479357	12479467	111	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	23	12479589	12479905	317	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	24	12480035	12480232	198	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	25	12480359	12480447	89	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	26	12480700	12480821	122	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	27	12481023	12481318	296	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	28	12481442	12481538	97	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	29	12481665	12481748	84	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	30	12481836	12482390	555	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	31	12482559	12482893	335	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	32	12483055	12483166	112	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	33	12483251	12483343	93	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	34	12483468	12483549	82	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	35	12483738	12484487	750	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	36	12484640	12484725	86	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	37	12484874	12484961	88	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	38	12485214	12485386	173	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	39	12485570	12485812	243	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	40	12485933	12486261	329	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	41	12486435	12487844	1410	unannotated			GC	AG	minor
case_a	GCA_014281875.1	ITPR2	42	12488004	12488191	188	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	43	12488334	12488427	94	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	44	12488589	12488687	99	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	45	12488788	12489507	720	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	46	12489660	12491366	1707	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	47	12491412	12491777	366	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	48	12491874	12492632	759	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	49	12492780	12492947	168	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	50	12493032	12493248	217	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	51	12493348	12494160	813	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	52	12494320	12495115	796	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	53	12495203	12495290	88	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	54	12495410	12495733	324	unannotated			GT	AG	canonical
case_a	GCA_014281875.1	ITPR2	55	12495805	12500214	4410	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	1	8174211	8175043	833	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	2	8175206	8176099	894	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	3	8176261	8176819	559	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	4	8176986	8177367	382	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	5	8177487	8177568	82	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	6	8177674	8178177	504	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	7	8178365	8178795	431	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	8	8178961	8179409	449	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	9	8179586	8181040	1455	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	10	8181161	8181398	238	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	11	8181592	8182183	592	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	12	8182295	8182940	646	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	13	8183025	8183655	631	unannotated			GT	AG	canonical
