source,gene_symbol,accession,species,taxon_id,length_aa,transcript_id,gene_id,description,url
UniProt,ITPR1,Q14643,Homo sapiens,9606,2758,,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",https://www.uniprot.org/uniprotkb/Q14643
UniProt,ITPR1,Q14643-1,Homo sapiens,9606,,,ITPR1,isoform 1 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-1
UniProt,ITPR1,Q14643-2,Homo sapiens,9606,,,ITPR1,isoform 2 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-2
UniProt,ITPR1,Q14643-3,Homo sapiens,9606,,,ITPR1,isoform 3 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-3
UniProt,ITPR1,Q14643-4,Homo sapiens,9606,,,ITPR1,isoform 4 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-4
UniProt,ITPR1,Q14643-5,Homo sapiens,9606,,,ITPR1,isoform 5 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-5
UniProt,ITPR1,Q14643-6,Homo sapiens,9606,,,ITPR1,isoform 6 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-6
UniProt,ITPR1,Q14643-7,Homo sapiens,9606,,,ITPR1,isoform 7 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-7
UniProt,ITPR1,Q14643-8,Homo sapiens,9606,,,ITPR1,isoform 8 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-8
UniProt,ITPR1,A0A3F2YNW8,Homo sapiens,9606,2750,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A3F2YNW8
UniProt,ITPR1,A0A3B3ITQ1,Homo sapiens,9606,2012,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A3B3ITQ1
UniProt,ITPR1,A0A3B3ITU8,Homo sapiens,9606,2744,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A3B3ITU8
UniProt,ITPR1,A0A3B3IU04,Homo sapiens,9606,2749,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A3B3IU04
UniProt,ITPR1,A0A8C8KBY2,Homo sapiens,9606,1668,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8C8KBY2
UniProt,ITPR1,A0A3B3ITM6,Homo sapiens,9606,714,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A3B3ITM6
UniProt,ITPR1,A0A3B3IRT5,Homo sapiens,9606,296,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A3B3IRT5
UniProt,ITPR1,B7ZMI3,Homo sapiens,9606,721,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/B7ZMI3
UniProt,ITPR1,A0A3B3ITM1,Homo sapiens,9606,175,,ITPR1,A0A3B3ITM1_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3ITM1
UniProt,ITPR1,A0A3B3IU05,Homo sapiens,9606,1818,,ITPR1,A0A3B3IU05_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3IU05
UniProt,ITPR1,F6VW28,Homo sapiens,9606,721,,ITPR1,F6VW28_HUMAN,https://www.uniprot.org/uniprotkb/F6VW28
UniProt,ITPR1,A0A3B3IS59,Homo sapiens,9606,408,,ITPR1,A0A3B3IS59_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3IS59
UniProt,ITPR1,A0A3B3ISE3,Homo sapiens,9606,249,,ITPR1,A0A3B3ISE3_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3ISE3
UniProt,ITPR1,A0A3B3ISR4,Homo sapiens,9606,177,,ITPR1,A0A3B3ISR4_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3ISR4
UniProt,ITPR1,A0A3B3IU13,Homo sapiens,9606,1739,,ITPR1,A0A3B3IU13_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3IU13
UniProt,ITPR1,A0A3B3IRP0,Homo sapiens,9606,1548,,ITPR1,A0A3B3IRP0_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3IRP0
UniProt,ITPR1,A0A3B3ITQ4,Homo sapiens,9606,188,,ITPR1,A0A3B3ITQ4_HUMAN,https://www.uniprot.org/uniprotkb/A0A3B3ITQ4
UniProt,ITPR2,Q14571,Homo sapiens,9606,2701,,ITPR2,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR2",https://www.uniprot.org/uniprotkb/Q14571
UniProt,ITPR2,Q14571-1,Homo sapiens,9606,,,ITPR2,isoform Long of Q14571,https://www.uniprot.org/uniprotkb/Q14571-1
UniProt,ITPR2,Q14571-2,Homo sapiens,9606,,,ITPR2,isoform Short of Q14571,https://www.uniprot.org/uniprotkb/Q14571-2
