correction_id	side	cls	class_rule	priority	priority_reason	vetoed	veto_reason	assembly	source	organism	vclass	cell	contig	start	end	strand	current_state	current_name	current_biotype	coverage	best_model_frac	union_coding_frac	contig_spans_gene	integrity_verdict	proposal	evidence
GCA_000699945.1:ITPR3:0	genome	C2_noncoding_only	the annotation names the gene and files it as non-coding, so no protein is served	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_000699945.1	GenBank	Cathartes aura	Aves	ITPR3	KL301852.1	537	20480	+	noncoding	N323_11390	other	0.7477	0	0	0	intact	the locus is held only by 1 non-coding feature(s) (other); the alignment gives a coding model over the same exons	<data_root>/genome_sweep/GCA_000699945.1/miniprot.gff (model over KL301852.1:537-20480)
GCA_002197005.1:ITPR1:0	genome	C1_unannotated	a recovered gene with no same-strand annotated feature	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_002197005.1	GenBank	Cervus elaphus hippelaphus	Mammalia	ITPR1	CM008031.1	28422367	28806490	-	unannotated	(none)		1	0	0	0	intact	add a protein-coding gene model over the 8020 bp of aligned coding sequence on CM008031.1:28422367-28806490 (-)	<data_root>/genome_sweep/GCA_002197005.1/miniprot.gff (model over CM008031.1:28422367-28806490)
GCA_002197005.1:ITPR2:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_002197005.1	GenBank	Cervus elaphus hippelaphus	Mammalia	ITPR2	CM008029.1	46562293	47287741	-	fragmentary	Celaphus_00014063	protein_coding	1	0.1401	0.1401	0	intact	1 coding model(s) deliver 0.14 of the gene, best alone 0.14; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_002197005.1/miniprot.gff (model over CM008029.1:46562293-47287741)
GCA_002197005.1:RYR:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_002197005.1	GenBank	Cervus elaphus hippelaphus	Mammalia	RYR	CM008022.1	12245616	13191845	+	fragmentary	Celaphus_00008169	protein_coding	0.9974	0.0946	0.3486	0	intact	7 coding model(s) deliver 0.35 of the gene, best alone 0.09; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_002197005.1/miniprot.gff (model over CM008022.1:12245616-13191845)
GCA_002197005.1:RYR:1	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_002197005.1	GenBank	Cervus elaphus hippelaphus	Mammalia	RYR	CM008011.1	60192955	60333350	-	split	Celaphus_00004449	protein_coding	1	0.3391	0.8038	0	intact	6 coding model(s) deliver 0.80 of the gene, best alone 0.34; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_002197005.1/miniprot.gff (model over CM008011.1:60192955-60333350)
GCA_002197005.1:RYR:2	genome	C3_incomplete	the annotated coding models deliver less than the bar	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_002197005.1	GenBank	Cervus elaphus hippelaphus	Mammalia	RYR	CM008019.1	88509295	89000828	-	split	Celaphus_00006402	protein_coding	0.9968	0.1831	0.5529	0	intact	6 coding model(s) deliver 0.55 of the gene, best alone 0.18; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_002197005.1/miniprot.gff (model over CM008019.1:88509295-89000828)
GCA_002844005.1:RYR:0	genome	C1_unannotated	a recovered gene with no same-strand annotated feature	low	the contig cannot carry the whole gene (D4) — the annotation's silence may be the assembly's	0		GCA_002844005.1	GenBank	Limosa lapponica baueri	Aves	RYR	KZ505650.1	1556943	1978394	+	unannotated	llap_1117	protein_coding	1	0.008	0.008	0	intact	add a protein-coding gene model over the 14913 bp of aligned coding sequence on KZ505650.1:1556943-1978394 (+) (the nearest same-strand coding model, 'llap_1117', reaches 0.008 of it)	<data_root>/genome_sweep/GCA_002844005.1/miniprot.gff (model over KZ505650.1:1556943-1978394)
GCA_011823955.1:ITPR1:0	genome	C1_unannotated	a recovered gene with no same-strand annotated feature	high	gene recovered at coverage 1.00, contig spans it, reading frame intact (S15)	0		GCA_011823955.1	GenBank	Dissostichus mawsoni	Actinopteri	ITPR1	JAAKFY010000006.1	25372485	25435846	-	unannotated	(none)		1	0	0	1	intact	add a protein-coding gene model over the 8228 bp of aligned coding sequence on JAAKFY010000006.1:25372485-25435846 (-)	<data_root>/genome_sweep/GCA_011823955.1/miniprot.gff (model over JAAKFY010000006.1:25372485-25435846)
GCA_011823955.1:ITPR2:0	genome	C1_unannotated	a recovered gene with no same-strand annotated feature	high	gene recovered at coverage 1.00, contig spans it, reading frame intact (S15)	0		GCA_011823955.1	GenBank	Dissostichus mawsoni	Actinopteri	ITPR2	JAAKFY010000007.1	17781036	17839072	-	unannotated	(none)		1	0	0	1	intact	add a protein-coding gene model over the 8065 bp of aligned coding sequence on JAAKFY010000007.1:17781036-17839072 (-)	<data_root>/genome_sweep/GCA_011823955.1/miniprot.gff (model over JAAKFY010000007.1:17781036-17839072)
GCA_011823955.1:ITPR3:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	medium	gene recovered at coverage 1.00; integrity elevated_lesions	1	S15 scored the reading frame lesion-rich (D6) — reported, not proposed	GCA_011823955.1	GenBank	Dissostichus mawsoni	Actinopteri	ITPR3	JAAKFY010000002.1	32293568	32378972	+	fragmentary	F7725_001217	protein_coding	1	0.0114	0.0114	1	elevated_lesions	1 coding model(s) deliver 0.01 of the gene, best alone 0.01; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_011823955.1/miniprot.gff (model over JAAKFY010000002.1:32293568-32378972)
GCA_011823955.1:RYR:0	genome	C3_incomplete	the annotated coding models deliver less than the bar	medium	gene recovered at coverage 1.00; integrity elevated_lesions	1	S15 scored the reading frame lesion-rich (D6) — reported, not proposed	GCA_011823955.1	GenBank	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000008.1	28825736	28999030	+	split	F7725_014813	protein_coding	1	0.4682	0.8159	1	elevated_lesions	2 coding model(s) deliver 0.82 of the gene, best alone 0.47; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_011823955.1/miniprot.gff (model over JAAKFY010000008.1:28825736-28999030)
GCA_011823955.1:RYR:2	genome	C3_incomplete	the annotated coding models deliver less than the bar	medium	gene recovered at coverage 1.00; integrity elevated_lesions	1	S15 scored the reading frame lesion-rich (D6) — reported, not proposed	GCA_011823955.1	GenBank	Dissostichus mawsoni	Actinopteri	RYR	JAAKFY010000020.1	12009470	12064928	-	split	F7725_006765	protein_coding	1	0.3966	0.6035	1	elevated_lesions	3 coding model(s) deliver 0.60 of the gene, best alone 0.40; extend or merge to the aligned exons	<data_root>/genome_sweep/GCA_011823955.1/miniprot.gff (model over JAAKFY010000020.1:12009470-12064928)
