label	group	species	coverage	ungapped_aa
ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	ITPR1	Apteryx mantelli (North Island brown kiwi)	0.9777	1750
ITPR1_Bos_taurus_Bovine_Q9TU34	ITPR1	Bos taurus (Bovine)	0.9777	1750
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	ITPR1	Chanos chanos (Milkfish) (Mugil chanos)	0.9777	1750
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	ITPR1	Chanos chanos (Milkfish) (Mugil chanos)	0.9777	1750
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	0.9760	1747
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	0.9760	1747
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	0.9777	1750
ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	ITPR1	Gallus gallus (Chicken)	0.9777	1750
ITPR1_Homo_sapiens_Human_Q14643	ITPR1	Homo sapiens (Human)	0.9777	1750
ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	ITPR1	Latimeria chalumnae (Coelacanth)	0.9620	1722
ITPR1_Mus_musculus_Mouse_P11881	ITPR1	Mus musculus (Mouse)	0.9777	1750
ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	ITPR1	Podarcis muralis (Wall lizard) (Lacerta muralis)	0.9777	1750
ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	ITPR1	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	0.9777	1750
ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	ITPR1	Somniosus microcephalus	0.9732	1742
ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	ITPR1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	0.9754	1746
ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	ITPR2	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	0.9788	1752
ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	ITPR2	Danio rerio (Zebrafish) (Brachydanio rerio)	0.9771	1749
ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	ITPR2	Echinorhinus cookei	0.9777	1750
ITPR2_Gallus_gallus_Chicken_F1P1X4	ITPR2	Gallus gallus (Chicken)	0.9760	1747
ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	ITPR2	Gekko japonicus (Schlegel's Japanese gecko)	0.9760	1747
ITPR2_Homo_sapiens_Human_Q14571	ITPR2	Homo sapiens (Human)	0.9760	1747
ITPR2_Mus_musculus_Mouse_Q9Z329	ITPR2	Mus musculus (Mouse)	0.9760	1747
