paralog	element	n_sites	is_control	mean_jsd	median_jsd	vs_whole_protein	control_mean_jsd	p_greater_than_linkers	mean_frac_modal	mean_entropy	mean_occupancy
ITPR1	MIR	200	False	0.7369	0.7727	-0.0012	0.7256	0.0452	0.8542	0.8495	0.9864
ITPR1	RIH_C	149	False	0.7656	0.7609	0.0275	0.7256	0.0002	0.8965	0.8902	0.9923
ITPR1	RIH_N	197	False	0.7913	0.8057	0.0532	0.7256	4.6329e-15	0.9215	0.9267	0.9985
ITPR1	RIH_assoc	107	False	0.8037	0.8076	0.0656	0.7256	4.09136e-13	0.951	0.9469	0.9977
ITPR1	channel	183	False	0.7532	0.7659	0.0151	0.7256	0.0054	0.8986	0.895	0.987
ITPR1	cterm	150	True	0.7776	0.794	0.0395	0.7256		0.9029	0.9007	0.98
ITPR1	gate	5	False	0.7994	0.8057	0.0613	0.7256	0.0603	0.9846	0.9761	0.9919
ITPR1	linker_MIR_RIH_N	41	True	0.7461	0.7429	0.008	0.7256		0.8883	0.8796	0.9884
ITPR1	linker_RIH_C_RIH_assoc	605	True	0.7138	0.7362	-0.0243	0.7256		0.8239	0.8217	0.9744
ITPR1	linker_RIH_N_RIH_C	523	True	0.7197	0.7453	-0.0184	0.7256		0.8346	0.8306	0.9814
ITPR1	linker_RIH_assoc_channel	285	True	0.732	0.7586	-0.0061	0.7256		0.8603	0.8519	0.9905
ITPR1	linker_nterm_trefoil_MIR	3	True	0.618	0.6386	-0.1201	0.7256		0.5655	0.6414	0.999
ITPR1	luminal_loop	49	False	0.4883	0.5031	-0.2498	0.7256	1.0	0.5468	0.5414	0.8367
ITPR1	nterm	4	True	0.7562	0.7751	0.0181	0.7256		0.8446	0.8408	0.9237
ITPR1	nterm_trefoil	225	False	0.7715	0.7783	0.0334	0.7256	1.24984e-07	0.9087	0.9022	0.9811
ITPR1	selectivity_filter	7	False	0.7866	0.7836	0.0485	0.7256	0.0765	0.951	0.9509	0.9888
ITPR2	MIR	200	False	0.764	0.8035	0.0241	0.7209	5.93744e-09	0.8919	0.8962	0.9688
ITPR2	RIH_C	151	False	0.7691	0.7843	0.0292	0.7209	6.3172e-06	0.9023	0.9005	0.9817
ITPR2	RIH_N	197	False	0.7741	0.7875	0.0342	0.7209	1.96602e-07	0.91	0.9113	0.9725
ITPR2	RIH_assoc	107	False	0.8016	0.8175	0.0617	0.7209	4.5211e-13	0.9343	0.9433	0.9997
ITPR2	channel	227	False	0.7497	0.7749	0.0098	0.7209	0.0011	0.8789	0.8902	0.9963
ITPR2	cterm	148	True	0.7861	0.8169	0.0462	0.7209		0.9048	0.9145	0.9963
ITPR2	gate	5	False	0.822	0.8175	0.0821	0.7209	0.0154	1.0	1.0	0.9985
ITPR2	linker_MIR_RIH_N	41	True	0.6949	0.7268	-0.045	0.7209		0.8384	0.8218	0.97
ITPR2	linker_RIH_C_RIH_assoc	560	True	0.7117	0.7425	-0.0282	0.7209		0.8075	0.8225	0.9873
ITPR2	linker_RIH_N_RIH_C	515	True	0.7057	0.7449	-0.0342	0.7209		0.8087	0.8175	0.9725
ITPR2	linker_RIH_assoc_channel	242	True	0.7385	0.7684	-0.0015	0.7209		0.8538	0.8583	0.9967
ITPR2	linker_nterm_trefoil_MIR	4	True	0.7678	0.7675	0.0279	0.7209		0.783	0.8366	0.9697
ITPR2	luminal_loop	40	False	0.4521	0.4125	-0.2878	0.7209	1.0	0.5632	0.513	0.7332
ITPR2	nterm	4	True	0.7194	0.7156	-0.0206	0.7209		0.7133	0.7609	0.9223
ITPR2	nterm_trefoil	223	False	0.8057	0.8081	0.0658	0.7209	1.05685e-24	0.9485	0.9513	0.9678
ITPR2	selectivity_filter	7	False	0.7966	0.8057	0.0567	0.7209	0.0566	0.9757	0.9702	0.992
ITPR3	MIR	196	False	0.7625	0.7928	0.0249	0.7214	6.14771e-06	0.9056	0.8988	0.9629
ITPR3	RIH_C	140	False	0.7612	0.7748	0.0237	0.7214	0.0019	0.8776	0.8797	0.9761
ITPR3	RIH_N	197	False	0.7806	0.8057	0.043	0.7214	9.78577e-10	0.9214	0.9198	0.9703
ITPR3	RIH_assoc	107	False	0.7976	0.8076	0.06	0.7214	1.72137e-11	0.9401	0.9399	0.9949
ITPR3	channel	226	False	0.7489	0.7711	0.0114	0.7214	0.0083	0.8814	0.8894	0.9913
ITPR3	cterm	144	True	0.776	0.8054	0.0384	0.7214		0.8915	0.8982	0.98
ITPR3	gate	5	False	0.822	0.8175	0.0844	0.7214	0.0224	1.0	1.0	0.9815
ITPR3	linker_MIR_RIH_N	42	True	0.7376	0.76	0.0	0.7214		0.8385	0.8538	0.9803
ITPR3	linker_RIH_C_RIH_assoc	527	True	0.6932	0.7278	-0.0443	0.7214		0.7817	0.7957	0.9782
ITPR3	linker_RIH_N_RIH_C	511	True	0.7216	0.7591	-0.016	0.7214		0.817	0.8309	0.9615
ITPR3	linker_RIH_assoc_channel	266	True	0.7439	0.7631	0.0064	0.7214		0.8503	0.8602	0.9807
ITPR3	linker_nterm_trefoil_MIR	4	True	0.7208	0.7449	-0.0167	0.7214		0.6829	0.742	0.9372
ITPR3	luminal_loop	46	False	0.4846	0.4592	-0.2529	0.7214	1.0	0.5236	0.5319	0.852
ITPR3	nterm	2	True	0.8229	0.8229	0.0853	0.7214		0.8668	0.8888	0.8896
ITPR3	nterm_trefoil	227	False	0.7784	0.7902	0.0408	0.7214	2.25207e-08	0.9217	0.918	0.9419
ITPR3	selectivity_filter	7	False	0.8114	0.8057	0.0738	0.7214	0.0237	0.9956	0.9917	0.9996
