group	upid	organism	taxid	protein_count	n_plc_x_only_domain	n_plc_y_only_domain	n_pi_plc	plc_status
vertebrata	UP000000589	Mus musculus (Mouse)	10090	54855	15	15	15	present
vertebrata	UP000002494	Rattus norvegicus (Rat)	10116	52824	15	15	15	present
vertebrata	UP000005640	Homo sapiens (Human)	9606	147520	15	15	15	present
vertebrata	UP000009136	Bos taurus (Bovine)	9913	51611	17	17	17	present
vertebrata	UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	69241	28	21	21	present
vertebrata	UP000001073	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	40414	15	15	15	present
vertebrata	UP000001074	Myotis lucifugus (Little brown bat)	59463	20651	14	15	14	present
vertebrata	UP000001595	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	9601	39473	16	16	16	present
vertebrata	UP000001811	Oryctolagus cuniculus (Rabbit)	9986	41466	12	12	12	present
vertebrata	UP000002279	Ornithorhynchus anatinus (Duckbill platypus)	9258	32824	14	14	14	present
vertebrata	UP000005215	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	43179	25333	15	15	15	present
vertebrata	UP000005225	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	30611	19931	15	15	15	present
vertebrata	UP000005447	Cavia porcellus (Guinea pig)	10141	25047	15	15	15	present
vertebrata	UP000007267	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	13735	20509	17	15	14	present
vertebrata	UP000007646	Loxodonta africana (African elephant)	9785	25615	14	14	14	present
vertebrata	UP000007648	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	9305	36299	15	15	15	present
vertebrata	UP000007754	Taeniopygia guttata (Zebra finch) (Poephila guttata)	59729	31341	17	17	17	present
vertebrata	UP000008227	Sus scrofa (Pig)	9823	46004	16	16	16	present
vertebrata	UP000008912	Ailuropoda melanoleuca (Giant panda)	9646	38536	15	15	15	present
vertebrata	UP000029965	Chlorocebus sabaeus (Green monkey) (Simia sabaea)	60711	19229	15	14	14	present
vertebrata	UP000233040	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	2715852	40117	15	15	15	present
vertebrata	UP000291000	Capra hircus (Goat)	9925	32605	15	15	15	present
vertebrata	UP000472240	Rhinolophus ferrumequinum (Greater horseshoe bat)	59479	33505	16	15	15	present
vertebrata	UP000472266	Strigops habroptila (Kakapo)	2489341	24356	16	16	16	present
vertebrata	UP000472275	Aquila chrysaetos chrysaetos	223781	24817	16	16	16	present
vertebrata	UP000594220	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	8502	27142	15	15	15	present
vertebrata	UP000681084	Bothrops jararaca (Jararaca) (Bothrops jajaraca)	8724	84	0	0	0	absent
vertebrata	UP000694381	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	1026970	26759	14	14	14	present
vertebrata	UP000694385	Jaculus jaculus (Lesser Egyptian jerboa)	51337	25129	12	12	12	present
vertebrata	UP000694391	Canis lupus dingo (dingo)	286419	33928	14	15	14	present
vertebrata	UP000694394	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	30608	36769	14	14	14	present
vertebrata	UP000694398	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	34839	25185	15	15	15	present
vertebrata	UP000694399	Panthera leo (Lion)	9689	31097	13	13	13	present
vertebrata	UP000694407	Marmota marmota marmota (Alpine marmot)	9994	27309	14	13	13	present
vertebrata	UP000694409	Serinus canaria (Island canary) (Fringilla canaria)	9135	23421	16	16	16	present
vertebrata	UP000694412	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)	93934	27309	17	17	17	present
vertebrata	UP000694414	Prolemur simus (Greater bamboo lemur) (Hapalemur simus)	1328070	37838	16	15	15	present
vertebrata	UP000694417	Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii)	9999	29187	15	15	15	present
vertebrata	UP000694426	Anser brachyrhynchus (Pink-footed goose)	132585	26558	16	16	16	present
vertebrata	UP000694540	Catagonus wagneri (Chacoan peccary)	51154	29374	15	15	15	present
vertebrata	UP000694544	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	68415	32989	15	15	15	present
vertebrata	UP000694547	Peromyscus maniculatus bairdii (Prairie deer mouse)	230844	28057	16	16	16	present
vertebrata	UP000694554	Phocoena sinus (Vaquita)	42100	31318	15	15	15	present
vertebrata	UP000694561	Monodon monoceros (Narwhal) (Ceratodon monodon)	40151	30226	15	15	15	present
vertebrata	UP000694564	Sciurus vulgaris (Eurasian red squirrel)	55149	33006	15	15	15	present
vertebrata	UP000805418	Canis lupus familiaris (Dog) (Canis familiaris)	9615	43615	15	15	15	present
vertebrata	UP001501940	Amphiprion ocellaris (Clown anemonefish)	80972	69194	24	22	22	present
vertebrata	UP000000539	Gallus gallus (Chicken)	9031	43712	16	16	16	present
vertebrata	UP000000715	Mustela putorius furo (European domestic ferret) (Mustela furo)	9669	46261	15	15	15	present
vertebrata	UP000001038	Oryzias latipes (Japanese rice fish) (Japanese killifish)	8090	36128	27	25	25	present
vertebrata	UP000001519	Gorilla gorilla gorilla (Western lowland gorilla)	9595	44723	15	15	15	present
vertebrata	UP000001645	Meleagris gallopavo (Wild turkey)	9103	28235	15	15	14	present
vertebrata	UP000001646	Anolis carolinensis (Green anole) (American chameleon)	28377	32752	18	17	17	present
vertebrata	UP000002277	Pan troglodytes (Chimpanzee)	9598	48769	15	15	15	present
vertebrata	UP000002280	Monodelphis domestica (Gray short-tailed opossum)	13616	36220	14	14	14	present
vertebrata	UP000002281	Equus caballus (Horse)	9796	69432	16	16	16	present
vertebrata	UP000002852	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	8083	35279	24	22	22	present
vertebrata	UP000005207	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	8128	74622	24	23	23	present
vertebrata	UP000005226	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	31033	51079	21	20	20	present
vertebrata	UP000006718	Macaca mulatta (Rhesus macaque)	9544	44389	15	15	15	present
vertebrata	UP000007303	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	99883	23074	23	20	20	present
vertebrata	UP000007635	Gasterosteus aculeatus aculeatus (three-spined stickleback)	481459	61640	24	22	22	present
vertebrata	UP000008143	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	37711	17	16	16	present
vertebrata	UP000008225	Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus)	9483	48338	15	15	15	present
vertebrata	UP000008672	Latimeria chalumnae (Coelacanth)	7897	23431	17	18	17	present
vertebrata	UP000010552	Pteropus alecto (Black flying fox)	9402	19520	15	13	13	present
vertebrata	UP000010556	Myotis davidii (David's myotis) (Vespertilio davidii)	225400	15446	12	11	10	present
vertebrata	UP000011518	Tupaia chinensis (Chinese tree shrew) (Tupaia belangeri chinensis)	246437	20824	12	11	11	present
vertebrata	UP000016665	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	28852	16	16	16	present
vertebrata	UP000016666	Anas platyrhynchos platyrhynchos (Northern mallard)	8840	27053	15	15	14	present
vertebrata	UP000018467	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	7994	39383	24	22	22	present
vertebrata	UP000018468	Lepisosteus oculatus (Spotted gar)	7918	22463	19	16	16	present
vertebrata	UP000018936	Ophiophagus hannah (King cobra) (Naja hannah)	8665	18387	16	15	13	present
vertebrata	UP000028760	Poecilia formosa (Amazon molly) (Limia formosa)	48698	30440	27	24	24	present
vertebrata	UP000028761	Papio anubis (Olive baboon)	9555	43406	14	14	14	present
vertebrata	UP000028990	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	885580	20405	15	16	15	present
vertebrata	UP000031443	Chelonia mydas (Green sea-turtle) (Chelonia agassizi)	8469	18960	12	14	12	present
vertebrata	UP000031515	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	8897	3162	1	1	1	present
vertebrata	UP000050525	Alligator mississippiensis (American alligator)	8496	31974	16	16	16	present
vertebrata	UP000051836	Amazona aestiva (Blue-fronted Amazon parrot)	12930	16092	16	14	14	present
vertebrata	UP000052967	Merops nubicus (Northern carmine bee-eater)	57421	7657	10	10	9	present
vertebrata	UP000052976	Corvus brachyrhynchos (American crow)	85066	13621	12	12	12	present
vertebrata	UP000052978	Myotis brandtii (Brandt's bat)	109478	19243	13	12	12	present
vertebrata	UP000053001	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	188344	9574	13	12	11	present
vertebrata	UP000053119	Egretta garzetta (Little egret)	188379	13489	10	11	10	present
vertebrata	UP000053149	Pterocles gutturalis (yellow-throated sandgrouse)	240206	11309	6	6	5	present
vertebrata	UP000053238	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	9209	8990	9	8	7	present
vertebrata	UP000053258	Manacus vitellinus (golden-collared manakin)	328815	12707	10	10	9	present
vertebrata	UP000053283	Nipponia nippon (Crested ibis) (Ibis nippon)	128390	14132	9	10	9	present
vertebrata	UP000053286	Aptenodytes forsteri (Emperor penguin)	9233	13704	14	15	14	present
vertebrata	UP000053309	Balearica regulorum gibbericeps (East African grey crowned-crane)	100784	8821	10	12	10	present
vertebrata	UP000053330	Chlamydotis macqueenii (Macqueen's bustard)	187382	8277	10	11	10	present
vertebrata	UP000053369	Mesitornis unicolor (brown roatelo)	54374	9395	8	9	8	present
vertebrata	UP000053537	Acanthisitta chloris (rifleman)	57068	9650	8	10	8	present
vertebrata	UP000053584	Struthio camelus australis	441894	13815	9	10	9	present
vertebrata	UP000053605	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	30419	12773	9	10	9	present
vertebrata	UP000053615	Colius striatus (Speckled mousebird)	57412	7080	9	9	9	present
vertebrata	UP000053620	Antrostomus carolinensis (Chuck-will's-widow) (Caprimulgus carolinensis)	279965	8957	11	11	10	present
vertebrata	UP000053638	Phaethon lepturus (White-tailed tropicbird)	97097	9152	8	9	8	present
vertebrata	UP000053641	Tinamus guttatus (White-throated tinamou)	94827	13379	8	10	8	present
vertebrata	UP000053661	Tauraco erythrolophus (Red-crested turaco)	121530	10099	9	9	8	present
vertebrata	UP000053700	Phoenicopterus ruber ruber	9218	8220	9	10	9	present
vertebrata	UP000053745	Cathartes aura (Turkey vulture) (Vultur aura)	43455	7760	7	9	7	present
vertebrata	UP000053760	Cuculus canorus (Common cuckoo)	55661	13582	11	13	11	present
vertebrata	UP000053806	Fulmarus glacialis (Northern fulmar)	30455	8115	8	10	8	present
vertebrata	UP000053840	Nestor notabilis (Kea)	176057	9137	10	9	9	present
vertebrata	UP000053854	Podiceps cristatus (Great crested grebe)	345573	7899	8	7	7	present
vertebrata	UP000053858	Charadrius vociferus (Killdeer) (Aegialitis vocifera)	50402	14257	13	14	13	present
vertebrata	UP000053872	Columba livia (Rock dove)	8932	17309	14	14	14	present
vertebrata	UP000053875	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	118200	13097	12	13	12	present
vertebrata	UP000054064	Buceros rhinoceros silvestris	175836	10603	9	10	9	present
vertebrata	UP000054081	Pygoscelis adeliae (Adelie penguin)	9238	12848	12	12	11	present
