accession	species	group	tax_class	length	reviewed	census_call	census_confidence	gene	protein_name	seq_family	family_rel_margin	family_runner_up	itpr_bits	ryr_bits	paralog_askable	seq_paralog	paralog_rel_margin	paralog_runner_up	symbol_verdict	symbol_claim	name_verdict	name_claim	n_bait_hits	panel_reaches_claim	has_naming_pfam	n_family_pfam	arch_call	profile_call	instruments	sequence_resolved
A0A016U0Q9	Ancylostoma ceylanicum	Metazoa (non-vertebrate)	Chromadorea	3941	0	RYR	high	Acey_s0063.g3426	Ryanodine receptor	RYR	0.9173	ITPR	102	1234	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	3	RYR	RYR	v4+s20	1
A0A016VUU4	Ancylostoma ceylanicum	Metazoa (non-vertebrate)	Chromadorea	2004	0	ITPR	high	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9109	RYR	1067	95.1	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	3	ITPR	ITPR	both	1
A0A016VVL8	Ancylostoma ceylanicum	Metazoa (non-vertebrate)	Chromadorea	2004	0	ITPR	high	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9104	RYR	1066	95.5	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	3	ITPR	ITPR	both	1
A0A016VX80	Ancylostoma ceylanicum	Metazoa (non-vertebrate)	Chromadorea	2012	0	ITPR	high	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9169	RYR	1066	88.6	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	3	ITPR	ITPR	v4+s20	1
A0A023F2G4	Triatoma infestans (Assassin bug)	Metazoa (non-vertebrate)	Insecta	2724	0	ITPR	high		Inositol 1,4,5-trisphosphate receptor	ITPR	0.9493	RYR	3350	170	0	not_asked	0		absent		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A023F678	Triatoma infestans (Assassin bug)	Metazoa (non-vertebrate)	Insecta	5065	0	RYR	high		Putative ca2+ release channel ryanodine receptor	RYR	0.9447	ITPR	177	3199	0	not_asked	0		absent		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A023NE85	Leptinotarsa decemlineata (Colorado potato beetle) (Doryphora decemlineata)	Metazoa (non-vertebrate)	Insecta	5128	0	RYR	high		Ryanodine receptor	RYR	0.9442	ITPR	177	3170	0	not_asked	0		absent		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A023NEE5	Sogatella furcifera (White-backed planthopper)	Metazoa (non-vertebrate)	Insecta	5128	0	RYR	high		Ryanodine receptor	RYR	0.9441	ITPR	177	3167	0	not_asked	0		absent		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A023UJ66	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	Metazoa (non-vertebrate)	Insecta	5140	0	RYR	high	RyR	Ryanodine receptor	RYR	0.9445	ITPR	176	3174	0	not_asked	0		correct_paralog	RYR	correct_paralog	RYR	38	0	1	4	RYR	RYR	both	1
A0A026VT77	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	Metazoa (non-vertebrate)	Insecta	2719	0	ITPR	high	X777_00544	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9481	RYR	3278	170	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	v4+s20	1
