edge_index	clade_size	n_duplications	implied_losses	total_events	root_event	root_species_node	deepest_paralog_dup_node	example_tips	is_minimum
-1	57	14	53	67	duplication	Vertebrata	Vertebrata	outgroup rooting (RyR) - the one every other table uses	
0	53	14	53	67	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Bos_taurus_Bovine_Q9TU34	
1	19	14	53	67	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Bos_taurus_Bovine_Q9TU34	
2	15	15	56	71	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Bos_taurus_Bovine_Q9TU34	
3	13	15	58	73	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Bos_taurus_Bovine_Q9TU34	
4	7	16	62	78	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Bos_taurus_Bovine_Q9TU34	
5	6	17	68	85	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Bos_taurus_Bovine_Q9TU34	
6	2	17	73	90	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0;ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	
7	1	18	82	100	duplication	Vertebrata	Vertebrata	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	
8	1	18	82	100	duplication	Vertebrata	Vertebrata	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	
9	4	17	73	90	duplication	Vertebrata	Vertebrata	ITPR1_Bos_taurus_Bovine_Q9TU34;ITPR1_Homo_sapiens_Human_Q14643	
10	1	18	80	98	duplication	Vertebrata	Vertebrata	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	
11	3	18	80	98	duplication	Vertebrata	Vertebrata	ITPR1_Bos_taurus_Bovine_Q9TU34;ITPR1_Homo_sapiens_Human_Q14643	
12	1	18	86	104	duplication	Vertebrata	Vertebrata	ITPR1_Homo_sapiens_Human_Q14643	
13	2	18	86	104	duplication	Vertebrata	Vertebrata	ITPR1_Bos_taurus_Bovine_Q9TU34;ITPR1_Mus_musculus_Mouse_P11881	
14	1	19	94	113	duplication	Vertebrata	Vertebrata	ITPR1_Mus_musculus_Mouse_P11881	
15	1	19	94	113	duplication	Vertebrata	Vertebrata	ITPR1_Bos_taurus_Bovine_Q9TU34	
