source,gene_symbol,accession,species,taxon_id,length_aa,transcript_id,gene_id,description,url
UniProt,ITPR1,Q14643,Homo sapiens,9606,2758,,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",https://www.uniprot.org/uniprotkb/Q14643
UniProt,ITPR1,Q14643-1,Homo sapiens,9606,,,ITPR1,isoform 1 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-1
UniProt,ITPR1,Q14643-2,Homo sapiens,9606,,,ITPR1,isoform 2 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-2
UniProt,ITPR1,Q14643-3,Homo sapiens,9606,,,ITPR1,isoform 3 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-3
UniProt,ITPR1,Q14643-4,Homo sapiens,9606,,,ITPR1,isoform 4 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-4
UniProt,ITPR1,Q14643-5,Homo sapiens,9606,,,ITPR1,isoform 5 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-5
UniProt,ITPR1,Q14643-6,Homo sapiens,9606,,,ITPR1,isoform 6 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-6
UniProt,ITPR1,Q14643-7,Homo sapiens,9606,,,ITPR1,isoform 7 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-7
UniProt,ITPR1,Q14643-8,Homo sapiens,9606,,,ITPR1,isoform 8 of Q14643,https://www.uniprot.org/uniprotkb/Q14643-8
UniProt,ITPR1,Q9TU34,Bos taurus,9913,2709,,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",https://www.uniprot.org/uniprotkb/Q9TU34
UniProt,ITPR1,P29994,Rattus norvegicus,10116,2750,,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",https://www.uniprot.org/uniprotkb/P29994
UniProt,ITPR1,P29994-1,Rattus norvegicus,10116,,,ITPR1,isoform 1 of P29994,https://www.uniprot.org/uniprotkb/P29994-1
UniProt,ITPR1,P29994-2,Rattus norvegicus,10116,,,ITPR1,isoform 2 of P29994,https://www.uniprot.org/uniprotkb/P29994-2
UniProt,ITPR1,P29994-3,Rattus norvegicus,10116,,,ITPR1,isoform 3 of P29994,https://www.uniprot.org/uniprotkb/P29994-3
UniProt,ITPR1,P29994-4,Rattus norvegicus,10116,,,ITPR1,isoform 4 of P29994,https://www.uniprot.org/uniprotkb/P29994-4
UniProt,ITPR1,P29994-5,Rattus norvegicus,10116,,,ITPR1,isoform 5 of P29994,https://www.uniprot.org/uniprotkb/P29994-5
UniProt,ITPR1,P29994-6,Rattus norvegicus,10116,,,ITPR1,isoform 6 of P29994,https://www.uniprot.org/uniprotkb/P29994-6
UniProt,ITPR1,P29994-7,Rattus norvegicus,10116,,,ITPR1,isoform 7 of P29994,https://www.uniprot.org/uniprotkb/P29994-7
UniProt,ITPR1,P29994-8,Rattus norvegicus,10116,,,ITPR1,isoform 8 of P29994,https://www.uniprot.org/uniprotkb/P29994-8
UniProt,ITPR1,P11881,Mus musculus,10090,2749,,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",https://www.uniprot.org/uniprotkb/P11881
UniProt,ITPR1,P11881-1,Mus musculus,10090,,,ITPR1,isoform 1 of P11881,https://www.uniprot.org/uniprotkb/P11881-1
UniProt,ITPR1,P11881-2,Mus musculus,10090,,,ITPR1,isoform 2 of P11881,https://www.uniprot.org/uniprotkb/P11881-2
UniProt,ITPR1,P11881-3,Mus musculus,10090,,,ITPR1,isoform 3 of P11881,https://www.uniprot.org/uniprotkb/P11881-3
UniProt,ITPR1,P11881-4,Mus musculus,10090,,,ITPR1,isoform 4 of P11881,https://www.uniprot.org/uniprotkb/P11881-4
UniProt,ITPR1,P11881-5,Mus musculus,10090,,,ITPR1,isoform 5 of P11881,https://www.uniprot.org/uniprotkb/P11881-5
UniProt,ITPR1,P11881-6,Mus musculus,10090,,,ITPR1,isoform 6 of P11881,https://www.uniprot.org/uniprotkb/P11881-6
UniProt,ITPR1,P11881-7,Mus musculus,10090,,,ITPR1,isoform 7 of P11881,https://www.uniprot.org/uniprotkb/P11881-7
UniProt,ITPR1,P11881-8,Mus musculus,10090,,,ITPR1,isoform 8 of P11881,https://www.uniprot.org/uniprotkb/P11881-8
UniProt,ITPR1,A0A8J8XAG4,Rattus norvegicus,10116,2758,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8J8XAG4
UniProt,ITPR1,A0A286XZ14,Cavia porcellus,10141,2738,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A286XZ14
UniProt,ITPR1,A0A287D0Q8,Ictidomys tridecemlineatus,43179,2748,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A287D0Q8
UniProt,ITPR1,A0A2K6RS95,Rhinopithecus roxellana,61622,2714,,ITPR1,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A2K6RS95
