source,gene_symbol,accession,species,taxon_id,length_aa,transcript_id,gene_id,description,url
UniProt,itpr1a,A0A8M3ATJ5,Danio rerio,7955,2710,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8M3ATJ5
UniProt,itpr1a,A0A8M2BDG0,Danio rerio,7955,2711,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8M2BDG0
UniProt,itpr1a,A0A8M6Z7H7,Danio rerio,7955,2667,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8M6Z7H7
UniProt,itpr1a,A0A8M3B0M5,Danio rerio,7955,2683,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8M3B0M5
UniProt,itpr1a,A0A8M6YZS1,Danio rerio,7955,2695,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8M6YZS1
UniProt,itpr1a,F8W4B1,Danio rerio,7955,2682,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/F8W4B1
UniProt,itpr1a,A0A8M3B3K9,Danio rerio,7955,2696,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0A8M3B3K9
UniProt,itpr1a,A0AC58JVD9,Danio rerio,7955,2695,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVD9
UniProt,itpr1a,A0AC58JVF2,Danio rerio,7955,2684,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVF2
UniProt,itpr1a,A0AC58JVF3,Danio rerio,7955,2683,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVF3
UniProt,itpr1a,A0AC58JVI5,Danio rerio,7955,2694,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVI5
UniProt,itpr1a,A0AC58JVG8,Danio rerio,7955,2668,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVG8
UniProt,itpr1a,A0AC58JVG9,Danio rerio,7955,2698,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVG9
UniProt,itpr1a,A0AC58JVL8,Danio rerio,7955,2165,,itpr1a,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AC58JVL8
UniProt,itpr1b,A0AB32U088,Danio rerio,7955,2804,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32U088
UniProt,itpr1b,A0AB32U4T8,Danio rerio,7955,2780,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32U4T8
UniProt,itpr1b,A0AB32U0W5,Danio rerio,7955,2756,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32U0W5
UniProt,itpr1b,A0AB32TXG4,Danio rerio,7955,2819,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32TXG4
UniProt,itpr1b,A0AB32TY48,Danio rerio,7955,2806,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32TY48
UniProt,itpr1b,A0AB32TZL3,Danio rerio,7955,2807,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32TZL3
UniProt,itpr1b,A0AB32U288,Danio rerio,7955,2716,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32U288
UniProt,itpr1b,A0AB32U3W1,Danio rerio,7955,2764,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32U3W1
UniProt,itpr1b,A0AB32TZV0,Danio rerio,7955,2795,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32TZV0
UniProt,itpr1b,A0AB32U276,Danio rerio,7955,2807,,itpr1b,"Inositol 1,4,5-trisphosphate receptor",https://www.uniprot.org/uniprotkb/A0AB32U276
