accession	organism	group	cell	s16_copies	detector_fires	n_tandem	n_dispersed	expected	agrees
GCF_017654505.1	Polyodon spathula	extra_wgd	ITPR1	2	1	0	30	1	1
GCF_017654505.1	Polyodon spathula	extra_wgd	ITPR2	2	1	0	21	1	1
GCF_017654505.1	Polyodon spathula	extra_wgd	ITPR3	2	1	0	17	1	1
GCF_965601325.1	Salmo salar	extra_wgd	ITPR1	4	1	0	168	1	1
GCF_965601325.1	Salmo salar	extra_wgd	ITPR2	2	1	0	17	1	1
GCF_965601325.1	Salmo salar	extra_wgd	ITPR3	2	1	0	17	1	1
GCF_036373705.1	Amia ocellicauda	pre_3R_outgroup	ITPR1	1	0	0	0	0	1
GCF_036373705.1	Amia ocellicauda	pre_3R_outgroup	ITPR2	1	0	0	0	0	1
GCF_036373705.1	Amia ocellicauda	pre_3R_outgroup	ITPR3	1	0	0	0	0	1
GCA_043380575.1	Atractosteus spatula	pre_3R_outgroup	ITPR1	1	0	0	0	0	1
GCA_043380575.1	Atractosteus spatula	pre_3R_outgroup	ITPR2	1	0	0	0	0	1
GCA_043380575.1	Atractosteus spatula	pre_3R_outgroup	ITPR3	1	0	0	0	0	1
GCF_900747795.2	Erpetoichthys calabaricus	pre_3R_outgroup	ITPR1	1	0	0	0	0	1
GCF_900747795.2	Erpetoichthys calabaricus	pre_3R_outgroup	ITPR2	1	0	0	0	0	1
GCF_900747795.2	Erpetoichthys calabaricus	pre_3R_outgroup	ITPR3	1	0	0	0	0	1
GCF_040954835.1	Lepisosteus oculatus	pre_3R_outgroup	ITPR1	1	0	0	0	0	1
GCF_040954835.1	Lepisosteus oculatus	pre_3R_outgroup	ITPR2	1	0	0	0	0	1
GCF_040954835.1	Lepisosteus oculatus	pre_3R_outgroup	ITPR3	1	0	0	0	0	1
GCA_980438365.1	Acanthurus tractus	teleost	ITPR1	2	1	0	27	1	1
GCA_980438365.1	Acanthurus tractus	teleost	ITPR2	1	0	0	0	0	1
GCA_980438365.1	Acanthurus tractus	teleost	ITPR3	1	0	0	0	0	1
GCA_056783665.1	Albula glossodonta	teleost	ITPR1	2	1	0	28	1	1
