accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	group
A0A016SE61	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	50.7	50.7	1.0		1e-11	1e-11	0.0	0.013	0	64	0.713	171	Acey_s0239.g3308	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016SQN0	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	33.4	33.4	1.0		1.7e-06	1.7e-06	0.0	0.025	0	123	0.183	666	Acey_s0189.g1219	Ancylostoma ceylanicum	53326	0	SPRY domain protein	metazoa_nonvert
A0A016SW30	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.4	56.4	1.0		2e-13	2e-13	0.0	0.015	0	74	0.872	149	Acey_s0169.g209	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016T562	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	32.4	32.4	1.0		3.2e-06	3.2e-06	0.0	0.013	0	64	0.774	159	Acey_s0136.g1948	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016T780	RYR	medium	partial	ryr.hmm wins by 1021.6 bits (73.6% of 1389.0) over 912 profile positions	367.4	1389.0	1021.6	0.7355	6.4e-107	0	0	0.227	0.185	609	912	0.872	1041	Acey_s0128.g1465	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016TEN0	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	53.5	53.5	1.0		1.4e-12	1.4e-12	0.0	0.011	0	54	0.616	185	Acey_s0110.g186	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016U0Q9	RYR	high	architecture	ryr.hmm wins by 4348.2 bits (94.5% of 4602.1) over 3550 profile positions	253.9	4602.1	4348.2	0.9448	1.1e-72	0	0	0.368	0.72	988	3550	0.985	3941	Acey_s0063.g3426	Ancylostoma ceylanicum	53326	0	Ryanodine receptor	metazoa_nonvert
A0A016U1N6	RYR	medium	partial	ryr.hmm wins by 342.9 bits (82.4% of 416.1) over 301 profile positions	73.2	416.1	342.9	0.8241	3.1e-18	8.3e-122	8.3e-122	0.054	0.061	145	301	0.784	398	Acey_s0063.g3428	Ancylostoma ceylanicum	53326	0	RyR/IP3R Homology associated domain-containing protein	metazoa_nonvert
A0A016U981	unassigned	none	module	ryr.hmm matched only 163 profile positions (< 200) — a shared module, not a family assignment	0.0	52.3	52.3	1.0		3.3e-12	3.3e-12	0.0	0.033	0	163	0.3	556	Acey_s0049.g1822	Ancylostoma ceylanicum	53326	0	B30.2/SPRY domain-containing protein	metazoa_nonvert
A0A016UFI2	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.0	35.0	1.0		5.6e-07	5.6e-07	0.0	0.012	0	59	0.628	180	Acey_s0042.g679	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016UHP8	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	73.2	73.2	1.0		1.7e-18	1.7e-18	0.0	0.028	0	138	0.249	555	Acey_s0041.g350	Ancylostoma ceylanicum	53326	0	SPRY domain protein	metazoa_nonvert
A0A016UYW5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	46.1	46.1	1.0		2.4e-10	2.4e-10	0.0	0.011	0	54	0.755	147	Acey_s0024.g998	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016V251	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	48.9	48.9	1.0		3.6e-11	3.6e-11	0.0	0.011	0	54	0.669	169	Acey_s0020.g202	Ancylostoma ceylanicum	53326	0	EF-hand domain-containing protein	metazoa_nonvert
A0A016VBE9	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	53.4	53.4	1.0		1.5e-12	1.5e-12	0.0	0.018	0	89	0.106	805	Acey_s0014.g2474	Ancylostoma ceylanicum	53326	0	ATP-dependent RNA helicase	metazoa_nonvert
A0A016VX74	ITPR	medium	partial	itpr.hmm wins by 751.5 bits (73.6% of 1021.8) over 738 profile positions	1021.8	270.3	751.5	0.7355	3.7e-304	7.2e-78	3.7e-304	0.275	0.083	738	409	0.973	867	Acey_s0004.g2120	Ancylostoma ceylanicum	53326	0	Ion transport domain-containing protein	metazoa_nonvert
A0A016VX80	ITPR	high	architecture	itpr.hmm wins by 1806.7 bits (100.0% of 1806.7) over 1812 profile positions; no ryr.hmm hit	1806.7	0.0	1806.7	1.0	0		0	0.675	0.0	1812	0	0.977	2012	Acey_s0004.g2123	Ancylostoma ceylanicum	53326	0	Inositol 1,4,5-trisphosphate receptor	metazoa_nonvert
A0A026VRJ2	RYR	medium	partial	ryr.hmm wins by 487.8 bits (90.5% of 539.3) over 345 profile positions	51.5	539.3	487.8	0.9045	1.1e-11	6.7e-159	6.7e-159	0.07	0.07	188	345	1.0	354	X777_00206	Ooceraea biroi	2015173	0	Ryanodine receptor 44F (Fragment)	metazoa_nonvert
A0A026VT77	ITPR	high	architecture	itpr.hmm wins by 3240.6 bits (87.7% of 3694.3) over 2579 profile positions	3694.3	453.7	3240.6	0.8772	0	4.1e-133	0	0.961	0.282	2579	1390	0.997	2719	X777_00544	Ooceraea biroi	2015173	0	Inositol 1,4,5-trisphosphate receptor	metazoa_nonvert
A0A026VU71	unassigned	none	module	ryr.hmm matched only 163 profile positions (< 200) — a shared module, not a family assignment	0.0	81.9	81.9	1.0		4.1e-21	4.1e-21	0.0	0.033	0	163	0.318	532	X777_16452	Ooceraea biroi	2015173	0	RING finger and SPRY domain-containing protein	metazoa_nonvert
A0A026VY39	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	92.7	92.7	1.0		2.3e-24	2.3e-24	0.0	0.029	0	143	0.107	1281	X777_13653	Ooceraea biroi	2015173	0	RING-type E3 ubiquitin transferase	metazoa_nonvert
A0A026W4Y4	RYR	medium	partial	ryr.hmm wins by 50.5 bits (100.0% of 50.5) over 202 profile positions; no itpr.hmm hit	0.0	50.5	50.5	1.0		1.1e-11	1.1e-11	0.0	0.041	0	202	0.206	729	X777_10405	Ooceraea biroi	2015173	0	ATP-dependent RNA helicase	metazoa_nonvert
A0A026W7Q8	RYR	high	architecture	ryr.hmm wins by 6342.2 bits (90.0% of 7047.2) over 4905 profile positions	705.0	7047.2	6342.2	0.9	1.1e-208	0	0	0.716	0.995	1922	4905	0.998	5061	X777_09115	Ooceraea biroi	2015173	0	Ryanodine receptor 44F	metazoa_nonvert
