accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source_detail	genome_accession	contig	start	end	strand	cell	cell_status	db_status	coverage	contig_spans_gene	s20_call	s20_confidence	s20_group	s20_itpr_score	s20_ryr_score	s20_rel_margin	s20_evidence	tax_domain	tax_kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_group	plant_fungal_verdict	plant_fungal_rule
A0A016T780	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	367.4	1389.0	0.7355	interpro+calibration	InterPro	Acey_s0128.g1465	EF-hand domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1041	0		0	Predicted	1	PF08454	PF00520;PF06459;PF08454;PF13499	2	PF06459	InterPro											RYR	medium	metazoa_nonvert	367.4	1389.0	0.7355	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016T816	RYR	high	architecture and profile both call RYR	both	RYR	RYR	medium	368.7	1388.6	0.7345	interpro+calibration	InterPro	Acey_s0128.g1465	EF-hand domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1031	0		0	Predicted	1	PF08454	PF00520;PF06459;PF08454;PF13499	2	PF06459	InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016U0Q9	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	high	253.9	4602.1	0.9448	interpro+calibration	InterPro	Acey_s0063.g3426	Ryanodine receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	3941	0		0	Predicted	0	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709;PF21119	3	PF00622;PF02026;PF21119	InterPro											RYR	high	metazoa_nonvert	253.9	4602.1	0.9448	architecture	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016U0R6	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	73.3	405.0	0.819	interpro+calibration	InterPro	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	385	0		0	Predicted	1	PF08454	PF08454	1		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016U1N6	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	unassigned	RYR	medium	73.2	416.1	0.8241	interpro+calibration	InterPro	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	398	0		0	Predicted	1	PF08454	PF08454	1		InterPro											RYR	medium	metazoa_nonvert	73.2	416.1	0.8241	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016U209	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	73.7	416.8	0.8232	interpro+calibration	InterPro	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	350	0		0	Predicted	1	PF08454	PF08454	1		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016U2S5	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	73.9	405.7	0.8178	interpro+calibration	InterPro	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	337	0		0	Predicted	1	PF08454	PF08454	1		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VUT2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	966.4	257.6	0.7334	interpro+calibration	InterPro	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	818	0		0	Predicted	1	PF08454	PF00520;PF08454	2		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VUU4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	1806.6	0.0	1.0	interpro+calibration	InterPro	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	2004	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
A0A016VVC9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	965.0	256.9	0.7338	interpro+calibration	InterPro	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	803	0		0	Predicted	1	PF08454	PF00520;PF08454	2		InterPro																		Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Ancylostoma	Metazoa (non-vertebrate)		
