window_n	group_a	group_b	pair_class	symbol_a	symbol_b	gene_a	gene_b	duplication_level	in_2R_window	in_2R_core
10	ITPR1	ITPR2	ITPR_vs_ITPR	BHLHE40	BHLHE41	ENSG00000134107	ENSG00000123095	Opisthokonta	0	0
10	ITPR1	ITPR3	ITPR_vs_ITPR	GRM7	GRM4	ENSG00000196277	ENSG00000124493	Vertebrata	1	1
10	RYR1	RYR2	RYR_vs_RYR (positive control)	ACTN4	ACTN2	ENSG00000130402	ENSG00000077522	Bilateria	0	0
10	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS7	LGALS8	ENSG00000205076	ENSG00000116977	Bilateria	0	0
10	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS7B	LGALS8	ENSG00000178934	ENSG00000116977	Bilateria	0	0
10	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS4	LGALS8	ENSG00000171747	ENSG00000116977	Bilateria	0	0
10	RYR2	RYR3	RYR_vs_RYR (positive control)	CHRM3	CHRM5	ENSG00000133019	ENSG00000184984	Bilateria	0	0
10	RYR2	RYR3	RYR_vs_RYR (positive control)	GREM2	GREM1	ENSG00000180875	ENSG00000166923	Vertebrata	1	1
20	ITPR1	ITPR2	ITPR_vs_ITPR	BHLHE40	BHLHE41	ENSG00000134107	ENSG00000123095	Opisthokonta	0	0
20	ITPR1	ITPR3	ITPR_vs_ITPR	GRM7	GRM4	ENSG00000196277	ENSG00000124493	Vertebrata	1	1
20	ITPR2	RYR3	ITPR_vs_RYR (cross-family)	SMCO2	TMCO5A	ENSG00000165935	ENSG00000166069	Theria	0	0
20	ITPR3	RYR1	ITPR_vs_RYR (cross-family)	RGL2	RASGRP4	ENSG00000237441	ENSG00000171777	Bilateria	0	0
20	ITPR3	RYR2	ITPR_vs_RYR (cross-family)	B3GALT4	B3GALNT2	ENSG00000235863	ENSG00000162885	Bilateria	0	0
20	RYR1	RYR2	RYR_vs_RYR (positive control)	ACTN4	ACTN2	ENSG00000130402	ENSG00000077522	Bilateria	0	0
20	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS7	LGALS8	ENSG00000205076	ENSG00000116977	Bilateria	0	0
20	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS7B	LGALS8	ENSG00000178934	ENSG00000116977	Bilateria	0	0
20	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS4	LGALS8	ENSG00000171747	ENSG00000116977	Bilateria	0	0
20	RYR2	RYR3	RYR_vs_RYR (positive control)	CHRM3	CHRM5	ENSG00000133019	ENSG00000184984	Bilateria	0	0
20	RYR2	RYR3	RYR_vs_RYR (positive control)	GREM2	GREM1	ENSG00000180875	ENSG00000166923	Vertebrata	1	1
30	ITPR1	ITPR2	ITPR_vs_ITPR	BHLHE40	BHLHE41	ENSG00000134107	ENSG00000123095	Opisthokonta	0	0
30	ITPR1	ITPR3	ITPR_vs_ITPR	GRM7	GRM4	ENSG00000196277	ENSG00000124493	Vertebrata	1	1
30	ITPR1	RYR1	ITPR_vs_RYR (cross-family)	LRRN1	LRFN1	ENSG00000175928	ENSG00000128011	Bilateria	0	0
30	ITPR2	RYR3	ITPR_vs_RYR (cross-family)	SMCO2	TMCO5A	ENSG00000165935	ENSG00000166069	Theria	0	0
30	ITPR3	RYR1	ITPR_vs_RYR (cross-family)	RGL2	RASGRP4	ENSG00000237441	ENSG00000171777	Bilateria	0	0
30	ITPR3	RYR2	ITPR_vs_RYR (cross-family)	B3GALT4	B3GALNT2	ENSG00000235863	ENSG00000162885	Bilateria	0	0
30	ITPR3	RYR2	ITPR_vs_RYR (cross-family)	KIFC1	KIF26B	ENSG00000237649	ENSG00000162849	Opisthokonta	0	0
30	ITPR3	RYR2	ITPR_vs_RYR (cross-family)	ZNF76	ZBTB18	ENSG00000065029	ENSG00000179456	Opisthokonta	0	0
30	ITPR3	RYR3	ITPR_vs_RYR (cross-family)	RGL2	RASGRP1	ENSG00000237441	ENSG00000172575	Bilateria	0	0
30	RYR1	RYR2	RYR_vs_RYR (positive control)	SIPA1L3	SIPA1L2	ENSG00000105738	ENSG00000116991	Bilateria	0	0
30	RYR1	RYR2	RYR_vs_RYR (positive control)	KCNK6	KCNK1	ENSG00000099337	ENSG00000135750	Opisthokonta	0	0
30	RYR1	RYR2	RYR_vs_RYR (positive control)	ACTN4	ACTN2	ENSG00000130402	ENSG00000077522	Bilateria	0	0
30	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS7	LGALS8	ENSG00000205076	ENSG00000116977	Bilateria	0	0
30	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS7B	LGALS8	ENSG00000178934	ENSG00000116977	Bilateria	0	0
30	RYR1	RYR2	RYR_vs_RYR (positive control)	LGALS4	LGALS8	ENSG00000171747	ENSG00000116977	Bilateria	0	0
30	RYR1	RYR3	RYR_vs_RYR (positive control)	SPRED3	SPRED1	ENSG00000188766	ENSG00000166068	Bilateria	0	0
30	RYR1	RYR3	RYR_vs_RYR (positive control)	FAM98C	FAM98B	ENSG00000130244	ENSG00000171262	Vertebrata	1	1
30	RYR1	RYR3	RYR_vs_RYR (positive control)	RASGRP4	RASGRP1	ENSG00000171777	ENSG00000172575	Bilateria	0	0
30	RYR2	RYR3	RYR_vs_RYR (positive control)	CHRM3	CHRM5	ENSG00000133019	ENSG00000184984	Bilateria	0	0
30	RYR2	RYR3	RYR_vs_RYR (positive control)	GREM2	GREM1	ENSG00000180875	ENSG00000166923	Vertebrata	1	1
