paralog	layer	is_primary	core_definition	pore_definition	n_core	n_pore	mean_core_jsd	mean_pore_jsd	median_core_jsd	median_pore_jsd	difference	cles_core_gt_pore	p_mannwhitney	mean_core_occupancy	mean_pore_occupancy	mean_core_frac_modal	mean_pore_frac_modal	mean_core_entropy	mean_pore_entropy	q_mannwhitney
ITPR1	deep	True	contact_span	channel_minus_luminal	305	195	0.7465	0.7556	0.7748	0.77	-0.0091	0.4939	0.817303	0.9903	0.9872	0.8649	0.9027	0.8638	0.8991	0.852838
ITPR1	vert	True	contact_span	channel_minus_luminal	305	195	0.7135	0.7428	0.7558	0.7729	-0.0293	0.4553	0.091213	0.9819	0.9912					0.145941
ITPR1	family	True	contact_span	channel_minus_luminal	305	195	0.3691	0.4504	0.3505	0.4383	-0.0813	0.3492	1.25248e-08	0.8455	0.9659					1.50298e-07
ITPR1	shallow	True	contact_span	channel_minus_luminal	305	195	0.8095	0.7815	0.8378	0.8057	0.0281	0.6345	3.72619e-07	0.9974	0.9944					2.23571e-06
ITPR1	deep	False	ibc_literature	channel_all	381	246	0.7563	0.7	0.7842	0.7481	0.0563	0.6028	1.34635e-05	0.9907	0.9513	0.8766	0.8294	0.876	0.825	3.23124e-05
ITPR1	vert	False	ibc_literature	channel_all	381	246	0.7271	0.6624	0.76	0.7469	0.0647	0.5772	0.001086	0.9813	0.9577					0.002005
ITPR1	family	False	ibc_literature	channel_all	381	246	0.3795	0.4109	0.362	0.4101	-0.0314	0.4516	0.040682	0.8597	0.8174					0.069741
ITPR1	shallow	False	ibc_literature	channel_all	381	246	0.8138	0.737	0.8378	0.7763	0.0768	0.7051	3.6333e-18	0.9944	0.981					8.71992e-17
ITPR2	deep	True	contact_span	channel_minus_luminal	305	239	0.751	0.7526	0.7778	0.7807	-0.0016	0.5029	0.909193	0.9687	0.9962	0.8801	0.8843	0.8817	0.8948	0.909193
ITPR2	vert	True	contact_span	channel_minus_luminal	305	239	0.7148	0.7066	0.7558	0.76	0.0082	0.5232	0.352765	0.98	0.9898					0.445598
ITPR2	family	True	contact_span	channel_minus_luminal	305	239	0.3683	0.4287	0.3471	0.4207	-0.0604	0.3872	6.25205e-06	0.8461	0.8895					1.66721e-05
ITPR2	shallow	True	contact_span	channel_minus_luminal	305	239	0.783	0.773	0.8076	0.8057	0.0099	0.54	0.108582	0.9453	0.967					0.153292
ITPR2	deep	False	ibc_literature	channel_all	381	287	0.7592	0.7019	0.7872	0.7496	0.0573	0.5895	7.3598e-05	0.969	0.9432	0.8871	0.8292	0.8899	0.8304	0.000161
ITPR2	vert	False	ibc_literature	channel_all	381	287	0.7282	0.6488	0.76	0.7126	0.0794	0.6134	5.15179e-07	0.9797	0.9635					2.37278e-06
ITPR2	family	False	ibc_literature	channel_all	381	287	0.3788	0.4028	0.3615	0.399	-0.024	0.4633	0.104091	0.8601	0.7834					0.153292
ITPR2	shallow	False	ibc_literature	channel_all	381	287	0.7893	0.7426	0.8076	0.7616	0.0467	0.6127	5.93194e-07	0.9407	0.9314					2.37278e-06
ITPR3	deep	True	contact_span	channel_minus_luminal	304	238	0.753	0.7523	0.7833	0.7764	0.0007	0.5137	0.582747	0.9651	0.9913	0.8856	0.8872	0.8825	0.8947	0.665997
ITPR3	vert	True	contact_span	channel_minus_luminal	304	238	0.715	0.708	0.756	0.76	0.007	0.5219	0.380664	0.9823	0.9923					0.456797
ITPR3	family	True	contact_span	channel_minus_luminal	304	238	0.3685	0.4296	0.3506	0.4257	-0.0611	0.386	5.12019e-06	0.8479	0.8921					1.53606e-05
ITPR3	shallow	True	contact_span	channel_minus_luminal	304	238	0.7768	0.7847	0.8057	0.8057	-0.0079	0.4927	0.771505	0.9938	0.9996					0.841642
ITPR3	deep	False	ibc_literature	channel_all	380	288	0.7619	0.7053	0.7927	0.7585	0.0566	0.6049	3.32153e-06	0.9652	0.9587	0.8945	0.8235	0.8926	0.8313	1.13881e-05
ITPR3	vert	False	ibc_literature	channel_all	380	288	0.7284	0.6446	0.76	0.711	0.0838	0.6168	2.26021e-07	0.9816	0.9669					1.80817e-06
ITPR3	family	False	ibc_literature	channel_all	380	288	0.379	0.3996	0.3619	0.3936	-0.0206	0.4704	0.189075	0.8616	0.7816					0.2521
ITPR3	shallow	False	ibc_literature	channel_all	380	288	0.7835	0.7459	0.8073	0.7985	0.0376	0.5748	0.00091	0.9936	0.9735					0.00182
