upid	organism	phylum	pore_identity	delta	n_matches	matched_upids	matched_median_pore_identity	matched_median_delta	difference	note
UP000014254	Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides)	Mucoromycota	0.3668	-0.0539	3	UP001363151;UP000013827;UP000039865	0.3652	-0.1312	0.0773	
UP000053815	Mucor ambiguus	Mucoromycota	0.3582	-0.0771	3	UP001164746;UP001165085;UP001165160	0.3602	-0.086	0.0089	
UP000077051	Mucor lusitanicus CBS 277.49	Mucoromycota	0.3582	-0.079	3	UP001164746;UP001165085;UP001165160	0.3602	-0.086	0.007	
UP000077315	Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)	Mucoromycota	0.3394	-0.085	3	UP000284702;UP000001064;UP000444721	0.3398	-0.0604	-0.0246	
UP000078561	Absidia glauca (Pin mould)	Mucoromycota	0.3594	-0.0902	3	UP001165085;UP001165160;UP001164746	0.3602	-0.086	-0.0042	
UP000093000	Choanephora cucurbitarum	Mucoromycota	0.3839	-0.1238	3	UP001558632;UP000008524;UP000195570	0.385	-0.0762	-0.0476	
UP000193560	Absidia repens	Mucoromycota	0.3545	-0.0617	3	UP001165960;UP000187209;UP001164746	0.3559	-0.1232	0.0615	
UP000193642	Rhizoclosmatium globosum	Chytridiomycota	0.3667	-0.0435	3	UP000013827;UP001363151;UP000039865	0.3652	-0.1312	0.0877	
UP000242146	Hesseltinella vesiculosa	Mucoromycota	0.3761	-0.0985	3	UP001165122;UP001178507;UP000604046	0.3738	-0.0898	-0.0087	
UP000274822	Jimgerdemannia flammicorona	Mucoromycota	0.3865	-0.1592	3	UP000284403;UP000009168;UP000008524	0.386	-0.0864	-0.0728	
UP000605846	Apophysomyces ossiformis	Mucoromycota	0.4277	-0.1461	3	UP000054324;UP000011083;UP000311919	0.4304	-0.071	-0.0751	
UP000650833	Mucor plumbeus	Mucoromycota	0.3929	-0.1057	3	UP001701489;UP000186817;UP001701514	0.3945	-0.124	0.0183	
UP001209540	Phascolomyces articulosus	Mucoromycota	0.3744	-0.1129	3	UP001178507;UP000604046;UP001165122	0.3738	-0.0898	-0.0231	
UP001234581	Lichtheimia ornata	Mucoromycota	0.3612	-0.0802	3	UP001165160;UP001165085;UP000039865	0.3604	-0.086	0.0058	
UP001304243	Mucor velutinosus	Mucoromycota	0.3726	-0.0909	3	UP000604046;UP001178507;UP001363151	0.3721	-0.069	-0.0219	
UP001448207	Phycomyces blakesleeanus	Mucoromycota	0.3394	-0.085	3	UP000284702;UP000001064;UP000444721	0.3398	-0.0604	-0.0246	
UP000236333	Tetrabaena socialis	Chlorophyta	0.2857	-0.0374	3	UP000481153;UP001165090;UP001165080	0.2857	0.0335	-0.0709	
UP000708148	Ostreobium quekettii	Chlorophyta	0.2315	-0.0114	3	UP000007259;UP000008153;UP000274082	0.2372	0.0202	-0.0316	
UP001190700	Cymbomonas tetramitiformis	Chlorophyta	0.2632	-0.021	3	UP000001396;UP000000600;UP000683925	0.2648	-0.0409	0.0199	
UP000002640	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	Oomycota	0.3506	-0.1127	3	UP000037460;UP000241890;UP000816034	0.348	-0.0571	-0.0556	
UP000006643	Phytophthora infestans (strain T30-4) (Potato late blight agent)	Oomycota	0.3574	-0.1702	3	UP001164746;UP000187209;UP001165085	0.3568	-0.0957	-0.0745	
UP000011087	Guillardia theta (strain CCMP2712) (Cryptophyte)		0.348	-0.1069	3	UP000241890;UP000816034;UP001515480	0.3472	-0.0571	-0.0498	
UP000018721	Phytophthora nicotianae P1569	Oomycota	0.3691	-0.0433	3	UP001363151;UP000604046;UP000013827	0.3682	-0.1081	0.0648	
UP000251314	Phytophthora cactorum	Oomycota	0.3668	-0.0709	3	UP001363151;UP000013827;UP000039865	0.3652	-0.1312	0.0603	
UP000285060	Aphanomyces invadans	Oomycota	0.3139	-0.0928	3	UP000674143;UP000006906;UP000243217	0.3107	-0.0533	-0.0395	
UP000602510	Phytophthora infestans (Potato late blight agent) (Botrytis infestans)	Oomycota	0.3448	-0.0414	3	UP000444721;UP001515480;UP000816034	0.3458	-0.0571	0.0157	
UP000694044	Phytophthora pseudosyringae	Oomycota	0.3433	-0.0125	3	UP000444721;UP001515480;UP000001064	0.3453	-0.0808	0.0683	
UP001146120	Lagenidium giganteum	Oomycota	0.3509	-0.087	3	UP000037460;UP000241890;UP001165960	0.3509	-0.0756	-0.0114	
UP001165060	Tetraparma gracilis		0.3103	-0.024	3	UP000002729;UP000243217;UP000006906	0.3106	-0.0344	0.0104	
UP001209570	Pythium insidiosum (Pythiosis disease agent)	Oomycota	0.3649	-0.0444	3	UP000013827;UP000039865;UP001230188	0.3636	-0.1312	0.0868	
UP001259832	Phytophthora citrophthora	Oomycota	0.3476	-0.0243	3	UP000241890;UP000816034;UP001515480	0.3472	-0.0571	0.0328	
UP001295684	Euplotes crassus	Ciliophora	0.4091	-0.1244	3	UP000007350;UP000320333;UP000051952	0.4069	-0.1072	-0.0172	
UP000002630	Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)		0.3125	0.0347	3	UP000006906;UP000243217;UP000002729	0.3106	-0.0344	0.0691	
UP000198211	Phytophthora megakarya	Oomycota	0.3937	-0.1744	3	UP001701489;UP000186817;UP001211065	0.3956	-0.1185	-0.0559	
UP001165083	Phytophthora lilii	Oomycota	0.3519	-0.106	3	UP000037460;UP001165960;UP000241890	0.3509	-0.0756	-0.0304	
UP001165121	Phytophthora fragariaefolia	Oomycota	0.3722	-0.0477	3	UP000604046;UP001178507;UP001363151	0.3721	-0.069	0.0213	
