band	group	organism	census_species	symbol	route	gene_id	taxid	accession	length_aa	itpr_score	assembly	annotation	sequence	start	end	span_bp	n_locations
Nematoda	metazoa	Caenorhabditis elegans	Caenorhabditis elegans	itr-1	gene_symbol	177546	6239	Q9Y0A1	2892	3040.4	GCF_000002985.6	WormBase WS298	IV	7675174	7696930	21757	1
Mollusca	metazoa	Octopus sinensis	Octopus sinensis (East Asian common octopus)	LOC115222534	protein_name	115222534	2607531	A0A6P7TCD4	2662	3789.7	GCF_006345805.1	NCBI Octopus sinensis Annotation Release 101	LG2	186045302	186370141	324840	1
Platyhelminthes	metazoa	Schistosoma haematobium	Schistosoma haematobium (Blood fluke)	ITPR2	gene_symbol	75578289	6185	A0A922ILK8	3083	1440.8	GCF_000699445.3	Annotation submitted by The University of Melbourne	4	4344636	4487388	142753	1
Brachiopoda	metazoa	Lingula anatina	Lingula anatina (Brachiopod) (Lingula unguis)	LOC106177103	protein_name	106177103	7574	A0A1S3JYY5	2595	3505.2	GCF_051362555.1	GCF_051362555.1-RS_2026_08	6	24674484	24746435	71952	1
Echinodermata	metazoa	Acanthaster planci	Acanthaster planci (Crown-of-thorns starfish)	itpr1	protein_name	110986922	133434	A0A8B7ZNI0	2760	4067.2	GCF_054643075.1	GCF_054643075.1-RS_2026_08	LG04	20132141	20247631	115491	1
Hemichordata	metazoa	Saccoglossus kowalevskii	Saccoglossus kowalevskii (Acorn worm)	LOC100375107	protein_name	100375107	10224	A0ACM8C709	2596	1508.9	GCF_978046115.1	GCF_978046115.1-RS_2026_07	1	11276762	11371452	94691	1
Chordata	metazoa	Phallusia mammillata	Phallusia mammillata	LOC145225478	gene_symbol	145225478	59560	A0A6F9DES0	2802	3455.0	GCF_965637545.1	GCF_965637545.1-RS_2026_02	4	12683855	12717138	33284	1
Chordata	metazoa	Branchiostoma belcheri	Branchiostoma belcheri (Amphioxus)	LOC109477077	protein_name	109477077	7741	A0A6P4ZVN0	2843	4037.7	GCF_001625305.1	NCBI Branchiostoma belcheri Annotation Release 100	Unplaced Scaffold	2102193	2225168	122976	1
Placozoa	metazoa	Trichoplax adhaerens	Trichoplax adhaerens (Trichoplax reptans)	TRIADDRAFT_56365	protein_name	6753608	10228	B3RXX7	2524	3381.3	GCF_000150275.1	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)		2342837	2359949	17113	1
Priapulida	metazoa	Priapulus caudatus	Priapulus caudatus (Priapulid worm)	LOC106819653	protein_name	106819653	37621	A0ABM1F5M1	367	434.8	GCF_000485595.1	NCBI Priapulus caudatus Annotation Release 100	Unplaced Scaffold	5083	13646	8564	1
Mucoromycota	fungi	Lichtheimia ornata	Lichtheimia ornata	O0I10_012669	protein_name	83220006	688661	A0AAD7UQL8	2610	1300.3	GCF_029851405.1	Annotation submitted by Broad Institute		6319	15681	9363	1
Ciliophora	sar	Tetrahymena thermophila SB210	Tetrahymena thermophila (strain SB210)	TTHERM_00138560	protein_name	7823455	312017	I7M298	3118	519.1	GCF_000189635.1	Annotation submitted by NCBI RefSeq		99510	110380	10871	1
Perkinsozoa	sar	Perkinsus marinus ATCC 50983	Perkinsus marinus (strain ATCC 50983 / TXsc)	Pmar_PMAR025129	protein_name	9057530	423536	C5LQI5	583	220.7	GCF_000006405.1	Annotation submitted by NCBI RefSeq		142508	146246	3739	1
Evosea	amoebozoa	Cavenderia fasciculata	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	iplA	gene_symbol	14869627	261658	F4Q324	2843	1281.5	GCF_000203815.1	Annotation submitted by Leibniz Institute for Age Research - Fritz Lipmann Institute		2534326	2543259	8934	1
Evosea	amoebozoa	Heterostelium album PN500	Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Cellular slime mold) (Polysphondylium pallidum)	iplA	gene_symbol	31356250	670386	D3AX88	2616	1139.5	GCF_000004825.1	Annotation submitted by Leibniz Institute for Age Research - Fritz Lipmann Institute		1688492	1697183	8692	1
Euglenozoa	discoba	Trypanosoma theileri	Trypanosoma theileri	TM35_000132200	protein_name	39985216	67003	A0A1X0NWX8	3141	664.7	GCF_002087225.1	Annotation submitted by University of Edinburgh		290495	299920	9426	1
