accession	cell	matched	density	identity	others_median	others_identity_median	n_others	diff
GCA_002197005.1	ITPR1	0	0.3626	0.8879	0.68145	0.78515	2	-0.31885
GCA_002197005.1	ITPR2	0	0.3702	0.8296	0.67765	0.8143	2	-0.30745
GCA_002197005.1	RYR	0	0.9927	0.7407	0.3664	0.85875	2	0.6263
GCA_002844005.1	ITPR3	0	1.149	0.8623	0	0.9845	1	1.149
GCA_002844005.1	RYR	0	0	0.9845	1.149	0.8623	1	-1.149
GCA_003113815.1	ITPR1	0	0	0.9524	0	0.9338	3	0
GCA_003113815.1	ITPR2	0	0	0.9338	0	0.9415	3	0
GCA_003113815.1	ITPR3	0	0	0.9415	0	0.9338	3	0
GCA_003113815.1	RYR	0	0.1985	0.6711	0	0.9415	3	0.1985
GCA_006937325.1	ITPR1	0	0.3598	0.9412	0	0.9404	3	0.3598
GCA_006937325.1	ITPR2	0	0	0.9404	0.3598	0.9412	3	-0.3598
GCA_006937325.1	ITPR3	0	0	0.9589	0.3598	0.9404	3	-0.3598
GCA_006937325.1	RYR	0	0.5685	0.9043	0	0.9412	3	0.5685
GCA_007760645.1	ITPR1	0	0	0.9797	0	0.9738	3	0
GCA_007760645.1	ITPR2	0	0	0.9594	0	0.9763	3	0
GCA_007760645.1	ITPR3	0	0	0.9738	0	0.9763	3	0
GCA_007760645.1	RYR	0	0	0.9763	0	0.9738	3	0
GCA_008658365.1	ITPR1	0	0	0.9903	2.2222	0.9831	3	-2.2222
GCA_008658365.1	ITPR2	0	2.2222	0.9772	0	0.9847	3	2.2222
GCA_008658365.1	ITPR3	0	5.6306	0.9831	0	0.9847	3	5.6306
GCA_008658365.1	RYR	0	0	0.9847	2.2222	0.9831	3	-2.2222
GCA_009769605.1	ITPR1	0	0	0.9888	0	0.9767	3	0
GCA_009769605.1	ITPR2	0	0	0.9767	0	0.9865	3	0
GCA_009769605.1	ITPR3	0	0	0.9865	0	0.9767	3	0
GCA_009769605.1	RYR	0	0.1985	0.6738	0	0.9865	3	0.1985
GCA_009819775.1	ITPR1	0	0	0.9928	0	0.9865	3	0
GCA_009819775.1	ITPR2	0	1.1111	0.9865	0	0.9899	3	1.1111
GCA_009819775.1	ITPR3	0	0	0.9899	0	0.9865	3	0
GCA_009819775.1	RYR	0	0	0.9851	0	0.9899	3	0
GCA_010411085.1	ITPR1	0	0	0.9815	0	0.9785	3	0
GCA_010411085.1	ITPR2	0	0	0.9785	0	0.9793	3	0
GCA_010411085.1	ITPR3	0	0	0.9715	0	0.9793	3	0
GCA_010411085.1	RYR	0	0	0.9793	0	0.9785	3	0
GCA_011823955.1	ITPR1	0	1.4556	0.9528	3.3708	0.8696	3	-1.9152
GCA_011823955.1	ITPR2	0	1.4809	0.8622	3.3708	0.8856	3	-1.8899
GCA_011823955.1	ITPR3	0	3.3708	0.8856	1.4809	0.8696	3	1.8899
GCA_011823955.1	RYR	0	3.6283	0.8696	1.4809	0.8856	3	2.1474
GCA_013389825.1	ITPR1	0	0	0.9867	0	0.82845	2	0
GCA_013389825.1	ITPR2	0	0	0.98	0	0.8318	2	0
GCA_013389825.1	RYR	0	0	0.6769	0	0.98335	2	0
GCA_013389965.1	ITPR3	0	0	0.9476	0.4918	0.6968	1	-0.4918
GCA_013389965.1	RYR	0	0.4918	0.6968	0	0.9476	1	0.4918
GCA_013389985.1	ITPR1	0	0	0.9853	0.18725	0.96905	2	-0.18725
GCA_013389985.1	ITPR2	0	0	0.9456	0.18725	0.9889	2	-0.18725
GCA_013389985.1	ITPR3	0	0.3745	0.9925	0	0.96545	2	0.3745
GCA_013390065.1	ITPR1	0	0	0.9661	0	0.9554	3	0
GCA_013390065.1	ITPR2	0	0	0.9554	0	0.9661	3	0
GCA_013390065.1	ITPR3	0	0	0.9224	0	0.9661	3	0
