accession	cell	locus_idx	intron_index	length	splice_class	frame_ok	col_left	col_right	intron_phase	q_left	q_right
GCA_008658365.1	ITPR1	0	0	8674	canonical	1	0	0	2	8	9
GCA_008658365.1	ITPR1	0	1	1373	canonical	1	215	216	2	44	45
GCA_008658365.1	ITPR1	0	2	2333	canonical	1	0	0	2	58	59
GCA_008658365.1	ITPR1	0	3	33523	canonical	1	283	292	1	82	83
GCA_008658365.1	ITPR1	0	4	3453	canonical	1	463	464	0	121	122
GCA_008658365.1	ITPR1	0	5	1561	canonical	1	514	524	0	150	151
GCA_008658365.1	ITPR1	0	6	1241	canonical	1	579	605	0	203	204
GCA_008658365.1	ITPR1	0	7	467	canonical	1	716	725	0	236	237
GCA_008658365.1	ITPR1	0	8	83	canonical	1	784	785	0	264	265
GCA_008658365.1	ITPR1	0	9	1351	canonical	1	917	918	0	313	314
GCA_008658365.1	ITPR1	0	10	1383	canonical	1	1049	1060	0	345	346
GCA_008658365.1	ITPR1	0	11	3000	canonical	1	1088	1089	0	360	361
GCA_008658365.1	ITPR1	0	12	1303	canonical	1	1275	1276	2	411	412
GCA_008658365.1	ITPR1	0	13	442	canonical	1	1491	1513	0	445	446
GCA_008658365.1	ITPR1	0	14	796	canonical	1	1617	1645	2	498	499
GCA_008658365.1	ITPR1	0	15	361	canonical	1	1748	1749	0	546	547
GCA_008658365.1	ITPR1	0	16	588	canonical	1	1895	1930	0	599	600
GCA_008658365.1	ITPR1	0	17	258	canonical	1	2138	2151	2	656	657
GCA_008658365.1	ITPR1	0	18	1330	canonical	1	2308	2309	2	696	697
GCA_008658365.1	ITPR1	0	19	1722	canonical	1	2855	2925	2	761	762
GCA_008658365.1	ITPR1	0	20	1361	canonical	1	3615	3616	2	845	846
GCA_008658365.1	ITPR1	0	21	979	canonical	1	3864	3865	0	893	894
GCA_008658365.1	ITPR1	0	22	331	canonical	1	4061	4062	1	944	945
GCA_008658365.1	ITPR1	0	23	2150	canonical	1	4386	4387	0	1007	1008
GCA_008658365.1	ITPR1	0	24	1473	canonical	1	4535	4537	1	1053	1054
GCA_008658365.1	ITPR1	0	25	1121	canonical	1	4626	4649	0	1073	1074
GCA_008658365.1	ITPR1	0	26	97	canonical	1	4812	4813	0	1127	1128
GCA_008658365.1	ITPR1	0	27	1004	canonical	1	4901	4902	0	1184	1185
GCA_008658365.1	ITPR1	0	28	865	canonical	1	5016	5017	0	1206	1207
GCA_008658365.1	ITPR1	0	29	1509	canonical	1	5281	5307	0	1252	1253
GCA_008658365.1	ITPR1	0	30	350	canonical	1	5394	5417	0	1294	1295
GCA_008658365.1	ITPR1	0	31	1543	canonical	1	5602	5603	0	1361	1362
GCA_008658365.1	ITPR1	0	32	560	canonical	1	6035	6036	0	1445	1446
GCA_008658365.1	ITPR1	0	33	729	canonical	1	6105	6123	0	1487	1488
GCA_008658365.1	ITPR1	0	34	3762	canonical	1	6303	6304	0	1530	1531
GCA_008658365.1	ITPR1	0	35	653	canonical	1	6553	6554	1	1570	1571
GCA_008658365.1	ITPR1	0	36	1356	canonical	1	6778	6779	0	1632	1633
GCA_008658365.1	ITPR1	0	37	975	canonical	1	7283	7284	2	1681	1682
GCA_008658365.1	ITPR1	0	38	4820	canonical	1	7716	7717	0	1719	1720
GCA_008658365.1	ITPR1	0	39	10231	canonical	1	7730	7731	0	1728	1729
GCA_008658365.1	ITPR1	0	40	1599	canonical	1	7744	0	0	1740	1741
GCA_008658365.1	ITPR1	0	41	3436	canonical	1	7788	7792	0	1758	1759
GCA_008658365.1	ITPR1	0	42	1415	canonical	1	7865	7866	1	1802	1803
GCA_008658365.1	ITPR1	0	43	15577	canonical	1	8020	8021	0	1866	1867
GCA_008658365.1	ITPR1	0	44	625	canonical	1	8150	8151	1	1926	1927
GCA_008658365.1	ITPR1	0	45	6342	canonical	1	8466	8467	0	2011	2012
GCA_008658365.1	ITPR1	0	46	1650	canonical	1	8599	8614	0	2078	2079
