accession	organism	vclass	cell	cell_status	region_kind	contig	start	end	n_hsps	aligned_aa	best_evalue	best_pident	assigned_clade	attribution_rel_margin	family_call	family_rel_margin	clade_bits	overlapping_genes	annot_paralog	annot_agrees
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	rescue_regions	KZ512296.1	4813	14504	27	1584	3.37e-43	98.824	ITPR1	0.312	ITPR	1.0	ITPR1=1041.3;vertebrate_basal=906.7;ITPR2=716.2;ITPR3=657.7	llap_17923		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	rescue_regions	KZ509414.1	8130	41300	25	1285	1.21e-26	100.0	ITPR1	0.374	ITPR	0.895	ITPR1=874.0;vertebrate_basal=818.5;ITPR2=547.4;ITPR3=519.2;RYR=91.7	llap_15584		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	rescue_regions	KZ517461.1	8015	9018	6	272	1.55e-20	100.0	ITPR1	0.305	ITPR	1.0	ITPR1=186.3;vertebrate_basal=183.2;ITPR3=129.4;ITPR2=113.6			0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	ambiguous_regions	KZ517889.1	83	1009	6	393	2.6e-43	95.506	ITPR1	0.114	ITPR	1.0	ITPR1=277.8;vertebrate_basal=277.2;ITPR2=246.0;ITPR3=217.4	llap_20526		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	ambiguous_regions	KZ520196.1	406	4154	9	423	6.79e-27	100.0	ITPR1	0.117	ITPR	0.872	ITPR1=279.5;vertebrate_basal=249.1;ITPR3=246.8;ITPR2=241.8;RYR=35.8	llap_21163		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	ambiguous_regions	KZ520963.1	2998	4711	6	258	7.26e-24	100.0	ITPR1	0.152	ITPR	1.0	ITPR1=178.9;vertebrate_basal=175.4;ITPR2=151.7;ITPR3=143.2			0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	attributed_elsewhere	KZ537444.1	658	924	3	265	3.71e-39	79.775	ITPR2	0.154	ITPR	1.0	ITPR2=182.0;ITPR1=154.0;vertebrate_basal=154.0;ITPR3=131.0			0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	attributed_elsewhere	KZ512119.1	15508	20761	15	901	3.41e-37	79.348	ITPR2	0.289	ITPR	0.951	ITPR2=724.6;ITPR1=515.1;vertebrate_basal=502.2;ITPR3=491.9;RYR=35.8	llap_17801		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	attributed_elsewhere	KZ511543.1	900	23833	12	748	3.53e-25	60.638	ITPR2	0.268	ITPR	1.0	ITPR2=614.3;ITPR1=449.6;vertebrate_basal=440.7;ITPR3=415.8	llap_17424		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	attributed_elsewhere	KZ507134.1	37592	58808	18	1105	6.09e-24	77.273	ITPR2	0.207	ITPR	0.853	ITPR2=896.5;ITPR1=710.5;vertebrate_basal=709.0;ITPR3=671.4;RYR=131.7	llap_12228		0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	attributed_elsewhere	KZ509793.1	357	12293	15	669	3.62e-21	89.091	ITPR2	0.132	ITPR	1.0	ITPR2=589.8;vertebrate_basal=522.3;ITPR1=512.1;ITPR3=508.7	llap_15980		0
