Proteome Id	Organism	Organism Id	Protein count
UP000681084	Bothrops jararaca (Jararaca) (Bothrops jajaraca)	8724	84
UP000031515	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	8897	3162
UP000053238	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	9209	8990
UP000053283	Nipponia nippon (Crested ibis) (Ibis nippon)	128390	14132
UP000053286	Aptenodytes forsteri (Emperor penguin)	9233	13704
UP000053537	Acanthisitta chloris (rifleman)	57068	9650
UP000053760	Cuculus canorus (Common cuckoo)	55661	13582
UP000053858	Charadrius vociferus (Killdeer) (Aegialitis vocifera)	50402	14257
UP000054232	Eurypyga helias (Sunbittern) (Ardea helias)	54383	7979
UP000536381	Semnornis frantzii	91796	10801
UP000537747	Mystacornis crossleyi	98133	10563
UP000660247	Todus mexicanus (Puerto Rican tody)	135184	10042
UP001529510	Cirrhinus mrigala (Mrigala)	683832	57290
UP000295264	Sousa chinensis (Indo-pacific humpbacked dolphin) (Steno chinensis)	103600	8382
UP000631465	Cervus hanglu yarkandensis (Yarkand deer)	84702	713
