id	accession	control_for	control_rank	swept	organism	taxid	length	score	named	candidates	clade_frac	strength	strength_note	group	protein_name	kept	screen_reason	reason
A0A5N6KXR3|FH972_024169|Carpinus_fangiana|Magnoliopsida|MIR	A0A5N6KXR3	Magnoliopsida	class	367	Carpinus fangiana	176857	954	152.4	1	613	0.9688	strong	a named mannosyltransferase of full length, present across 97% of the clade	viridiplantae	dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Magnoliopsida (152 bits, 954 aa, named a mannosyltransferase); the clade S20 swept 367 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 97% of the clade
A0A0G4MK72|BN1708_006409|Verticillium_longisporum|Sordariomycetes|MIR	A0A0G4MK72	Sordariomycetes	class	355	Verticillium longisporum	100787	1159	256.9	1	1053	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	dolichyl-phosphate-mannose--protein mannosyltransferase (Fragment)	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Sordariomycetes (257 bits, 1159 aa, named a mannosyltransferase); the clade S20 swept 355 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
B0XYZ3|AFUB_042600|Aspergillus_fumigatus|Eurotiomycetes|MIR	B0XYZ3	Eurotiomycetes	class	235	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	451804	946	167.2	1	695	0.9957	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Eurotiomycetes (167 bits, 946 aa, named a mannosyltransferase); the clade S20 swept 235 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0AAD5YCW5|NLI96_g11939|Meripilus_lineatus|Agaricomycetes|MIR	A0AAD5YCW5	Agaricomycetes	class	194	Meripilus lineatus	2056292	739	156.4	1	614	0.9738	strong	a named mannosyltransferase of full length, present across 97% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Agaricomycetes (156 bits, 739 aa, named a mannosyltransferase); the clade S20 swept 194 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 97% of the clade
A0A8K0L081|KVT40_006841|Elsinoe_batatas|Dothideomycetes|MIR	A0A8K0L081	Dothideomycetes	class	176	Elsinoe batatas	2601811	929	168.6	1	531	0.9942	strong	a named mannosyltransferase of full length, present across 99% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Dothideomycetes (169 bits, 929 aa, named a mannosyltransferase); the clade S20 swept 176 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 99% of the clade
A0A1E4TXN7|PACTADRAFT_49828|Pachysolen_tannophilus_NRRL_Y-2460|Pichiomycetes|MIR	A0A1E4TXN7	Pichiomycetes	class	69	Pachysolen tannophilus NRRL Y-2460	669874	825	180.4	1	343	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Pichiomycetes (180 bits, 825 aa, named a mannosyltransferase); the clade S20 swept 69 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0A2J6S6R1|L207DRAFT_507344|Hyaloscypha_variabilis|Leotiomycetes|MIR	A0A2J6S6R1	Leotiomycetes	class	64	Hyaloscypha variabilis (strain UAMH 11265 / GT02V1 / F)	1149755	947	159.1	1	189	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Leotiomycetes (159 bits, 947 aa, named a mannosyltransferase); the clade S20 swept 64 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
Q759J8|AGOS_ADR279C|Eremothecium_gossypii|Saccharomycetes|MIR	Q759J8	Saccharomycetes	class	61	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)	284811	817	187.9	1	335	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Saccharomycetes (188 bits, 817 aa, named a mannosyltransferase); the clade S20 swept 61 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0ACC2W476|PMT1|Naganishia_cerealis|Tremellomycetes|MIR	A0ACC2W476	Tremellomycetes	class	44	Naganishia cerealis	610337	846	171.7	1	137	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Tremellomycetes (172 bits, 846 aa, named a mannosyltransferase); the clade S20 swept 44 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0ABQ7J9N3|IE077_002895|Cardiosporidium_cionae|Aconoidasida|MIR	A0ABQ7J9N3	Aconoidasida	class	36	Cardiosporidium cionae	476202	233	38.6	0	1	0.0278	weak	not named a mannosyltransferase; 233 aa — a short MIR-only protein, not the full PMT (< 600); PF02815 found in only 3% of the clade's swept proteomes	protista_other	MIR domain-containing protein	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	best PF02815 protein in Aconoidasida (39 bits, 233 aa, unnamed); the clade S20 swept 36 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 233 aa — a short MIR-only protein, not the full PMT (< 600); PF02815 found in only 3% of the clade's swept proteomes
